date,time,PRICE_XLFsynprice_XLFsynprice_ON_XLF,PRICE_XLF_XLFsynprice_ON_XLF,BETA_XLFsynprice_ON_XLF,SPREAD_XLFsynprice_ON_XLF,Z_XLFsynprice_ON_XLF,Z_VOL_XLFsynprice_ON_XLF,market_close,SIGNAL_XLFsynprice_ON_XLF,POS_XLFsynprice_ON_XLF,POS_BETA_XLFsynprice_ON_XLF,PAIR_BASE_XLFsynprice_ON_XLF,PAIR_RET_XLFsynprice_ON_XLF,SL_XLFsynprice_ON_XLF,LOSS_XLFsynprice_ON_XLF,COOLDOWN_XLFsynprice_ON_XLF,CAPITAL_XLFsynprice_ON_XLF,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-03-10,15:48:00.000000000,148.59683370964024,32.98,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:49:00.000000000,148.55497605986022,32.99,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:50:00.000000000,148.5242869132985,33.0,5.649736689584979,-37.91702384300581,-1.3068163240661361,0.6408289089826507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:51:00.000000000,148.5354377787922,33.045,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:52:00.000000000,148.78881672430953,33.075,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:53:00.000000000,148.92061996597874,33.1,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:54:00.000000000,149.01624613601055,33.115,5.6471970391187565,-37.99068381440708,-1.1918384539586504,0.5719009036234792,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:55:00.000000000,149.44910183681768,33.225,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:56:00.000000000,149.36575841337225,33.215,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:57:00.000000000,149.53007427212066,33.26,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:58:00.000000000,149.69272576324732,33.27,5.580181152709884,-35.95990118741054,-0.9668789908445264,0.530134283053873,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,15:59:00.000000000,149.87805305410248,33.31,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:00:00.000000000,149.67189849826963,33.295,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:01:00.000000000,149.667258656439,33.305,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:02:00.000000000,149.6047921016756,33.3005,5.487776147158657,-33.140897486781256,-0.707254748108528,0.4968041328306308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:03:00.000000000,149.58025564652002,33.265,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:04:00.000000000,149.7502683998914,33.3297,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:05:00.000000000,149.71685102641408,33.325,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:06:00.000000000,149.79091013385226,33.35,5.348212912651384,-28.57199050307139,-0.31440499071067984,0.48646542694529515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:07:00.000000000,149.7567935143903,33.335,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:08:00.000000000,149.79814487576522,33.345,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:09:00.000000000,149.8049941769523,33.355,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
