date,time,PRICE_XLCsynprice_XLCsynprice_ON_XLC,PRICE_XLC_XLCsynprice_ON_XLC,BETA_XLCsynprice_ON_XLC,SPREAD_XLCsynprice_ON_XLC,Z_XLCsynprice_ON_XLC,Z_VOL_XLCsynprice_ON_XLC,market_close,SIGNAL_XLCsynprice_ON_XLC,POS_XLCsynprice_ON_XLC,POS_BETA_XLCsynprice_ON_XLC,PAIR_BASE_XLCsynprice_ON_XLC,PAIR_RET_XLCsynprice_ON_XLC,SL_XLCsynprice_ON_XLC,LOSS_XLCsynprice_ON_XLC,COOLDOWN_XLCsynprice_ON_XLC,CAPITAL_XLCsynprice_ON_XLC,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-05-02,13:33:00.000000000,124.63608081912992,59.23,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111575715138683,1.0111575715138683,0.0
2022-05-02,13:34:00.000000000,124.31332666062562,59.17,2.0057996109900103,5.630163678346705,1.278876144596889,1.022108344783339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111575715138683,1.0111575715138683,0.0
2022-05-02,13:35:00.000000000,124.38263216964995,59.19,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111575715138683,1.0111575715138683,0.0
2022-05-02,13:36:00.000000000,124.15431801236832,59.15,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111575715138683,1.0111575715138683,0.0
2022-05-02,13:37:00.000000000,124.26508154352027,59.12,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111575715138683,1.0111575715138683,0.0
2022-05-02,13:38:00.000000000,124.6348808081836,59.24,1.8861268947259795,12.90072356461657,1.4461509624728335,1.0303218216879562,0,-1.0,0.0,0.0,236.36903805175064,0.0,0.0,0.0,0.0,0.9095867934553004,0.10111575715138676,1.0107025506066871,-0.0004499999999999515
2022-05-02,13:39:00.000000000,125.18618530731578,59.37,,,,,0,0.0,-1.0,1.8861268947259795,237.16553904719717,-0.0012950427236192795,0.0,0.0,0.0,0.9084088396969359,0.10111575715138676,1.0095245968483226,-0.0011654801480983795
2022-05-02,13:40:00.000000000,124.88759648071564,59.24,,,,,0,0.0,-1.0,1.8861268947259795,236.62175372428266,0.00022512684810896928,0.0,-0.001295042723619244,0.0,0.9086133469158112,0.10111575715138676,1.009729104067198,0.00020257774750005885
2022-05-02,13:41:00.000000000,125.51579186155828,59.45,,,,,0,0.0,-1.0,1.8861268947259795,237.64603575301777,-0.0009809272786501255,0.0,-0.0010702074243967852,0.0,0.9077220632980758,0.10111575715138676,1.0088378204494626,-0.0008826957786453771
2022-05-02,13:42:00.000000000,126.12079856814407,59.67,2.2610886452071983,-8.79836089136947,0.7509189294345788,1.0275828564338247,0,0.0,-1.0,1.8861268947259795,238.66599037644326,-0.0007997557760382788,0.0,-0.00205008490739067,0.0,0.9069961073349158,0.10111575715138676,1.0081118644863025,-0.0007195963002622368
2022-05-02,13:43:00.000000000,126.25953013585405,59.77,,,,,0,0.0,-1.0,1.8861268947259795,238.99333463362586,0.0002089997057559291,0.0,-0.0028482011161828913,0.0,0.9071856692544705,0.10111575715138676,1.0083014264058572,0.00018803659220026472
2022-05-02,13:44:00.000000000,126.23668470646439,59.8,,,,,0,0.0,-1.0,1.8861268947259795,239.02707301107796,0.0003323491692904233,0.0,-0.002639796683622131,0.0,0.9074871716580394,0.10111575715138676,1.008602928809426,0.0002990201101307325
2022-05-02,13:45:00.000000000,126.01929694244835,59.72,,,,,0,0.0,-1.0,1.8861268947259795,238.65879509548384,0.0002782011744538849,0.0,-0.0023083248485666896,0.0,0.9077396356549966,0.10111575715138676,1.0088553928063835,0.00025031059274778717
2022-05-02,13:46:00.000000000,126.4905698455708,59.9,2.750329459493328,-38.25416477807954,-0.16653346034693586,1.024766229684916,0,0.0,-1.0,1.8861268947259795,239.46957083965697,-0.0005521274085837099,0.0,-0.002030765852796601,0.0,0.9072384477222937,0.10111575715138676,1.0083542048736804,-0.0004967886738542978
2022-05-02,13:47:00.000000000,126.5859498972786,59.89,,,,,0,0.0,-1.0,1.8861268947259795,239.54608962241753,-0.0004770598629899969,0.0,-0.0025817720198925143,0.0,0.9068056406727241,0.10111575715138676,1.0079213978241108,-0.00042922124733324707
2022-05-02,13:48:00.000000000,126.86429706178643,59.99,,,,,0,0.0,-1.0,1.8861268947259795,240.01304947639795,-0.0003746021284533858,0.0,-0.00305760022307644,0.0,0.9064659493496345,0.10111575715138676,1.0075817065010213,-0.0003370216405990112
2022-05-02,13:49:00.000000000,126.47084120137386,59.86,,,,,0,0.0,-1.0,1.8861268947259795,239.374397119671,0.0006177137635709009,0.0,-0.0034310569679782965,0.0,0.9070258858427562,0.10111575715138676,1.008141642994143,0.000555723163202473
2022-05-02,13:50:00.000000000,126.58698450996796,59.87,3.095245788026022,-58.725380819149976,-0.7976647260030543,1.03163881554834,0,0.0,-1.0,1.8861268947259795,239.50940169721235,-0.00040640118917232275,0.0,-0.0028154626155200146,0.0,0.9066572694441396,0.10111575715138676,1.0077730265955265,-0.00036563949240479745
2022-05-02,13:51:00.000000000,126.70025791303573,60.01,,,,,0,0.0,-1.0,1.8861268947259795,239.88673286554177,0.000629555086879204,0.0,-0.0032207195973373848,0.0,0.9072280601401741,0.10111575715138676,1.0083438172915609,0.0005663881459128132
2022-05-02,13:52:00.000000000,127.05820000544831,60.09,,,,,0,0.0,-1.0,1.8861268947259795,240.3955651095324,-0.0008631237682934203,0.0,-0.0025931921308641748,0.0,0.9064450100382043,0.10111575715138676,1.0075607671895912,-0.000776570539275935
2022-05-02,13:53:00.000000000,127.08308157732495,60.1,,,,,0,0.0,-1.0,1.8861268947259795,240.43930795035632,-0.00002504331944155737,0.0,-0.0034540776533937834,0.0,0.9064223096462618,0.10111575715138676,1.0075380667976486,-0.000022530047498723348
2022-05-02,13:54:00.000000000,126.96497977772906,60.1,3.233281266994144,-67.355224368619,-1.0498106832847898,1.0457023441599202,0,0.0,-1.0,1.8861268947259795,240.32120615076042,0.0004911917298492459,0.0,-0.0034790344712651855,0.0,0.906867536788511,0.10111575715138676,1.0079832939398976,0.00044189609993014456
