date,time,PRICE_XLKsynprice_XLKsynprice_ON_XLK,PRICE_XLK_XLKsynprice_ON_XLK,BETA_XLKsynprice_ON_XLK,SPREAD_XLKsynprice_ON_XLK,Z_XLKsynprice_ON_XLK,Z_VOL_XLKsynprice_ON_XLK,market_close,SIGNAL_XLKsynprice_ON_XLK,POS_XLKsynprice_ON_XLK,POS_BETA_XLKsynprice_ON_XLK,PAIR_BASE_XLKsynprice_ON_XLK,PAIR_RET_XLKsynprice_ON_XLK,SL_XLKsynprice_ON_XLK,LOSS_XLKsynprice_ON_XLK,COOLDOWN_XLKsynprice_ON_XLK,CAPITAL_XLKsynprice_ON_XLK,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-10-13,15:05:00.000000000,160.35455315371678,115.84,,,,,0,0.0,-1.0,1.3773116757546235,319.90233767313237,5.1580568492450605e-6,0.0,0.0,0.0,0.8942529105650866,0.09931640136831654,0.9935693119334031,4.642459178900015e-6
2022-10-13,15:06:00.000000000,160.52547548676202,116.01,1.2995305972154436,9.766930903798396,2.407588775915184,1.137918585948571,0,-1.0,-1.0,1.3773116757546235,320.30740299105594,0.00019762485104957416,0.0,0.0,0.0,0.8944296371633377,0.09931640136831654,0.9937460385316542,0.00017787042748651375
2022-10-13,15:07:00.000000000,160.87878901690928,116.3,,,,,0,0.0,-1.0,1.3773116757546235,321.060136907172,0.00014394564531138978,0.0,0.0,0.0,0.8945583864146448,0.09931640136831654,0.9938747877829613,0.00012955951149990342
2022-10-13,15:08:00.000000000,160.88047188242172,116.32,,,,,0,0.0,-1.0,1.3773116757546235,321.0893660061995,0.00008055614830233004,0.0,0.0,0.0,0.8946304485926859,0.09931640136831654,0.9939468499610025,0.00007250629448189395
2022-10-13,15:09:00.000000000,161.23132530968218,116.61,1.206291803600858,20.565638091786127,3.477683762293636,1.2441903362508622,0,-1.0,-1.0,1.3773116757546235,321.83963981942884,0.00015125682707117175,0.0,0.0,0.0,0.8947657675557413,0.09931640136831654,0.9940821689240579,0.00013614305740867113
2022-10-13,15:10:00.000000000,161.02299580663262,116.45,,,,,0,0.0,-1.0,1.3773116757546235,321.41094044825854,-0.000037411069307502965,0.0,0.0,0.0,0.8947322934115973,0.09931640136831654,0.9940486947799139,-0.000033673417741954365
2022-10-13,15:11:00.000000000,161.14034558056642,116.53,,,,,0,0.0,-1.0,1.3773116757546235,321.6384751562527,-0.000022291835689995886,0.0,-0.000037411069307546896,0.0,0.8947123481863261,0.09931640136831654,0.9940287495546426,-0.000020064636044498045
2022-10-13,15:12:00.000000000,161.19133819850387,116.58,1.1550234684279612,26.53870224917216,3.607906688017607,1.3397267693549764,0,-1.0,-1.0,1.3773116757546235,321.7583333579779,0.00005556849453906432,0.0,-0.000059702071036116244,0.0,0.8947620660045603,0.09931640136831654,0.9940784673728769,0.000050016479157708475
2022-10-13,15:13:00.000000000,161.34090456492137,116.74,,,,,0,0.0,-1.0,1.3773116757546235,322.1282695925161,0.0002200518039868916,0.0,-4.136894051209872e-6,0.0,0.8949589600113238,0.09931640136831654,0.9942753613796403,0.00019806686617388235
2022-10-13,15:14:00.000000000,161.5206943646093,116.88,,,,,0,0.0,-1.0,1.3773116757546235,322.5008830268097,0.00004046163018909847,0.0,0.0,0.0,0.8949951715097981,0.09931640136831654,0.9943115728781147,0.00003641998975422573
2022-10-13,15:15:00.000000000,161.3164362234961,116.73,1.111414077882395,31.581070912284133,3.553364519170827,1.4183952513380331,0,-1.0,-1.0,1.3773116757546235,322.09002813433335,-7.2514847960403605e-6,0.0,0.0,0.0,0.8949886814659194,0.09931640136831654,0.9943050828342359,-6.5271732279789e-6
2022-10-13,15:16:00.000000000,161.68849585728267,117.1,,,,,0,0.0,-1.0,1.3773116757546235,322.9716930881491,0.0004270411196501874,0.0,-7.251484796078067e-6,0.0,0.8953708784345267,0.09931640136831654,0.9946872798028432,0.00038438601512311106
2022-10-13,15:17:00.000000000,162.7405212435038,117.85,,,,,0,0.0,-1.0,1.3773116757546235,325.05670223118614,-0.00005895757991388054,0.0,0.0,0.0,0.8953180895344087,0.09931640136831654,0.9946344909027253,-0.000053070850698335795
2022-10-13,15:18:00.000000000,162.53155890619198,117.77,1.0944963863580164,33.632719484808376,3.2700615470953074,1.4729440203237398,0,-1.0,-1.0,1.3773116757546235,324.737554959814,0.0003038774545285595,0.0,-0.00005895757991392081,0.0,0.8955901565164498,0.09931640136831654,0.9949065578847663,0.00027353463461150254
2022-10-13,15:19:00.000000000,162.49425189641897,117.73,,,,,0,0.0,-1.0,1.3773116757546235,324.6451554830108,-0.000054768710872973125,0.0,0.0,0.0,0.8955411061981069,0.09931640136831654,0.9948575075664234,-0.000049301432334697415
2022-10-13,15:20:00.000000000,164.14758184238232,119.03,,,,,0,0.0,-1.0,1.3773116757546235,328.0889906074552,0.00042253897894637077,0.0,-0.00005476871087295443,0.0,0.8959195072227243,0.09931640136831654,0.9952359085910408,0.0003803570076512965
2022-10-13,15:21:00.000000000,163.66952845460736,118.51,1.122471657078977,30.645412374177795,2.721020601920163,1.4977578938671,0,-1.0,-1.0,1.3773116757546235,326.8947351482878,-0.0007258661230190077,0.0,0.0,0.0,0.8952691896034793,0.09931640136831654,0.9945855909717959,-0.0006534306224597558
2022-10-13,15:22:00.000000000,163.7512152835787,118.63,,,,,0,0.0,-1.0,1.3773116757546235,327.1416993783497,0.0002557109770559678,0.0,-0.0007258661230190588,0.0,0.895498119762681,0.09931640136831654,0.9948145211309976,0.00023017642853440437
2022-10-13,15:23:00.000000000,163.1633394202172,118.14,,,,,0,0.0,-1.0,1.3773116757546235,325.8789407938684,-0.00026596076844866655,0.0,-0.00047034075789864627,0.0,0.8952599523946047,0.09931640136831654,0.9945763537629212,-0.0002394088174402478
2022-10-13,15:24:00.000000000,163.27463433861064,118.14,1.1403789682840597,28.55026302553182,2.357943902331712,1.5054649926671928,0,-1.0,-1.0,1.3773116757546235,325.9902357122619,-0.000341522278556315,0.0,-0.0007361764341577981,0.0,0.8949542011757626,0.09931640136831654,0.9942706025440792,-0.00030741854829468754
2022-10-13,15:25:00.000000000,162.8889877118194,117.85,,,,,0,0.0,-1.0,1.3773116757546235,325.20516869950177,-0.000042252060548732736,0.0,-0.0010774472920609401,0.0,0.8949163875166662,0.09931640136831654,0.9942327888849828,-0.00003803155700232003
2022-10-13,15:26:00.000000000,163.07801593320542,117.98,,,,,0,0.0,-1.0,1.3773116757546235,325.5732474387359,-0.00003068125755139227,0.0,-0.0011196538282414181,0.0,0.894888930356494,0.09931640136831654,0.9942053317248105,-0.000027616429954061
2022-10-13,15:27:00.000000000,163.20636830692564,118.09,1.1507771718949145,27.311092077855193,2.1193610962002705,1.5013955879097318,0,-1.0,-1.0,1.3773116757546235,325.85310409678914,0.000071111219349043,0.0,-0.001150300733405163,0.0,0.8949525669995135,0.09931640136831654,0.9942689683678301,0.00006400754551291651
2022-10-13,15:28:00.000000000,163.32051061110678,118.18,,,,,0,0.0,-1.0,1.3773116757546235,326.0912044517882,0.0000301232258136157,0.0,-0.0010792713133439547,0.0,0.8949795258577816,0.09931640136831654,0.9942959272260982,0.000027114250897666197
2022-10-13,15:29:00.000000000,163.4211733112294,118.23,,,,,0,0.0,-1.0,1.3773116757546235,326.2607327356985,-0.00009750988650048407,0.0,-0.0010491805986639902,0.0,0.894892256505795,0.09931640136831654,0.9942086578741115,-0.00008776999844515942
