date,time,PRICE_XLYsynprice_XLYsynprice_ON_XLY,PRICE_XLY_XLYsynprice_ON_XLY,BETA_XLYsynprice_ON_XLY,SPREAD_XLYsynprice_ON_XLY,Z_XLYsynprice_ON_XLY,Z_VOL_XLYsynprice_ON_XLY,market_close,SIGNAL_XLYsynprice_ON_XLY,POS_XLYsynprice_ON_XLY,POS_BETA_XLYsynprice_ON_XLY,PAIR_BASE_XLYsynprice_ON_XLY,PAIR_RET_XLYsynprice_ON_XLY,SL_XLYsynprice_ON_XLY,LOSS_XLYsynprice_ON_XLY,COOLDOWN_XLYsynprice_ON_XLY,CAPITAL_XLYsynprice_ON_XLY,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-01-26,18:29:00.000000000,397.82520871326966,171.8,,,,,0,0.0,1.0,1.6379420768493271,679.2236575159841,-0.000457022192496926,0.0,-0.0008677191600275913,0.0,0.8987490077520018,0.09999999999999998,0.9987490077520018,-0.0004112815485356977
2024-01-26,18:30:00.000000000,397.8257194744072,171.8,0.8623493408292625,249.6741027199399,-0.057918187219572405,0.6787577739632594,0,0.0,1.0,1.6379420768493271,679.2241682771216,7.519778380744468e-7,0.0,-0.0013243447856114976,0.0,0.8987496835913376,0.09999999999999998,0.9987496835913375,6.766858644883812e-7
2024-01-26,18:31:00.000000000,397.8359134330604,171.75,,,,,0,0.0,1.0,1.6379420768493271,679.1524651319323,0.0001355827233434225,0.0,-0.001323593803651435,0.0,0.8988715385210428,0.09999999999999998,0.9988715385210428,0.0001220074776565831
2024-01-26,18:32:00.000000000,397.84340662868635,171.72,,,,,0,0.0,1.0,1.6379420768493271,679.1108200652528,0.00008338548534961942,0.0,-0.0011881905367605583,0.0,0.8989464913605495,0.09999999999999998,0.9989464913605495,0.00007503751645344221
2024-01-26,18:33:00.000000000,398.0319325134481,171.7,,,,,0,0.0,1.0,1.6379420768493271,679.2665871084776,0.00032584479551883504,0.0,-0.0011049041292554573,0.0,0.8992394083962092,0.09999999999999998,0.9992394083962092,0.0002932259517331631
2024-01-26,18:34:00.000000000,398.0134840722966,171.77,0.850277100648137,251.9613864939661,-0.04561613050442219,0.6808158765674805,0,0.0,1.0,1.6379420768493271,679.3627946127056,-0.00019595308978415617,0.0,-0.0007794193609966804,0.0,0.8990631996556783,0.09999999999999998,0.9990631996556782,-0.00017634286543376273
2024-01-26,18:35:00.000000000,398.01519923306427,171.752,,,,,0,0.0,1.0,1.6379420768493271,679.3350268160899,0.000045922618074458955,0.0,-0.00097521972114889,0.0,0.8991044869916208,0.09999999999999998,0.9991044869916208,0.00004132605020060991
2024-01-26,18:36:00.000000000,398.0113153755733,171.72,,,,,0,0.0,1.0,1.6379420768493271,679.2787288121398,0.00007143793128945644,0.0,-0.0009293418877172055,0.0,0.8991687171561845,0.09999999999999998,0.9991687171561845,0.00006428773506672594
2024-01-26,18:37:00.000000000,398.0019436644456,171.74,,,,,0,0.0,1.0,1.6379420768493271,679.3021159425491,-0.0000620224819027491,0.0,-0.0008579703466897737,0.0,0.8991129484806971,0.09999999999999998,0.9991129484806971,-0.000055815073600510235
2024-01-26,18:38:00.000000000,398.2161655009894,171.73,0.8208843887830608,257.24568941527434,-0.0177551015542709,0.6830407367903025,0,0.0,1.0,1.6379420768493271,679.4999583583244,0.0003394678919736941,0.0,-0.0009199396151422512,0.0,0.8994181684579641,0.09999999999999998,0.999418168457964,0.0003054909634902546
