date,time,PRICE_QQQsynprice_QQQsynprice_ON_QQQ,PRICE_QQQ_QQQsynprice_ON_QQQ,BETA_QQQsynprice_ON_QQQ,SPREAD_QQQsynprice_ON_QQQ,Z_QQQsynprice_ON_QQQ,Z_VOL_QQQsynprice_ON_QQQ,market_close,SIGNAL_QQQsynprice_ON_QQQ,POS_QQQsynprice_ON_QQQ,POS_BETA_QQQsynprice_ON_QQQ,PAIR_BASE_QQQsynprice_ON_QQQ,PAIR_RET_QQQsynprice_ON_QQQ,SL_QQQsynprice_ON_QQQ,LOSS_QQQsynprice_ON_QQQ,COOLDOWN_QQQsynprice_ON_QQQ,CAPITAL_QQQsynprice_ON_QQQ,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-09-13,14:28:00.000000000,243.52190550093374,373.5401,,,,,0,0.0,-1.0,0.5719109177215596,457.1535668977369,0.000010796394035674304,0.0,0.0,0.0,0.8974186665967773,0.09938773487080743,0.9968064014675847,9.719916621256873e-6
2023-09-13,14:29:00.000000000,243.48128102313268,373.5182,,,,,0,0.0,-1.0,0.5719109177215596,457.1004175708377,0.00006146649777582997,0.0,0.0,0.0,0.8974738277792517,0.09938773487080743,0.9968615626500591,0.00005533790954109208
2023-09-13,14:30:00.000000000,243.59354042796656,373.8511,0.46305926356204785,70.47832538010508,-0.4623013149938884,1.2793869199622765,0,0.0,-1.0,0.5719109177215596,457.40306612018105,0.00017092467359980834,0.0,0.0,0.0,0.8976272282003293,0.09938773487080743,0.9970149630711367,0.00015388337440736246
2023-09-13,14:31:00.000000000,243.73677901093996,373.97,,,,,0,0.0,-1.0,0.5719109177215596,457.6143049112716,-0.0001644903159361434,0.0,0.0,0.0,0.8974795772139698,0.09938773487080743,0.9968673120847772,-0.00014809304958140172
2023-09-13,14:32:00.000000000,243.62524911169245,373.7801,,,,,0,0.0,-1.0,0.5719109177215596,457.3941691287488,6.389695297489117e-6,0.0,-0.00016449031593612773,0.0,0.8974853118350039,0.09938773487080743,0.9968730467058113,5.752642267058627e-6
2023-09-13,14:33:00.000000000,243.6257457370342,373.74,0.45025852461478894,75.34612474750298,-0.46149840704982126,1.2864694186986194,0,0.0,-1.0,0.5719109177215596,457.3717321262899,-0.00005122551777826472,0.0,-0.0001581016716815098,0.0,0.8974393376852068,0.09938773487080743,0.9968270725560142,-0.000046118359754078925
2023-09-13,14:34:00.000000000,243.63856399483757,373.8089,,,,,0,0.0,-1.0,0.5719109177215596,457.42395504632424,0.00005812865675811301,0.0,-0.00020931909061983056,0.0,0.8974915046284282,0.09938773487080743,0.9968792394992356,0.00005233299200797803
2023-09-13,14:35:00.000000000,243.63855816370096,373.76,,,,,0,0.0,-1.0,0.5719109177215596,457.3959827713111,-0.00006112625373356954,0.0,-0.0001512026012994161,0.0,0.8974366443349926,0.09938773487080743,0.9968243792058,-0.000055032035237444755
2023-09-13,14:36:00.000000000,243.82226254925303,374.05,0.42830179346740166,83.61597670277143,-0.4280726360189577,1.3042138337300844,0,0.0,-1.0,0.5719109177215596,457.7455413230024,-0.000039025745929469004,0.0,-0.00021231961258438847,0.0,0.8974016212005229,0.09938773487080743,0.9967893560713303,-0.00003513470898212232
2023-09-13,14:37:00.000000000,243.86996361054997,374.03,,,,,0,0.0,-1.0,0.5719109177215596,457.7818041659449,-0.00012919684478075388,0.0,-0.0002513370725826247,0.0,0.8972856797425627,0.09938773487080743,0.9966734146133701,-0.00011631490369961053
2023-09-13,14:38:00.000000000,243.8820972132392,374.06,,,,,0,0.0,-1.0,0.5719109177215596,457.8110950961658,0.00001097405968676264,0.0,-0.00038050144540657804,0.0,0.8972955266091682,0.09938773487080743,0.9966832614799757,9.879732378900589e-6
2023-09-13,14:39:00.000000000,244.02924231454264,374.38,0.41416366069118615,88.97465102497637,-0.42297426947500816,1.3312579055460239,0,0.0,-1.0,0.5719109177215596,458.1412516911401,0.00007834321350360579,0.0,-0.00036953156136543264,0.0,0.8973658236241853,0.09938773487080743,0.9967535584949927,0.00007053094772822414
2023-09-13,14:40:00.000000000,244.1004224929007,374.49,,,,,0,0.0,-1.0,0.5719109177215596,458.27534207044755,-0.000018051152080600436,0.0,-0.0002912172981518468,0.0,0.897349625137231,0.09938773487080743,0.9967373600080385,-0.000016251245672681855
2023-09-13,14:41:00.000000000,244.06433591960496,374.4519,,,,,0,0.0,-1.0,0.5719109177215596,458.2174656911866,0.00003119689413349596,0.0,-0.00030926319342472475,0.0,0.8973776196584873,0.09938773487080743,0.9967653545292947,0.000028086156272912513
2023-09-13,14:42:00.000000000,244.11433178809398,374.59,0.40526590084339903,92.30577799116514,-0.4382810922240091,1.3667419864829373,0,0.0,-1.0,0.5719109177215596,458.346442457413,0.00006325605507983438,0.0,-0.00027807594734219343,0.0,0.8974343842266237,0.09938773487080743,0.9968221190974311,0.00005694877724077781
2023-09-13,14:43:00.000000000,244.01380969817572,374.32,,,,,0,0.0,-1.0,0.5719109177215596,458.09150441970985,-0.00011758323589819687,0.0,-0.00021483748224992993,0.0,0.89732886098772,0.09938773487080743,0.9967165958585275,-0.00010585964825822335
2023-09-13,14:44:00.000000000,244.00638404384628,374.29,,,,,0,0.0,-1.0,0.5719109177215596,458.0669214378488,-0.000021243950407952323,0.0,-0.0003323954568618115,0.0,0.8973097981778976,0.09938773487080743,0.996697533048705,-0.000019125606919412836
2023-09-13,14:45:00.000000000,243.9850147220216,374.19,0.40718188067965916,91.62162679049993,-0.4943018695483852,1.4086122834128905,0,0.0,-1.0,0.5719109177215596,457.98836102425196,-0.00007820204487811096,0.0,-0.00035363234587715286,0.0,0.8972396267167909,0.09938773487080743,0.9966273615875983,-0.00007040396788383703
2023-09-13,14:46:00.000000000,243.71118450017497,373.97,,,,,0,0.0,-1.0,0.5719109177215596,457.5887104005066,0.00032317375842672133,0.0,-0.00043180673598264274,0.0,0.8975295910191665,0.09938773487080743,0.996917325889974,0.0002909455565354896
2023-09-13,14:47:00.000000000,243.8431721647564,374.11,,,,,0,0.0,-1.0,0.5719109177215596,457.80076559356905,-0.00011346463520696859,0.0,-0.0001087725261615935,0.0,0.897427753151534,0.09938773487080743,0.9968154880223414,-0.00010215277133597974
2023-09-13,14:48:00.000000000,243.87447701081373,374.26,0.41070356766194344,90.1645597776548,-0.5577727679724984,1.4475400512613874,0,0.0,-1.0,0.5719109177215596,457.91785707728457,0.0001190076463289106,0.0,-0.00022222481953360074,0.0,0.8975345539161868,0.09938773487080743,0.9969222887869942,0.00010714195950610502
2023-09-13,14:49:00.000000000,243.82611363155854,374.12,,,,,0,0.0,-1.0,0.5719109177215596,457.7894261695484,-0.00006923545071636322,0.0,-0.0001032436196575226,0.0,0.8974724127068129,0.09938773487080743,0.9968601475776203,-0.00006233305250851346
2023-09-13,14:50:00.000000000,243.8685945517199,374.23,,,,,0,0.0,-1.0,0.5719109177215596,457.89481729065915,0.00004462593415271318,0.0,-0.000172471922255224,0.0,0.8975124632516062,0.09938773487080743,0.9969001981224136,0.0000401766936822612
2023-09-13,14:51:00.000000000,243.95655412581138,374.49,0.424479449339802,84.99324514254894,-0.658643876571092,1.4757314599802192,0,0.0,-1.0,0.5719109177215596,458.1314737033582,0.0001326445773627043,0.0,-0.00012785368482326476,0.0,0.8976315134129719,0.09938773487080743,0.9970192482837793,0.00011942034076222476
2023-09-13,14:52:00.000000000,243.88248562183256,374.21,,,,,0,0.0,-1.0,0.5719109177215596,457.89727014241737,-0.00018786430953432917,0.0,0.0,0.0,0.8974628804884883,0.09938773487080743,0.9968506153592958,-0.00016913708012540753
2023-09-13,14:53:00.000000000,243.79504705297222,374.0561,,,,,0,0.0,-1.0,0.5719109177215596,457.7218144833197,-1.2634305000329982e-6,0.0,-0.00018786430953432465,0.0,0.8974617466065125,0.09938773487080743,0.9968494814773199,-1.137464288427045e-6
2023-09-13,14:54:00.000000000,243.94127445982488,374.19,0.44155250816387265,78.71674142998538,-0.7702769263954039,1.4980617962898923,0,0.0,-1.0,0.5719109177215596,457.94462076205525,-0.00015216345991369903,0.0,-0.00018912750268085254,0.0,0.8973251857220087,0.09938773487080743,0.9967129205928161,-0.0001369924818553089
