,number,value,datetime_start,datetime_complete,duration,params_AAL_ADSK_beta_win,params_AAL_ADSK_trade_freq,params_AAL_ADSK_z_entry,params_AAL_ADSK_z_exit,params_AAL_ADSK_z_win,params_ATVI_SIRI_beta_win,params_ATVI_SIRI_trade_freq,params_ATVI_SIRI_z_entry,params_ATVI_SIRI_z_exit,params_ATVI_SIRI_z_win,params_BIDU_NTAP_beta_win,params_BIDU_NTAP_trade_freq,params_BIDU_NTAP_z_entry,params_BIDU_NTAP_z_exit,params_BIDU_NTAP_z_win,params_BMRN_WDAY_beta_win,params_BMRN_WDAY_trade_freq,params_BMRN_WDAY_z_entry,params_BMRN_WDAY_z_exit,params_BMRN_WDAY_z_win,params_CSCO_PAYX_beta_win,params_CSCO_PAYX_trade_freq,params_CSCO_PAYX_z_entry,params_CSCO_PAYX_z_exit,params_CSCO_PAYX_z_win,params_INTC_LULU_beta_win,params_INTC_LULU_trade_freq,params_INTC_LULU_z_entry,params_INTC_LULU_z_exit,params_INTC_LULU_z_win,params_MELI_ULTA_beta_win,params_MELI_ULTA_trade_freq,params_MELI_ULTA_z_entry,params_MELI_ULTA_z_exit,params_MELI_ULTA_z_win,params_NTES_SYMC_beta_win,params_NTES_SYMC_trade_freq,params_NTES_SYMC_z_entry,params_NTES_SYMC_z_exit,params_NTES_SYMC_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_win,params_WDC_SIRI_beta_win,params_WDC_SIRI_trade_freq,params_WDC_SIRI_z_entry,params_WDC_SIRI_z_exit,params_WDC_SIRI_z_win,params_pairs_to_trade,state
0,0,-0.5544515823602536,2025-05-29 23:40:12.169245,2025-05-29 23:40:12.674660,0 days 00:00:00.505415,,,,,,,,,,,250.0,35m,0.8,-2.5,20.0,,,,,,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,550,21m,1.8,-1.1999999999999997,780,,,,,,400,22m,0.2,-1.0999999999999996,640,2,COMPLETE
1,1,-2.146076510067543,2025-05-29 23:40:12.674660,2025-05-29 23:40:13.323698,0 days 00:00:00.649038,480.0,39m,2.8000000000000003,-2.9,540.0,,,,,,770.0,16m,1.3,-3.1,250.0,,,,,,,,,,,240.0,21m,2.7,-2.0999999999999996,630.0,,,,,,380,17m,2.2,-0.5,90,790.0,13m,1.5,-1.1999999999999997,720.0,510,35m,3.0,-3.1,530,3,COMPLETE
2,2,-4.373811399816037,2025-05-29 23:40:13.334195,2025-05-29 23:40:14.183390,0 days 00:00:00.849195,870.0,24m,2.9000000000000004,-3.0,10.0,,,,,,470.0,3m,0.6000000000000001,-0.3999999999999999,960.0,110.0,17m,0.4,-0.09999999999999964,570.0,620.0,59m,0.6000000000000001,-1.7999999999999998,430.0,920.0,5m,0.7000000000000001,-2.6,190.0,,,,,,830,49m,3.3000000000000003,-1.5,300,420.0,19m,2.6,-1.9,530.0,390,41m,0.1,-1.0999999999999996,220,4,COMPLETE
3,3,0.6713035364056353,2025-05-29 23:40:14.183390,2025-05-29 23:40:14.494786,0 days 00:00:00.311396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,12m,1.0,-2.8,740,,,,,,900,43m,3.0,-1.4,170,1,COMPLETE
4,4,-1.8943773250912659,2025-05-29 23:40:14.494786,2025-05-29 23:40:14.987091,0 days 00:00:00.492305,,,,,,,,,,,920.0,42m,2.7,-0.7999999999999998,250.0,,,,,,,,,,,140.0,40m,1.6,-3.0,490.0,,,,,,410,9m,2.8000000000000003,-2.2,20,,,,,,870,29m,1.6,-0.2999999999999998,570,2,COMPLETE
5,5,0.5251028857451738,2025-05-29 23:40:14.989606,2025-05-29 23:40:15.985053,0 days 00:00:00.995447,430.0,14m,2.2,-0.3999999999999999,640.0,70.0,19m,0.1,-1.4,570.0,140.0,46m,3.4000000000000004,-2.3,540.0,30.0,58m,1.2000000000000002,-1.5999999999999999,290.0,930.0,7m,1.7000000000000002,-1.7999999999999998,700.0,700.0,42m,3.4000000000000004,-2.0,100.0,680.0,51m,1.9000000000000001,-3.3,300.0,460,28m,1.5,-3.5,520,280.0,37m,2.2,-0.2999999999999998,610.0,680,42m,0.1,-1.0,540,5,COMPLETE
6,6,,2025-05-29 23:40:15.985053,2025-05-29 23:40:16.287384,0 days 00:00:00.302331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,39m,0.6000000000000001,-1.7,970,,,,,,800,25m,1.7000000000000002,0.0,840,1,FAIL
7,7,-1.2824689766890711,2025-05-29 23:40:16.297591,2025-05-29 23:40:16.966309,0 days 00:00:00.668718,550.0,19m,2.9000000000000004,-2.5,250.0,,,,,,930.0,12m,0.9,-3.2,860.0,,,,,,,,,,,800.0,51m,2.0,-2.0999999999999996,930.0,,,,,,40,29m,3.3000000000000003,-0.3999999999999999,270,800.0,12m,1.1,-1.5,270.0,920,23m,1.3,-0.8999999999999999,10,3,COMPLETE
8,8,-1.8544305460479538,2025-05-29 23:40:16.966309,2025-05-29 23:40:17.461953,0 days 00:00:00.495644,,,,,,,,,,,960.0,48m,2.0,-0.2999999999999998,590.0,,,,,,,,,,,330.0,1m,2.5,0.0,790.0,,,,,,760,31m,3.0,-0.8999999999999999,600,,,,,,60,47m,2.5,-0.6999999999999997,40,2,COMPLETE
9,9,,2025-05-29 23:40:17.461953,2025-05-29 23:40:17.940495,0 days 00:00:00.478542,,,,,,,,,,,270.0,22m,2.5,-2.7,650.0,,,,,,,,,,,960.0,37m,3.0,-1.4,360.0,,,,,,950,51m,2.7,-0.7999999999999998,180,,,,,,670,51m,2.4000000000000004,0.0,460,2,FAIL
10,10,1.2831856555049685,2025-05-29 23:40:17.940495,2025-05-29 23:40:18.946140,0 days 00:00:01.005645,580.0,50m,1.5,-0.6999999999999997,860.0,210.0,40m,0.1,-1.7,180.0,10.0,26m,0.1,-0.7999999999999998,800.0,720.0,37m,1.2000000000000002,-1.7999999999999998,150.0,920.0,17m,1.2000000000000002,-1.5,770.0,870.0,51m,2.5,-3.3,730.0,290.0,53m,0.30000000000000004,-0.19999999999999973,380.0,870,31m,1.5,-0.3999999999999999,230,50.0,38m,2.0,-1.5,230.0,980,6m,0.2,-3.4,40,5,COMPLETE
11,11,2.7904539632015952,2025-05-29 23:40:18.956292,2025-05-29 23:40:19.613492,0 days 00:00:00.657200,280.0,19m,1.4000000000000001,-2.3,330.0,,,,,,400.0,18m,2.2,-0.3999999999999999,620.0,,,,,,,,,,,500.0,57m,0.6000000000000001,-3.0,700.0,,,,,,130,24m,1.6,-0.6999999999999997,820,580.0,56m,2.7,-2.7,230.0,990,18m,2.2,-1.0,390,3,COMPLETE
12,12,-2.249832399891296,2025-05-29 23:40:19.629608,2025-05-29 23:40:20.646810,0 days 00:00:01.017202,10.0,19m,0.2,-1.5,320.0,,,,,,430.0,24m,2.0,-1.2999999999999998,710.0,940.0,23m,3.5,-3.4,980.0,60.0,24m,3.4000000000000004,-3.4,110.0,510.0,2m,0.0,-0.7999999999999998,360.0,,,,,,220,44m,0.0,0.0,1000,660.0,56m,3.3000000000000003,-3.5,10.0,80,20m,2.2,-2.3,910,4,COMPLETE
13,13,-3.5492433944220028,2025-05-29 23:40:20.651911,2025-05-29 23:40:21.875285,0 days 00:00:01.223374,200.0,53m,1.1,-1.1999999999999997,930.0,400.0,40m,2.5,-3.2,70.0,20.0,33m,2.7,-1.0999999999999996,770.0,760.0,8m,2.1,-2.0,10.0,950.0,17m,0.0,0.0,1000.0,550.0,32m,1.1,-3.4,950.0,50.0,41m,0.1,0.0,860.0,980,31m,0.8,0.0,280,50.0,2m,0.0,-2.7,230.0,1000,6m,1.0,-3.5,340,5,COMPLETE
14,14,-0.5645765746840291,2025-05-29 23:40:21.884778,2025-05-29 23:40:22.890012,0 days 00:00:01.005234,730.0,50m,1.4000000000000001,-0.19999999999999973,960.0,,,,,,670.0,54m,1.5,-0.09999999999999964,370.0,510.0,37m,1.9000000000000001,-1.7999999999999998,80.0,520.0,2m,1.5,-0.5,800.0,670.0,51m,0.30000000000000004,-3.3,540.0,,,,,,570,24m,2.2,-2.0,990,80.0,38m,2.9000000000000004,-2.4,960.0,740,18m,0.9,-2.3,350,4,COMPLETE
15,15,-2.24737172383951,2025-05-29 23:40:22.905726,2025-05-29 23:40:24.061381,0 days 00:00:01.155655,280.0,20m,0.7000000000000001,-2.0,670.0,920.0,40m,0.2,0.0,100.0,270.0,26m,0.1,-1.7,670.0,580.0,43m,0.2,-0.6999999999999997,510.0,160.0,3m,3.0,-2.8,420.0,370.0,33m,1.4000000000000001,-2.8,790.0,170.0,54m,0.0,0.0,70.0,710,23m,1.0,-0.7999999999999998,390,470.0,30m,2.0,-0.6999999999999997,270.0,720,53m,2.2,-2.0999999999999996,770,5,COMPLETE
16,16,-1.8694060356762576,2025-05-29 23:40:24.071512,2025-05-29 23:40:24.866965,0 days 00:00:00.795453,640.0,18m,2.0,-0.8999999999999999,350.0,,,,,,40.0,18m,0.0,-0.6999999999999997,990.0,,,,,,,,,,,630.0,57m,3.5,-1.2999999999999998,390.0,,,,,,960,2m,1.6,-1.4,760,990.0,22m,1.1,-3.0,30.0,590,21m,0.7000000000000001,-0.09999999999999964,390,3,COMPLETE
17,17,-2.3751365027207525,2025-05-29 23:40:24.877215,2025-05-29 23:40:25.864112,0 days 00:00:00.986897,340.0,50m,1.6,-2.0999999999999996,770.0,,,,,,330.0,56m,2.5,0.0,410.0,1000.0,6m,2.8000000000000003,-3.1,290.0,760.0,28m,2.5,-0.8999999999999999,670.0,830.0,34m,2.0,-3.5,790.0,,,,,,290,1m,0.5,-0.5,160,290.0,38m,2.5,-2.0,320.0,820,32m,3.5,-2.8,180,4,COMPLETE
18,18,,2025-05-29 23:40:25.872615,2025-05-29 23:40:26.246046,0 days 00:00:00.373431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,59m,2.2,-1.0,620,,,,,,980,15m,1.8,-1.7,270,1,FAIL
19,19,1.2671207223983303,2025-05-29 23:40:26.256538,2025-05-29 23:40:26.661666,0 days 00:00:00.405128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,30m,2.1,-1.0,590,,,,,,990,2m,1.8,-2.9,720,1,COMPLETE
20,20,,2025-05-29 23:40:26.661666,2025-05-29 23:40:27.254721,0 days 00:00:00.593055,,,,,,,,,,,610.0,21m,3.3000000000000003,-1.5,830.0,,,,,,,,,,,440.0,22m,0.9,-2.6,640.0,,,,,,880,15m,1.4000000000000001,-1.9,870,,,,,,240,25m,1.8,-1.7,420,2,FAIL
21,21,-0.6384894913173204,2025-05-29 23:40:27.259749,2025-05-29 23:40:27.859905,0 days 00:00:00.600156,,,,,,,,,,,620.0,6m,3.5,-1.2999999999999998,840.0,,,,,,,,,,,40.0,20m,3.0,-2.5,660.0,,,,,,10,6m,1.4000000000000001,-1.7999999999999998,410,,,,,,330,3m,0.6000000000000001,-1.7999999999999998,1000,2,COMPLETE
22,22,1.2896765451666377,2025-05-29 23:40:27.868793,2025-05-29 23:40:28.709197,0 days 00:00:00.840404,1000.0,42m,0.8,-3.4,130.0,,,,,,150.0,13m,2.2,-1.7999999999999998,630.0,,,,,,,,,,,430.0,29m,0.9,-1.1999999999999997,530.0,,,,,,850,26m,1.9000000000000001,-2.5,810,620.0,3m,3.3000000000000003,-1.0999999999999996,390.0,800,28m,1.7000000000000002,-1.5999999999999999,420,3,COMPLETE
23,23,0.8302364700492298,2025-05-29 23:40:28.719980,2025-05-29 23:40:29.536089,0 days 00:00:00.816109,1000.0,21m,0.5,-3.4,90.0,,,,,,170.0,29m,2.3000000000000003,-2.0999999999999996,450.0,,,,,,,,,,,370.0,29m,0.8,-1.1999999999999997,280.0,,,,,,290,46m,2.6,-2.6,880,610.0,3m,3.5,-0.7999999999999998,420.0,820,28m,1.8,-1.5999999999999999,450,3,COMPLETE
24,24,-0.017748000030475223,2025-05-29 23:40:29.546754,2025-05-29 23:40:30.375930,0 days 00:00:00.829176,120.0,42m,0.9,-3.5,180.0,,,,,,390.0,13m,3.0,-2.7,620.0,,,,,,,,,,,420.0,4m,0.6000000000000001,-0.5,530.0,,,,,,150,26m,2.5,-3.0,860,690.0,5m,3.1,-3.4,420.0,630,51m,2.6,-0.5999999999999996,300,3,COMPLETE
25,25,-1.5921961376046672,2025-05-29 23:40:30.386127,2025-05-29 23:40:31.433985,0 days 00:00:01.047858,770.0,55m,1.3,-2.5,450.0,,,,,,110.0,49m,1.7000000000000002,-1.7999999999999998,800.0,310.0,51m,1.0,-2.5,790.0,390.0,13m,1.0,-1.1999999999999997,980.0,500.0,17m,1.2000000000000002,-1.4,730.0,,,,,,880,24m,1.9000000000000001,-2.3,610,540.0,56m,2.8000000000000003,-1.1999999999999997,140.0,1000,5m,1.5,-1.9,100,4,COMPLETE
26,26,-0.18865931924932278,2025-05-29 23:40:31.433985,2025-05-29 23:40:32.312529,0 days 00:00:00.878544,950.0,5m,1.9000000000000001,-0.6999999999999997,420.0,,,,,,210.0,26m,2.1,-0.6999999999999997,530.0,,,,,,,,,,,570.0,45m,2.0,-3.0,590.0,,,,,,880,26m,1.2000000000000002,-0.2999999999999998,660,330.0,34m,1.7000000000000002,-2.2,380.0,770,28m,2.0,-1.4,240,3,COMPLETE
27,27,3.4785917112699596,2025-05-29 23:40:32.312529,2025-05-29 23:40:32.944661,0 days 00:00:00.632132,,,,,,,,,,,550.0,13m,1.5,-1.7999999999999998,710.0,,,,,,,,,,,250.0,57m,0.9,-2.5,880.0,,,,,,640,7m,1.8,-3.3,880,,,,,,930,6m,1.2000000000000002,-3.5,460,2,COMPLETE
28,28,1.028317269414768,2025-05-29 23:40:32.944661,2025-05-29 23:40:33.557310,0 days 00:00:00.612649,,,,,,,,,,,580.0,13m,1.3,-1.7999999999999998,700.0,,,,,,,,,,,250.0,57m,0.30000000000000004,-2.5,850.0,,,,,,620,7m,1.9000000000000001,-2.9,890,,,,,,870,55m,1.3,-2.5,470,2,COMPLETE
29,29,,2025-05-29 23:40:33.568042,2025-05-29 23:40:33.942443,0 days 00:00:00.374401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,34m,0.5,-3.5,820,,,,,,180,18m,1.3,-1.4,440,1,FAIL
30,30,-0.347519134761189,2025-05-29 23:40:33.942443,2025-05-29 23:40:34.325900,0 days 00:00:00.383457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,7m,2.3000000000000003,-3.4,710,,,,,,190,18m,1.3,-1.4,420,1,COMPLETE
31,31,1.4506897378545642,2025-05-29 23:40:34.325900,2025-05-29 23:40:34.947187,0 days 00:00:00.621287,,,,,,,,,,,540.0,13m,1.7000000000000002,-1.5,630.0,,,,,,,,,,,220.0,6m,1.0,-1.5999999999999999,440.0,,,,,,670,41m,0.6000000000000001,-2.4,850,,,,,,800,30m,2.6,-0.5,630,2,COMPLETE
32,32,,2025-05-29 23:40:34.962838,2025-05-29 23:40:35.587772,0 days 00:00:00.624934,,,,,,,,,,,540.0,38m,1.7000000000000002,-1.4,480.0,,,,,,,,,,,20.0,57m,0.4,-1.7,880.0,,,,,,670,41m,0.4,-3.1,950,,,,,,910,27m,2.6,-0.3999999999999999,660,2,FAIL
33,33,-0.8273971454040897,2025-05-29 23:40:35.590018,2025-05-29 23:40:36.201784,0 days 00:00:00.611766,,,,,,,,,,,540.0,5m,1.7000000000000002,-1.4,910.0,,,,,,,,,,,10.0,6m,0.5,-1.5999999999999999,880.0,,,,,,670,41m,0.2,-3.2,930,,,,,,900,57m,2.8000000000000003,-0.2999999999999998,630,2,COMPLETE
34,34,,2025-05-29 23:40:36.205359,2025-05-29 23:40:36.614718,0 days 00:00:00.409359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,41m,0.6000000000000001,-1.5999999999999999,820,,,,,,550,30m,3.4000000000000004,-0.6999999999999997,780,1,FAIL
35,35,,2025-05-29 23:40:36.614718,2025-05-29 23:40:37.015410,0 days 00:00:00.400692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,41m,0.4,-1.7,830,,,,,,550,17m,2.3000000000000003,-0.5999999999999996,750,1,FAIL
36,36,,2025-05-29 23:40:37.015410,2025-05-29 23:40:37.415242,0 days 00:00:00.399832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,41m,0.7000000000000001,-1.7999999999999998,840,,,,,,580,16m,3.5,-0.5999999999999996,810,1,FAIL
37,37,1.3773817648143838,2025-05-29 23:40:37.431294,2025-05-29 23:40:37.808509,0 days 00:00:00.377215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,8m,0.6000000000000001,-1.7,840,,,,,,600,30m,2.4000000000000004,-0.5,800,1,COMPLETE
38,38,1.3084368968663163,2025-05-29 23:40:37.812254,2025-05-29 23:40:38.397335,0 days 00:00:00.585081,,,,,,,,,,,740.0,18m,1.2000000000000002,-2.2,480.0,,,,,,,,,,,180.0,6m,1.1,-2.2,430.0,,,,,,550,3m,1.2000000000000002,-3.2,930,,,,,,930,56m,3.3000000000000003,-0.09999999999999964,630,2,COMPLETE
39,39,,2025-05-29 23:40:38.407766,2025-05-29 23:40:39.044446,0 days 00:00:00.636680,,,,,,,,,,,390.0,50m,1.8,-3.5,340.0,,,,,,,,,,,100.0,57m,0.0,-2.4,980.0,,,,,,540,18m,0.30000000000000004,-1.1999999999999997,690,,,,,,650,12m,2.1,-0.7999999999999998,700,2,FAIL
40,40,1.1925682016615506,2025-05-29 23:40:39.048462,2025-05-29 23:40:39.630506,0 days 00:00:00.582044,,,,,,,,,,,510.0,43m,1.8,-1.5,320.0,,,,,,,,,,,100.0,57m,0.0,-2.4,990.0,,,,,,580,10m,0.4,-2.4,700,,,,,,500,34m,2.1,-0.7999999999999998,700,2,COMPLETE
41,41,1.9561170076329895,2025-05-29 23:40:39.640827,2025-05-29 23:40:40.033825,0 days 00:00:00.392998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,8m,0.7000000000000001,-1.7,840,,,,,,540,30m,2.5,-0.5,840,1,COMPLETE
42,42,,2025-05-29 23:40:40.037588,2025-05-29 23:40:40.412460,0 days 00:00:00.374872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,37m,0.8,-2.0,790,,,,,,670,30m,2.9000000000000004,-0.3999999999999999,940,1,FAIL
43,43,,2025-05-29 23:40:40.418453,2025-05-29 23:40:40.764545,0 days 00:00:00.346092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,47m,0.30000000000000004,-1.2999999999999998,800,,,,,,510,30m,2.8000000000000003,-1.1999999999999997,590,1,FAIL
44,44,,2025-05-29 23:40:40.774880,2025-05-29 23:40:41.162243,0 days 00:00:00.387363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,37m,0.7000000000000001,-1.2999999999999998,790,,,,,,280,30m,2.9000000000000004,-0.3999999999999999,860,1,FAIL
45,45,0.677576942947841,2025-05-29 23:40:41.169540,2025-05-29 23:40:41.536456,0 days 00:00:00.366916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,15m,0.8,-2.0,770,,,,,,330,52m,2.8000000000000003,-0.3999999999999999,900,1,COMPLETE
46,46,,2025-05-29 23:40:41.536456,2025-05-29 23:40:41.915652,0 days 00:00:00.379196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,25m,0.0,-1.1999999999999997,930,,,,,,540,36m,2.7,-1.0999999999999996,570,1,FAIL
47,47,,2025-05-29 23:40:41.919696,2025-05-29 23:40:42.272122,0 days 00:00:00.352426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,57m,0.2,-1.1999999999999997,960,,,,,,510,30m,2.4000000000000004,0.0,530,1,FAIL
48,48,0.510841510458738,2025-05-29 23:40:42.282256,2025-05-29 23:40:42.647632,0 days 00:00:00.365376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,11m,0.30000000000000004,-1.4,810,,,,,,500,30m,2.4000000000000004,-1.1999999999999997,510,1,COMPLETE
49,49,2.8684568507921133,2025-05-29 23:40:42.647632,2025-05-29 23:40:43.228332,0 days 00:00:00.580700,,,,,,,,,,,370.0,17m,1.0,-1.0,730.0,,,,,,,,,,,260.0,10m,1.6,-1.7,330.0,,,,,,740,43m,0.7000000000000001,-2.7,920,,,,,,420,11m,3.1,-1.1999999999999997,570,2,COMPLETE
50,50,,2025-05-29 23:40:43.243079,2025-05-29 23:40:43.605983,0 days 00:00:00.362904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,33m,1.3,-1.1999999999999997,940,,,,,,440,10m,3.1,-1.1999999999999997,560,1,FAIL
51,51,,2025-05-29 23:40:43.605983,2025-05-29 23:40:43.983957,0 days 00:00:00.377974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,56m,1.1,-2.7,930,,,,,,430,17m,3.1,-1.0999999999999996,260,1,FAIL
52,52,1.500632755015814,2025-05-29 23:40:43.983957,2025-05-29 23:40:44.362016,0 days 00:00:00.378059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,5m,1.2000000000000002,-1.1999999999999997,940,,,,,,420,11m,3.1,-1.1999999999999997,580,1,COMPLETE
53,53,-1.092345136008643,2025-05-29 23:40:44.372142,2025-05-29 23:40:44.986760,0 days 00:00:00.614618,,,,,,,,,,,370.0,17m,0.9,-1.0999999999999996,750.0,,,,,,,,,,,290.0,22m,1.5,-2.9,290.0,,,,,,470,36m,0.8,-2.7,960,,,,,,230,13m,2.9000000000000004,-1.0,290,2,COMPLETE
54,54,1.8995035688606496,2025-05-29 23:40:44.986760,2025-05-29 23:40:45.793366,0 days 00:00:00.806606,370.0,32m,3.5,-1.7,560.0,,,,,,290.0,34m,0.6000000000000001,-0.3999999999999999,10.0,,,,,,,,,,,110.0,44m,1.8,-1.9,90.0,,,,,,90,43m,1.7000000000000002,-3.0,690,960.0,32m,0.2,-3.0,860.0,440,24m,3.2,-0.7999999999999998,820,3,COMPLETE
55,55,,2025-05-29 23:40:45.803784,2025-05-29 23:40:46.171577,0 days 00:00:00.367793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,59m,0.0,-3.2,500,,,,,,660,8m,3.5,-3.2,490,1,FAIL
56,56,0.1389974983910947,2025-05-29 23:40:46.180705,2025-05-29 23:40:46.552169,0 days 00:00:00.371464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,20m,1.3,-3.2,900,,,,,,550,50m,3.5,-3.2,560,1,COMPLETE
57,57,-2.8720348724554943,2025-05-29 23:40:46.559699,2025-05-29 23:40:47.132052,0 days 00:00:00.572353,,,,,,,,,,,440.0,20m,1.1,-3.5,570.0,,,,,,,,,,,450.0,10m,1.3,-2.3,190.0,,,,,,730,52m,1.0,-0.6999999999999997,800,,,,,,660,49m,2.0,-1.2999999999999998,690,2,COMPLETE
58,58,,2025-05-29 23:40:47.132052,2025-05-29 23:40:47.510202,0 days 00:00:00.378150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,55m,0.0,-3.5,500,,,,,,350,25m,2.3000000000000003,-1.0,510,1,FAIL
59,59,,2025-05-29 23:40:47.510202,2025-05-29 23:40:47.890171,0 days 00:00:00.379969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,54m,0.0,-3.4,510,,,,,,370,58m,2.7,-1.0,490,1,FAIL
60,60,,2025-05-29 23:40:47.890171,2025-05-29 23:40:48.245998,0 days 00:00:00.355827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,25m,0.0,-3.5,750,,,,,,270,59m,2.7,-1.0,510,1,FAIL
61,61,,2025-05-29 23:40:48.256404,2025-05-29 23:40:48.632940,0 days 00:00:00.376536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,27m,0.0,-1.1999999999999997,520,,,,,,340,27m,1.5,-1.5999999999999999,480,1,FAIL
62,62,,2025-05-29 23:40:48.635491,2025-05-29 23:40:48.977472,0 days 00:00:00.341981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,39m,0.1,-3.5,520,,,,,,320,25m,2.7,-1.0,480,1,FAIL
63,63,,2025-05-29 23:40:48.977472,2025-05-29 23:40:49.342249,0 days 00:00:00.364777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,55m,0.0,-3.4,480,,,,,,340,19m,2.7,-1.0,880,1,FAIL
64,64,2.283035661607401,2025-05-29 23:40:49.342249,2025-05-29 23:40:49.707626,0 days 00:00:00.365377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,34m,1.0,-3.5,550,,,,,,340,4m,1.5,-1.0,490,1,COMPLETE
65,65,-0.44871191494710505,2025-05-29 23:40:49.707626,2025-05-29 23:40:50.056679,0 days 00:00:00.349053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,14m,1.0,-3.5,480,,,,,,350,19m,1.5,-1.0999999999999996,460,1,COMPLETE
66,66,0.7945576054253827,2025-05-29 23:40:50.061893,2025-05-29 23:40:50.405869,0 days 00:00:00.343976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,34m,0.7000000000000001,-3.3,540,,,,,,230,4m,1.2000000000000002,-0.8999999999999999,500,1,COMPLETE
67,67,,2025-05-29 23:40:50.405869,2025-05-29 23:40:50.963226,0 days 00:00:00.557357,,,,,,,,,,,690.0,59m,1.4000000000000001,-1.0999999999999996,880.0,,,,,,,,,,,310.0,56m,0.4,-1.7999999999999998,700.0,,,,,,360,57m,1.7000000000000002,-2.8,730,,,,,,460,45m,1.0,-0.6999999999999997,380,2,FAIL
68,68,-0.5431831514935155,2025-05-29 23:40:50.972582,2025-05-29 23:40:51.493383,0 days 00:00:00.520801,,,,,,,,,,,680.0,2m,0.4,-1.0,160.0,,,,,,,,,,,320.0,50m,0.4,-2.7,610.0,,,,,,370,18m,1.7000000000000002,-2.8,740,,,,,,380,46m,2.3000000000000003,-0.6999999999999997,360,2,COMPLETE
69,69,-1.2466035389501722,2025-05-29 23:40:51.503064,2025-05-29 23:40:51.842842,0 days 00:00:00.339778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,50m,0.2,-2.0999999999999996,1000,,,,,,280,7m,1.9000000000000001,-1.0,580,1,COMPLETE
70,70,-2.488303977794272,2025-05-29 23:40:51.842842,2025-05-29 23:40:52.184785,0 days 00:00:00.341943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,25m,1.4000000000000001,-3.5,820,,,,,,110,1m,1.0,0.0,310,1,COMPLETE
71,71,,2025-05-29 23:40:52.192960,2025-05-29 23:40:52.733973,0 days 00:00:00.541013,,,,,,,,,,,820.0,58m,1.4000000000000001,-2.6,890.0,,,,,,,,,,,980.0,49m,2.3000000000000003,-1.7999999999999998,700.0,,,,,,810,58m,1.0,-3.0,650,,,,,,10,48m,1.6,-1.5,530,2,FAIL
72,72,-3.5202432959580703,2025-05-29 23:40:52.749892,2025-05-29 23:40:53.281617,0 days 00:00:00.531725,,,,,,,,,,,820.0,25m,1.1,-2.5,890.0,,,,,,,,,,,210.0,54m,1.7000000000000002,-3.1,710.0,,,,,,530,39m,0.0,-1.7,60,,,,,,10,44m,0.5,-1.5999999999999999,530,2,COMPLETE
