,number,value,datetime_start,datetime_complete,duration,params_ALGN_CELG_beta_win,params_ALGN_CELG_trade_freq,params_ALGN_CELG_z_entry,params_ALGN_CELG_z_exit,params_ALGN_CELG_z_win,params_ATVI_TTWO_beta_win,params_ATVI_TTWO_trade_freq,params_ATVI_TTWO_z_entry,params_ATVI_TTWO_z_exit,params_ATVI_TTWO_z_win,params_AVGO_CELG_beta_win,params_AVGO_CELG_trade_freq,params_AVGO_CELG_z_entry,params_AVGO_CELG_z_exit,params_AVGO_CELG_z_win,params_BIDU_CELG_beta_win,params_BIDU_CELG_trade_freq,params_BIDU_CELG_z_entry,params_BIDU_CELG_z_exit,params_BIDU_CELG_z_win,params_BIIB_FOXA_beta_win,params_BIIB_FOXA_trade_freq,params_BIIB_FOXA_z_entry,params_BIIB_FOXA_z_exit,params_BIIB_FOXA_z_win,params_FOX_BIIB_beta_win,params_FOX_BIIB_trade_freq,params_FOX_BIIB_z_entry,params_FOX_BIIB_z_exit,params_FOX_BIIB_z_win,params_FOX_FOXA_beta_win,params_FOX_FOXA_trade_freq,params_FOX_FOXA_z_entry,params_FOX_FOXA_z_exit,params_FOX_FOXA_z_win,params_NTES_CELG_beta_win,params_NTES_CELG_trade_freq,params_NTES_CELG_z_entry,params_NTES_CELG_z_exit,params_NTES_CELG_z_win,params_PEP_CELG_beta_win,params_PEP_CELG_trade_freq,params_PEP_CELG_z_entry,params_PEP_CELG_z_exit,params_PEP_CELG_z_win,params_TTWO_HSIC_beta_win,params_TTWO_HSIC_trade_freq,params_TTWO_HSIC_z_entry,params_TTWO_HSIC_z_exit,params_TTWO_HSIC_z_win,params_pairs_to_trade,state
22,22,0.38855197222951054,2025-05-29 23:36:16.993599,2025-05-29 23:36:17.958855,0 days 00:00:00.965256,650.0,36m,3.4000000000000004,-3.5,990.0,410.0,32m,3.2,-3.5,950.0,270,44m,0.7000000000000001,0.0,370,,,,,,270.0,59m,0.6000000000000001,-2.2,10.0,610,27m,0.0,-2.2,950,,,,,,40.0,6m,2.9000000000000004,0.0,50.0,980.0,46m,1.2000000000000002,-1.4,310.0,980.0,18m,3.5,-1.4,970.0,4,COMPLETE
23,23,,2025-05-29 23:36:17.966823,2025-05-29 23:36:18.316970,0 days 00:00:00.350147,,,,,,,,,,,70,45m,1.6,-1.5999999999999999,660,,,,,,,,,,,970,55m,1.9000000000000001,-2.8,430,,,,,,,,,,,,,,,,,,,,,1,FAIL
24,24,,2025-05-29 23:36:18.326009,2025-05-29 23:36:18.666769,0 days 00:00:00.340760,,,,,,,,,,,50,30m,1.7000000000000002,-1.5,370,,,,,,,,,,,520,56m,2.0,-1.9,450,,,,,,,,,,,,,,,,,,,,,1,FAIL
25,25,,2025-05-29 23:36:18.666769,2025-05-29 23:36:18.987982,0 days 00:00:00.321213,,,,,,,,,,,80,33m,1.7000000000000002,-1.5999999999999999,690,,,,,,,,,,,970,58m,1.9000000000000001,-2.7,480,,,,,,,,,,,,,,,,,,,,,1,FAIL
26,26,-1.1589042045993792,2025-05-29 23:36:18.996315,2025-05-29 23:36:19.331720,0 days 00:00:00.335405,,,,,,,,,,,10,7m,1.7000000000000002,-1.5999999999999999,670,,,,,,,,,,,990,5m,1.9000000000000001,-1.7999999999999998,440,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
27,27,-1.425777577637334,2025-05-29 23:36:19.335907,2025-05-29 23:36:19.836188,0 days 00:00:00.500281,,,,,,,,,,,430,3m,2.5,-2.5,380,,,,,,600.0,23m,0.6000000000000001,-1.5999999999999999,380.0,540,35m,2.5,-2.7,610,,,,,,,,,,,500.0,56m,2.0,-0.5999999999999996,580.0,,,,,,2,COMPLETE
28,28,-0.4723872625816725,2025-05-29 23:36:19.844598,2025-05-29 23:36:20.561283,0 days 00:00:00.716685,1000.0,27m,3.4000000000000004,-3.5,800.0,,,,,,140,38m,1.2000000000000002,-1.7,270,,,,,,350.0,51m,0.30000000000000004,-2.7,180.0,230,36m,1.2000000000000002,-2.7,830,,,,,,,,,,,740.0,43m,0.0,-1.7,820.0,780.0,18m,0.30000000000000004,-1.2999999999999998,800.0,3,COMPLETE
29,29,0.05508709205979575,2025-05-29 23:36:20.561283,2025-05-29 23:36:21.513797,0 days 00:00:00.952514,350.0,13m,0.4,-2.7,800.0,420.0,42m,2.2,-0.09999999999999964,580.0,590,51m,0.5,-2.0,440,,,,,,790.0,40m,1.0,-1.5,340.0,520,2m,1.8,-1.7,540,,,,,,420.0,12m,0.0,-3.4,980.0,650.0,29m,3.0,-2.4,400.0,760.0,42m,3.5,0.0,960.0,4,COMPLETE
30,30,-0.7512798963676104,2025-05-29 23:36:21.522337,2025-05-29 23:36:22.088174,0 days 00:00:00.565837,,,,,,,,,,,740,4m,2.1,-2.6,640,,,,,,180.0,8m,1.7000000000000002,-3.5,140.0,730,13m,2.7,-1.0999999999999996,380,,,,,,,,,,,580.0,45m,2.0,-0.7999999999999998,570.0,,,,,,2,COMPLETE
31,31,1.5651435381495724,2025-05-29 23:36:22.088174,2025-05-29 23:36:22.870125,0 days 00:00:00.781951,770.0,1m,1.3,-0.8999999999999999,720.0,,,,,,520,22m,2.9000000000000004,-3.4,470,,,,,,760.0,16m,1.5,-2.9,260.0,380,34m,2.1,-0.6999999999999997,180,,,,,,,,,,,310.0,10m,2.9000000000000004,-1.7999999999999998,660.0,370.0,22m,2.5,-2.0,430.0,3,COMPLETE
