,number,value,datetime_start,datetime_complete,duration,params_ALGN_CELG_beta_win,params_ALGN_CELG_trade_freq,params_ALGN_CELG_z_entry,params_ALGN_CELG_z_exit,params_ALGN_CELG_z_win,params_ATVI_TTWO_beta_win,params_ATVI_TTWO_trade_freq,params_ATVI_TTWO_z_entry,params_ATVI_TTWO_z_exit,params_ATVI_TTWO_z_win,params_AVGO_CELG_beta_win,params_AVGO_CELG_trade_freq,params_AVGO_CELG_z_entry,params_AVGO_CELG_z_exit,params_AVGO_CELG_z_win,params_BIDU_CELG_beta_win,params_BIDU_CELG_trade_freq,params_BIDU_CELG_z_entry,params_BIDU_CELG_z_exit,params_BIDU_CELG_z_win,params_BIIB_FOXA_beta_win,params_BIIB_FOXA_trade_freq,params_BIIB_FOXA_z_entry,params_BIIB_FOXA_z_exit,params_BIIB_FOXA_z_win,params_FOX_BIIB_beta_win,params_FOX_BIIB_trade_freq,params_FOX_BIIB_z_entry,params_FOX_BIIB_z_exit,params_FOX_BIIB_z_win,params_FOX_FOXA_beta_win,params_FOX_FOXA_trade_freq,params_FOX_FOXA_z_entry,params_FOX_FOXA_z_exit,params_FOX_FOXA_z_win,params_NTES_CELG_beta_win,params_NTES_CELG_trade_freq,params_NTES_CELG_z_entry,params_NTES_CELG_z_exit,params_NTES_CELG_z_win,params_PEP_CELG_beta_win,params_PEP_CELG_trade_freq,params_PEP_CELG_z_entry,params_PEP_CELG_z_exit,params_PEP_CELG_z_win,params_TTWO_HSIC_beta_win,params_TTWO_HSIC_trade_freq,params_TTWO_HSIC_z_entry,params_TTWO_HSIC_z_exit,params_TTWO_HSIC_z_win,params_pairs_to_trade,state
130,130,,2025-05-29 23:37:13.830252,2025-05-29 23:37:14.388049,0 days 00:00:00.557797,,,,,,,,,,,280,18m,2.4000000000000004,0.0,800,,,,,,980.0,45m,1.4000000000000001,-2.9,390.0,550,17m,1.8,-2.9,900,,,,,,,,,,,1000.0,49m,1.0,-0.8999999999999999,440.0,,,,,,2,FAIL
131,131,3.1504226996194067,2025-05-29 23:37:14.403791,2025-05-29 23:37:14.958630,0 days 00:00:00.554839,,,,,,,,,,,470,44m,2.4000000000000004,0.0,980,,,,,,750.0,15m,1.4000000000000001,-2.8,180.0,540,39m,1.8,-2.9,900,,,,,,,,,,,1000.0,50m,1.1,-1.4,650.0,,,,,,2,COMPLETE
132,132,2.1655340964657115,2025-05-29 23:37:14.958630,2025-05-29 23:37:15.701828,0 days 00:00:00.743198,380.0,35m,0.0,-0.2999999999999998,470.0,,,,,,410,44m,2.5,-0.5,900,,,,,,990.0,14m,1.8,-2.8,40.0,540,17m,1.8,-3.4,950,,,,,,,,,,,980.0,50m,1.1,-1.4,650.0,520.0,31m,1.9000000000000001,-0.3999999999999999,690.0,3,COMPLETE
133,133,-0.3497470079665081,2025-05-29 23:37:15.712218,2025-05-29 23:37:16.452676,0 days 00:00:00.740458,750.0,29m,2.9000000000000004,-1.9,130.0,,,,,,290,55m,2.4000000000000004,-0.7999999999999998,810,,,,,,740.0,15m,1.5,-3.1,100.0,620,39m,2.0,-2.3,900,,,,,,,,,,,1000.0,8m,0.7000000000000001,-1.5999999999999999,550.0,820.0,11m,2.9000000000000004,-2.4,900.0,3,COMPLETE
134,134,1.4818454567275026,2025-05-29 23:37:16.452676,2025-05-29 23:37:17.022169,0 days 00:00:00.569493,,,,,,,,,,,340,42m,2.7,-0.2999999999999998,960,,,,,,620.0,16m,1.1,-2.6,210.0,570,9m,2.1,-2.6,830,,,,,,,,,,,880.0,33m,0.4,-1.7999999999999998,690.0,,,,,,2,COMPLETE
135,135,,2025-05-29 23:37:17.038249,2025-05-29 23:37:17.602308,0 days 00:00:00.564059,,,,,,,,,,,470,18m,2.0,0.0,1000,,,,,,810.0,50m,1.3,-2.9,170.0,380,28m,2.5,-2.9,1000,,,,,,,,,,,730.0,37m,1.0,-0.8999999999999999,500.0,,,,,,2,FAIL
136,136,0.9335752078994125,2025-05-29 23:37:17.602308,2025-05-29 23:37:18.148793,0 days 00:00:00.546485,,,,,,,,,,,460,29m,2.9000000000000004,0.0,990,,,,,,820.0,50m,1.3,-2.9,170.0,390,12m,1.9000000000000001,-2.9,1000,,,,,,,,,,,810.0,55m,1.1,-1.2999999999999998,600.0,,,,,,2,COMPLETE
137,137,-1.451053729038084,2025-05-29 23:37:18.148793,2025-05-29 23:37:18.726411,0 days 00:00:00.577618,,,,,,,,,,,550,23m,1.9000000000000001,-0.19999999999999973,970,,,,,,770.0,38m,1.4000000000000001,-2.4,290.0,420,18m,2.5,-3.2,890,,,,,,,,,,,750.0,2m,1.3,-1.0999999999999996,500.0,,,,,,2,COMPLETE
138,138,,2025-05-29 23:37:18.726411,2025-05-29 23:37:19.311277,0 days 00:00:00.584866,,,,,,,,,,,430,43m,2.0,-0.09999999999999964,880,,,,,,680.0,22m,1.6,-2.8,330.0,510,28m,1.8,-3.0,790,,,,,,,,,,,610.0,47m,1.7000000000000002,-1.5,320.0,,,,,,2,FAIL
139,139,3.2426920484685215,2025-05-29 23:37:19.311277,2025-05-29 23:37:19.862639,0 days 00:00:00.551362,,,,,,,,,,,510,44m,2.0,-0.09999999999999964,1000,,,,,,680.0,17m,0.9,-2.8,330.0,500,44m,1.8,-2.8,780,,,,,,,,,,,630.0,25m,1.7000000000000002,-0.8999999999999999,440.0,,,,,,2,COMPLETE
140,140,,2025-05-29 23:37:19.868346,2025-05-29 23:37:20.426478,0 days 00:00:00.558132,,,,,,,,,,,520,44m,2.0,-1.0999999999999996,910,,,,,,690.0,33m,0.6000000000000001,-3.5,340.0,520,29m,1.4000000000000001,-2.8,730,,,,,,,,,,,600.0,25m,1.5,-1.5,310.0,,,,,,2,FAIL
141,141,-2.7189572301935097,2025-05-29 23:37:20.426478,2025-05-29 23:37:21.004194,0 days 00:00:00.577716,,,,,,,,,,,520,44m,2.0,-0.09999999999999964,10,,,,,,680.0,27m,0.6000000000000001,-2.8,330.0,520,27m,1.7000000000000002,-2.6,780,,,,,,,,,,,630.0,25m,1.6,-0.8999999999999999,650.0,,,,,,2,COMPLETE
142,142,1.3864331425268377,2025-05-29 23:37:21.004194,2025-05-29 23:37:21.538858,0 days 00:00:00.534664,,,,,,,,,,,580,47m,2.2,-0.5999999999999996,940,,,,,,600.0,17m,0.9,-3.4,240.0,480,39m,1.4000000000000001,-2.7,720,,,,,,,,,,,470.0,31m,1.7000000000000002,-1.9,310.0,,,,,,2,COMPLETE
143,143,-6.722914715768615,2025-05-29 23:37:21.552051,2025-05-29 23:37:22.299492,0 days 00:00:00.747441,830.0,9m,1.1,-1.2999999999999998,340.0,,,,,,370,43m,2.4000000000000004,-3.1,710,,,,,,320.0,34m,0.8,-3.1,370.0,600,28m,1.6,-3.0,610,,,,,,,,,,,700.0,7m,1.9000000000000001,-1.5,560.0,700.0,28m,1.2000000000000002,-1.9,320.0,3,COMPLETE
144,144,,2025-05-29 23:37:22.299492,2025-05-29 23:37:22.862568,0 days 00:00:00.563076,,,,,,,,,,,440,44m,3.4000000000000004,-1.2999999999999998,890,,,,,,780.0,49m,0.2,-2.7,410.0,650,29m,3.2,-2.0999999999999996,850,,,,,,,,,,,560.0,27m,0.9,-0.5,500.0,,,,,,2,FAIL
145,145,-0.10469378088682946,2025-05-29 23:37:22.862568,2025-05-29 23:37:23.408492,0 days 00:00:00.545924,,,,,,,,,,,1000,18m,2.1,-0.3999999999999999,880,,,,,,780.0,22m,0.2,-2.7,400.0,540,31m,1.8,-3.3,50,,,,,,,,,,,660.0,12m,1.0,-0.5999999999999996,610.0,,,,,,2,COMPLETE
146,146,2.7842626459755855,2025-05-29 23:37:23.424589,2025-05-29 23:37:23.768494,0 days 00:00:00.343905,,,,,,,,,,,320,38m,2.3000000000000003,-1.1999999999999997,260,,,,,,,,,,,280,5m,3.2,-2.4,850,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
147,147,2.0417620114317385,2025-05-29 23:37:23.768494,2025-05-29 23:37:24.405699,0 days 00:00:00.637205,,,,,,,,,,,430,38m,2.6,-1.0999999999999996,300,,,,,,220.0,43m,1.0,-2.5,140.0,260,6m,3.2,-2.0999999999999996,740,,,,,,,,,,,560.0,18m,3.3000000000000003,-2.2,730.0,,,,,,2,COMPLETE
148,148,,2025-05-29 23:37:24.405699,2025-05-29 23:37:24.768276,0 days 00:00:00.362577,,,,,,,,,,,600,44m,2.3000000000000003,-1.5,350,,,,,,,,,,,310,36m,3.5,-2.5,850,,,,,,,,,,,,,,,,,,,,,1,FAIL
149,149,0.5581282643982667,2025-05-29 23:37:24.768276,2025-05-29 23:37:25.123151,0 days 00:00:00.354875,,,,,,,,,,,470,6m,2.3000000000000003,-1.4,260,,,,,,,,,,,300,5m,3.5,-2.5,840,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
150,150,,2025-05-29 23:37:25.123151,2025-05-29 23:37:25.490948,0 days 00:00:00.367797,,,,,,,,,,,320,44m,3.4000000000000004,-1.2999999999999998,170,,,,,,,,,,,350,35m,3.1,-2.8,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
151,151,,2025-05-29 23:37:25.490948,2025-05-29 23:37:25.862958,0 days 00:00:00.372010,,,,,,,,,,,270,44m,3.4000000000000004,-1.5999999999999999,160,,,,,,,,,,,340,36m,2.4000000000000004,-2.8,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
152,152,,2025-05-29 23:37:25.862958,2025-05-29 23:37:26.216733,0 days 00:00:00.353775,,,,,,,,,,,230,44m,2.3000000000000003,-0.09999999999999964,220,,,,,,,,,,,350,29m,3.1,-2.8,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
153,153,-3.2288366921203577,2025-05-29 23:37:26.216733,2025-05-29 23:37:26.586000,0 days 00:00:00.369267,,,,,,,,,,,230,44m,3.4000000000000004,-1.2999999999999998,170,,,,,,,,,,,200,24m,2.4000000000000004,-2.8,320,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
154,154,-1.236038714482305,2025-05-29 23:37:26.587771,2025-05-29 23:37:26.958338,0 days 00:00:00.370567,,,,,,,,,,,320,7m,0.0,-0.09999999999999964,240,,,,,,,,,,,460,35m,2.8000000000000003,-2.2,930,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
155,155,-1.2458087038800567,2025-05-29 23:37:26.967435,2025-05-29 23:37:27.315006,0 days 00:00:00.347571,,,,,,,,,,,280,17m,2.1,-1.5999999999999999,210,,,,,,,,,,,260,21m,3.1,-2.4,790,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
156,156,,2025-05-29 23:37:27.315006,2025-05-29 23:37:27.723825,0 days 00:00:00.408819,,,,,,,,,,,430,50m,1.8,-3.3,340,,,,,,,,,,,330,36m,2.1,-2.8,860,,,,,,,,,,,,,,,,,,,,,1,FAIL
157,157,,2025-05-29 23:37:27.723825,2025-05-29 23:37:28.099979,0 days 00:00:00.376154,,,,,,,,,,,430,55m,1.8,-1.0,120,,,,,,,,,,,360,36m,2.1,-2.0,840,,,,,,,,,,,,,,,,,,,,,1,FAIL
158,158,,2025-05-29 23:37:28.103985,2025-05-29 23:37:28.497049,0 days 00:00:00.393064,,,,,,,,,,,430,38m,0.6000000000000001,-1.0,140,,,,,,,,,,,500,29m,2.1,-2.8,850,,,,,,,,,,,,,,,,,,,,,1,FAIL
159,159,-3.099245838922483,2025-05-29 23:37:28.497049,2025-05-29 23:37:28.879025,0 days 00:00:00.381976,,,,,,,,,,,380,4m,1.9000000000000001,-1.0,350,,,,,,,,,,,340,36m,2.1,0.0,840,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
160,160,,2025-05-29 23:37:28.879025,2025-05-29 23:37:29.523151,0 days 00:00:00.644126,,,,,,,,,,,420,50m,2.5,-3.3,150,,,,,,660.0,35m,0.5,-3.0,500.0,500,29m,2.6,-2.7,930,,,,,,,,,,,610.0,21m,1.5,-1.7,410.0,,,,,,2,FAIL
161,161,0.30021371009397624,2025-05-29 23:37:29.523151,2025-05-29 23:37:30.106804,0 days 00:00:00.583653,,,,,,,,,,,600,50m,2.5,-0.6999999999999997,90,,,,,,730.0,35m,1.6,-2.9,500.0,500,11m,2.6,-2.7,260,,,,,,,,,,,610.0,49m,2.8000000000000003,-1.7,520.0,,,,,,2,COMPLETE
162,162,-0.43043265738965614,2025-05-29 23:37:30.106804,2025-05-29 23:37:30.455360,0 days 00:00:00.348556,,,,,,,,,,,430,38m,0.6000000000000001,-0.19999999999999973,280,,,,,,,,,,,370,2m,1.9000000000000001,-2.0,520,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
163,163,-0.5073399495036025,2025-05-29 23:37:30.455360,2025-05-29 23:37:31.217363,0 days 00:00:00.762003,230.0,8m,2.6,-2.9,620.0,,,,,,410,3m,1.6,-3.3,140,,,,,,650.0,15m,0.5,-3.2,80.0,560,5m,2.0,-0.5999999999999996,380,,,,,,,,,,,530.0,47m,1.9000000000000001,-1.2999999999999998,410.0,210.0,27m,2.8000000000000003,-2.3,820.0,3,COMPLETE
164,164,,2025-05-29 23:37:31.217363,2025-05-29 23:37:31.771779,0 days 00:00:00.554416,,,,,,,,,,,210,16m,1.8,-1.9,410,,,,,,890.0,45m,0.7000000000000001,-3.0,180.0,320,29m,2.2,-3.1,930,,,,,,,,,,,970.0,21m,1.5,-0.8999999999999999,470.0,,,,,,2,FAIL
165,165,,2025-05-29 23:37:31.782152,2025-05-29 23:37:32.340670,0 days 00:00:00.558518,,,,,,,,,,,260,55m,1.8,-1.7999999999999998,190,,,,,,680.0,30m,0.7000000000000001,-3.5,200.0,320,34m,2.2,-3.1,460,,,,,,,,,,,960.0,37m,1.5,-0.8999999999999999,460.0,,,,,,2,FAIL
166,166,1.5732149887123168,2025-05-29 23:37:32.351272,2025-05-29 23:37:32.922823,0 days 00:00:00.571551,,,,,,,,,,,250,55m,2.0,-1.9,190,,,,,,410.0,33m,0.7000000000000001,-3.0,180.0,320,13m,2.2,-3.1,920,,,,,,,,,,,960.0,21m,1.5,-0.8999999999999999,460.0,,,,,,2,COMPLETE
167,167,,2025-05-29 23:37:32.922823,2025-05-29 23:37:33.270383,0 days 00:00:00.347560,,,,,,,,,,,190,51m,1.8,-1.0999999999999996,390,,,,,,,,,,,400,43m,2.3000000000000003,-0.2999999999999998,120,,,,,,,,,,,,,,,,,,,,,1,FAIL
168,168,,2025-05-29 23:37:33.275416,2025-05-29 23:37:33.615927,0 days 00:00:00.340511,,,,,,,,,,,200,51m,1.8,-0.2999999999999998,500,,,,,,,,,,,280,29m,2.3000000000000003,-3.2,750,,,,,,,,,,,,,,,,,,,,,1,FAIL
169,169,-0.6187036649652319,2025-05-29 23:37:33.626334,2025-05-29 23:37:33.960243,0 days 00:00:00.333909,,,,,,,,,,,210,44m,1.8,-3.5,400,,,,,,,,,,,450,10m,2.3000000000000003,-2.3,170,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
170,170,-0.38269187465617255,2025-05-29 23:37:33.970592,2025-05-29 23:37:34.513219,0 days 00:00:00.542627,,,,,,,,,,,530,8m,2.3000000000000003,-2.4,440,,,,,,900.0,29m,1.2000000000000002,-3.5,340.0,400,29m,1.9000000000000001,-0.2999999999999998,940,,,,,,,,,,,350.0,37m,1.5,-1.4,200.0,,,,,,2,COMPLETE
171,171,,2025-05-29 23:37:34.513219,2025-05-29 23:37:35.051848,0 days 00:00:00.538629,,,,,,,,,,,510,27m,1.5,0.0,1000,,,,,,850.0,45m,1.5,-2.0,250.0,480,44m,0.4,-2.9,880,,,,,,,,,,,920.0,41m,1.3,-1.0999999999999996,320.0,,,,,,2,FAIL
172,172,,2025-05-29 23:37:35.051848,2025-05-29 23:37:35.667671,0 days 00:00:00.615823,,,,,,,,,,,490,27m,1.7000000000000002,0.0,1000,,,,,,840.0,49m,1.5,-1.9,250.0,650,23m,0.4,-2.9,850,,,,,,,,,,,920.0,27m,1.3,-1.0999999999999996,440.0,,,,,,2,FAIL
173,173,,2025-05-29 23:37:35.667671,2025-05-29 23:37:36.277400,0 days 00:00:00.609729,,,,,,,,,,,450,27m,1.7000000000000002,0.0,1000,,,,,,820.0,45m,1.5,-1.9,260.0,510,44m,0.4,-2.9,860,,,,,,,,,,,860.0,40m,1.3,-1.0999999999999996,430.0,,,,,,2,FAIL
174,174,2.11426224573073,2025-05-29 23:37:36.277400,2025-05-29 23:37:36.892513,0 days 00:00:00.615113,,,,,,,,,,,500,27m,1.7000000000000002,0.0,980,,,,,,850.0,48m,1.3,-1.9,260.0,500,23m,1.8,-2.9,870,,,,,,,,,,,800.0,1m,1.3,-1.0999999999999996,450.0,,,,,,2,COMPLETE
175,175,2.8028130608317463,2025-05-29 23:37:36.902743,2025-05-29 23:37:37.458859,0 days 00:00:00.556116,,,,,,,,,,,440,22m,1.5,-0.2999999999999998,950,,,,,,810.0,17m,1.5,-1.5999999999999999,280.0,420,44m,0.5,-2.8,850,,,,,,,,,,,930.0,41m,1.0,-1.0999999999999996,300.0,,,,,,2,COMPLETE
176,176,-1.510182626494432,2025-05-29 23:37:37.468460,2025-05-29 23:37:38.049062,0 days 00:00:00.580602,,,,,,,,,,,450,13m,1.5,-0.2999999999999998,950,,,,,,800.0,17m,1.9000000000000001,-1.5,300.0,360,44m,1.7000000000000002,-3.0,120,,,,,,,,,,,920.0,5m,1.1,-1.1999999999999997,310.0,,,,,,2,COMPLETE
177,177,,2025-05-29 23:37:38.055580,2025-05-29 23:37:38.868581,0 days 00:00:00.813001,530.0,46m,2.0,-2.3,330.0,,,,,,330,22m,1.3,-0.5,910,,,,,,700.0,49m,1.6,-2.5,400.0,470,34m,1.4000000000000001,-2.8,820,,,,,,,,,,,870.0,27m,0.8,-0.8999999999999999,160.0,460.0,37m,0.1,-1.5,250.0,3,FAIL
178,178,-2.608878026937563,2025-05-29 23:37:38.868581,2025-05-29 23:37:39.687167,0 days 00:00:00.818586,510.0,26m,1.6,-2.3,320.0,,,,,,330,16m,1.4000000000000001,-3.0,910,,,,,,700.0,45m,0.0,-2.5,220.0,280,56m,1.6,-2.8,750,,,,,,,,,,,980.0,27m,0.9,-0.8999999999999999,230.0,340.0,20m,0.0,-1.5,280.0,3,COMPLETE
179,179,4.085428940170355,2025-05-29 23:37:39.698452,2025-05-29 23:37:40.252578,0 days 00:00:00.554126,,,,,,,,,,,370,30m,2.7,-0.5,930,,,,,,740.0,12m,1.7000000000000002,-2.7,190.0,470,33m,1.4000000000000001,-3.2,820,,,,,,,,,,,930.0,41m,1.0,-1.5999999999999999,670.0,,,,,,2,COMPLETE
180,180,3.289983265953225,2025-05-29 23:37:40.252578,2025-05-29 23:37:40.820194,0 days 00:00:00.567616,,,,,,,,,,,360,30m,2.7,-0.5,500,,,,,,750.0,12m,1.6,-2.7,190.0,590,33m,1.5,-2.7,820,,,,,,,,,,,890.0,24m,1.0,-1.9,640.0,,,,,,2,COMPLETE
181,181,1.3873808920730304,2025-05-29 23:37:40.820194,2025-05-29 23:37:41.389128,0 days 00:00:00.568934,,,,,,,,,,,370,22m,2.9000000000000004,-0.5999999999999996,600,,,,,,730.0,3m,1.6,-2.7,110.0,640,33m,1.5,-2.6,820,,,,,,,,,,,930.0,41m,0.8,-1.9,130.0,,,,,,2,COMPLETE
182,182,3.5238732478517765,2025-05-29 23:37:41.389128,2025-05-29 23:37:41.968481,0 days 00:00:00.579353,,,,,,,,,,,350,22m,2.7,-0.5,520,,,,,,760.0,17m,1.9000000000000001,-2.6,190.0,710,34m,1.2000000000000002,-2.7,800,,,,,,,,,,,880.0,41m,1.0,-2.0999999999999996,670.0,,,,,,2,COMPLETE
183,183,2.5891554784356834,2025-05-29 23:37:41.968481,2025-05-29 23:37:42.539448,0 days 00:00:00.570967,,,,,,,,,,,350,30m,2.8000000000000003,-0.5,460,,,,,,680.0,12m,2.0,-2.6,180.0,780,34m,1.2000000000000002,-2.8,670,,,,,,,,,,,890.0,41m,0.7000000000000001,-2.0999999999999996,680.0,,,,,,2,COMPLETE
184,184,0.08766820778580385,2025-05-29 23:37:42.549978,2025-05-29 23:37:43.111228,0 days 00:00:00.561250,,,,,,,,,,,440,30m,3.1,-0.2999999999999998,500,,,,,,750.0,12m,1.9000000000000001,-2.8,200.0,780,14m,1.1,-2.7,810,,,,,,,,,,,1000.0,40m,1.0,-2.0,630.0,,,,,,2,COMPLETE
185,185,3.485536356083684,2025-05-29 23:37:43.111228,2025-05-29 23:37:43.679023,0 days 00:00:00.567795,,,,,,,,,,,310,22m,2.7,-0.3999999999999999,580,,,,,,780.0,17m,1.5,-2.9,230.0,700,33m,1.4000000000000001,-3.0,850,,,,,,,,,,,940.0,24m,1.0,-1.7999999999999998,590.0,,,,,,2,COMPLETE
186,186,3.500137179683275,2025-05-29 23:37:43.689407,2025-05-29 23:37:44.279419,0 days 00:00:00.590012,,,,,,,,,,,420,22m,2.7,-0.3999999999999999,540,,,,,,770.0,17m,1.5,-2.9,240.0,710,33m,1.4000000000000001,-3.1,770,,,,,,,,,,,960.0,41m,1.0,-2.2,640.0,,,,,,2,COMPLETE
187,187,,2025-05-29 23:37:44.288071,2025-05-29 23:37:44.882626,0 days 00:00:00.594555,,,,,,,,,,,270,22m,2.7,-0.3999999999999999,580,,,,,,710.0,42m,1.7000000000000002,-3.0,230.0,640,33m,1.3,-3.3,710,,,,,,,,,,,870.0,24m,0.8,-2.4,660.0,,,,,,2,FAIL
188,188,3.485536356083684,2025-05-29 23:37:44.882626,2025-05-29 23:37:45.516499,0 days 00:00:00.633873,,,,,,,,,,,300,22m,2.7,-0.7999999999999998,540,,,,,,780.0,17m,1.8,-3.0,240.0,710,33m,1.4000000000000001,-3.3,770,,,,,,,,,,,900.0,24m,0.8,-2.4,660.0,,,,,,2,COMPLETE
189,189,,2025-05-29 23:37:45.519497,2025-05-29 23:37:46.062397,0 days 00:00:00.542900,,,,,,,,,,,290,22m,2.7,-0.7999999999999998,530,,,,,,710.0,59m,1.7000000000000002,-2.9,240.0,720,33m,1.4000000000000001,-3.4,740,,,,,,,,,,,970.0,42m,0.8,-2.4,660.0,,,,,,2,FAIL
190,190,4.249236984547908,2025-05-29 23:37:46.062397,2025-05-29 23:37:46.632207,0 days 00:00:00.569810,,,,,,,,,,,270,22m,2.7,-0.7999999999999998,630,,,,,,720.0,17m,1.7000000000000002,-2.9,230.0,720,33m,1.4000000000000001,-3.3,720,,,,,,,,,,,970.0,42m,0.8,-2.3,660.0,,,,,,2,COMPLETE
191,191,4.049638145812798,2025-05-29 23:37:46.648282,2025-05-29 23:37:47.260328,0 days 00:00:00.612046,,,,,,,,,,,300,22m,2.7,-0.6999999999999997,580,,,,,,710.0,17m,1.7000000000000002,-2.9,150.0,680,33m,1.4000000000000001,-3.4,770,,,,,,,,,,,960.0,24m,0.6000000000000001,-2.4,660.0,,,,,,2,COMPLETE
192,192,3.9034232305428613,2025-05-29 23:37:47.276414,2025-05-29 23:37:47.873468,0 days 00:00:00.597054,,,,,,,,,,,300,51m,2.7,-0.7999999999999998,580,,,,,,700.0,17m,1.7000000000000002,-2.9,230.0,720,33m,1.2000000000000002,-3.4,770,,,,,,,,,,,970.0,42m,0.5,-2.4,710.0,,,,,,2,COMPLETE
193,193,4.011015481960097,2025-05-29 23:37:47.873468,2025-05-29 23:37:48.438026,0 days 00:00:00.564558,,,,,,,,,,,270,22m,2.7,-0.7999999999999998,580,,,,,,710.0,17m,1.7000000000000002,-3.0,240.0,710,33m,1.4000000000000001,-3.4,700,,,,,,,,,,,970.0,42m,0.4,-2.4,710.0,,,,,,2,COMPLETE
194,194,4.011015481960097,2025-05-29 23:37:48.438026,2025-05-29 23:37:48.975507,0 days 00:00:00.537481,,,,,,,,,,,270,22m,2.7,-0.5999999999999996,580,,,,,,710.0,17m,1.8,-3.0,230.0,720,33m,1.4000000000000001,-3.4,730,,,,,,,,,,,970.0,42m,0.30000000000000004,-2.4,710.0,,,,,,2,COMPLETE
195,195,4.011015481960097,2025-05-29 23:37:48.975507,2025-05-29 23:37:49.524253,0 days 00:00:00.548746,,,,,,,,,,,300,22m,2.8000000000000003,-0.7999999999999998,540,,,,,,710.0,17m,1.8,-3.0,240.0,710,33m,1.4000000000000001,-3.4,730,,,,,,,,,,,960.0,42m,0.30000000000000004,-2.4,730.0,,,,,,2,COMPLETE
196,196,4.249236984547908,2025-05-29 23:37:49.531256,2025-05-29 23:37:50.072396,0 days 00:00:00.541140,,,,,,,,,,,300,22m,3.0,-0.7999999999999998,540,,,,,,720.0,17m,1.8,-3.0,240.0,720,33m,1.3,-3.4,730,,,,,,,,,,,960.0,42m,0.30000000000000004,-2.4,710.0,,,,,,2,COMPLETE
197,197,4.011015481960097,2025-05-29 23:37:50.072396,2025-05-29 23:37:50.634354,0 days 00:00:00.561958,,,,,,,,,,,290,22m,3.0,-0.7999999999999998,540,,,,,,710.0,17m,1.8,-3.0,240.0,720,33m,1.4000000000000001,-3.4,730,,,,,,,,,,,960.0,42m,0.30000000000000004,-2.4,740.0,,,,,,2,COMPLETE
198,198,4.011015481960097,2025-05-29 23:37:50.650473,2025-05-29 23:37:51.209204,0 days 00:00:00.558731,,,,,,,,,,,270,22m,3.0,-0.7999999999999998,540,,,,,,710.0,17m,1.8,-3.0,230.0,710,33m,1.4000000000000001,-3.4,730,,,,,,,,,,,970.0,24m,0.30000000000000004,-2.4,730.0,,,,,,2,COMPLETE
199,199,4.011015481960097,2025-05-29 23:37:51.209204,2025-05-29 23:37:51.776922,0 days 00:00:00.567718,,,,,,,,,,,270,22m,3.0,-0.7999999999999998,580,,,,,,710.0,17m,1.7000000000000002,-3.1,220.0,730,33m,1.4000000000000001,-3.4,710,,,,,,,,,,,960.0,42m,0.2,-2.7,710.0,,,,,,2,COMPLETE
