,number,value,datetime_start,datetime_complete,duration,params_AAL_MAR_beta_win,params_AAL_MAR_trade_freq,params_AAL_MAR_z_entry,params_AAL_MAR_z_exit,params_AAL_MAR_z_win,params_ADSK_CSX_beta_win,params_ADSK_CSX_trade_freq,params_ADSK_CSX_z_entry,params_ADSK_CSX_z_exit,params_ADSK_CSX_z_win,params_ALGN_MAR_beta_win,params_ALGN_MAR_trade_freq,params_ALGN_MAR_z_entry,params_ALGN_MAR_z_exit,params_ALGN_MAR_z_win,params_AMGN_NTAP_beta_win,params_AMGN_NTAP_trade_freq,params_AMGN_NTAP_z_entry,params_AMGN_NTAP_z_exit,params_AMGN_NTAP_z_win,params_BIDU_INCY_beta_win,params_BIDU_INCY_trade_freq,params_BIDU_INCY_z_entry,params_BIDU_INCY_z_exit,params_BIDU_INCY_z_win,params_INTU_MNST_beta_win,params_INTU_MNST_trade_freq,params_INTU_MNST_z_entry,params_INTU_MNST_z_exit,params_INTU_MNST_z_win,params_SBUX_EA_beta_win,params_SBUX_EA_trade_freq,params_SBUX_EA_z_entry,params_SBUX_EA_z_exit,params_SBUX_EA_z_win,params_UAL_ALGN_beta_win,params_UAL_ALGN_trade_freq,params_UAL_ALGN_z_entry,params_UAL_ALGN_z_exit,params_UAL_ALGN_z_win,params_UAL_MAR_beta_win,params_UAL_MAR_trade_freq,params_UAL_MAR_z_entry,params_UAL_MAR_z_exit,params_UAL_MAR_z_win,params_WDC_MAR_beta_win,params_WDC_MAR_trade_freq,params_WDC_MAR_z_entry,params_WDC_MAR_z_exit,params_WDC_MAR_z_win,params_pairs_to_trade,state
21,21,-0.1633896256695077,2025-05-29 23:45:23.254237,2025-05-29 23:45:24.529058,0 days 00:00:01.274821,1000.0,58m,1.8,-2.7,450.0,210.0,48m,2.3000000000000003,-0.7999999999999998,10.0,200.0,5m,2.6,-2.5,50.0,840,10m,3.4000000000000004,-1.5,700,920.0,45m,0.4,-2.2,550.0,680.0,36m,0.0,-0.2999999999999998,290.0,230.0,52m,0.2,-0.5999999999999996,530.0,10,7m,2.2,-2.0,950,730.0,8m,2.1,-1.4,680.0,740.0,5m,1.8,-3.5,980.0,5,COMPLETE
22,22,-0.7103372581437479,2025-05-29 23:45:24.541184,2025-05-29 23:45:24.934270,0 days 00:00:00.393086,,,,,,,,,,,,,,,,200,26m,0.7000000000000001,-0.5,160,,,,,,,,,,,,,,,,610,2m,1.2000000000000002,-3.0,670,,,,,,,,,,,1,COMPLETE
23,23,0.6617245681589633,2025-05-29 23:45:24.934270,2025-05-29 23:45:25.990019,0 days 00:00:01.055749,250.0,40m,1.1,-0.5999999999999996,320.0,570.0,30m,3.3000000000000003,-0.5999999999999996,990.0,610.0,41m,1.5,-2.4,430.0,650,21m,1.6,-1.4,810,,,,,,10.0,29m,3.0,-1.5999999999999999,430.0,760.0,51m,3.3000000000000003,-2.9,780.0,450,23m,0.4,-2.3,850,390.0,2m,3.5,-0.7999999999999998,370.0,,,,,,4,COMPLETE
24,24,0.7187935284666891,2025-05-29 23:45:25.990019,2025-05-29 23:45:27.058125,0 days 00:00:01.068106,170.0,19m,1.0,-0.2999999999999998,260.0,560.0,30m,3.4000000000000004,-0.5999999999999996,990.0,650.0,41m,1.6,-2.4,460.0,520,21m,1.7000000000000002,-2.3,990,,,,,,140.0,29m,3.2,-1.5,210.0,790.0,42m,3.5,-3.1,790.0,450,41m,0.4,-2.3,890,360.0,2m,3.4000000000000004,-0.7999999999999998,320.0,,,,,,4,COMPLETE
25,25,-0.29584930930137365,2025-05-29 23:45:27.068536,2025-05-29 23:45:28.386759,0 days 00:00:01.318223,140.0,19m,1.2000000000000002,-0.8999999999999999,280.0,370.0,15m,3.0,-0.5999999999999996,820.0,740.0,4m,1.9000000000000001,-2.2,600.0,470,8m,0.5,-2.2,980,490.0,6m,3.1,-3.5,440.0,370.0,47m,3.1,-2.4,190.0,820.0,19m,1.5,-2.6,770.0,690,41m,0.5,-1.7,410,140.0,1m,3.2,-0.6999999999999997,80.0,550.0,17m,1.9000000000000001,-2.0,20.0,5,COMPLETE
26,26,-1.2317963915346999,2025-05-29 23:45:28.397511,2025-05-29 23:45:29.468725,0 days 00:00:01.071214,590.0,45m,2.5,-2.4,10.0,700.0,43m,1.6,-2.2,460.0,360.0,28m,3.1,-3.5,300.0,280,9m,1.2000000000000002,-2.8,870,,,,,,750.0,54m,2.0,-0.6999999999999997,150.0,430.0,42m,2.6,-1.1999999999999997,960.0,510,36m,2.3000000000000003,0.0,920,320.0,54m,2.2,-1.9,430.0,,,,,,4,COMPLETE
27,27,-2.114719068048553,2025-05-29 23:45:29.479241,2025-05-29 23:45:30.550629,0 days 00:00:01.071388,270.0,40m,1.0,-0.19999999999999973,330.0,540.0,30m,3.5,-0.5999999999999996,990.0,620.0,41m,1.4000000000000001,-2.6,450.0,600,21m,1.8,-2.0,810,,,,,,10.0,29m,3.0,-1.5999999999999999,400.0,770.0,42m,3.4000000000000004,-3.5,730.0,450,41m,0.0,-2.3,860,420.0,2m,3.5,-0.6999999999999997,280.0,,,,,,4,COMPLETE
28,28,-0.5585010006289048,2025-05-29 23:45:30.550629,2025-05-29 23:45:31.787991,0 days 00:00:01.237362,210.0,19m,0.8,-0.6999999999999997,290.0,590.0,2m,3.1,-0.3999999999999999,850.0,630.0,41m,1.4000000000000001,-2.0999999999999996,420.0,510,55m,1.7000000000000002,-1.4,980,440.0,19m,1.3,-0.8999999999999999,950.0,20.0,29m,3.1,-1.5999999999999999,480.0,780.0,51m,3.0,-2.7,660.0,330,28m,0.5,-2.4,880,390.0,2m,3.4000000000000004,-1.0999999999999996,490.0,50.0,37m,3.5,-2.0,650.0,5,COMPLETE
29,29,,2025-05-29 23:45:31.795750,2025-05-29 23:45:32.777166,0 days 00:00:00.981416,40.0,40m,1.5,-0.7999999999999998,650.0,480.0,30m,3.0,-1.0,860.0,750.0,41m,2.3000000000000003,-2.9,550.0,690,39m,1.4000000000000001,-2.7,750,,,,,,150.0,29m,3.5,-1.4,290.0,710.0,51m,3.5,-2.8,840.0,490,57m,0.6000000000000001,-3.2,630,660.0,15m,2.6,-0.3999999999999999,370.0,,,,,,4,FAIL
30,30,-2.0225119445504025,2025-05-29 23:45:32.784332,2025-05-29 23:45:33.763360,0 days 00:00:00.979028,30.0,40m,1.5,-0.8999999999999999,660.0,450.0,11m,3.0,-1.0,870.0,770.0,41m,1.7000000000000002,-2.8,530.0,690,42m,1.4000000000000001,-2.5,720,,,,,,180.0,29m,3.5,-1.4,270.0,690.0,51m,2.8000000000000003,-2.7,860.0,480,23m,0.5,-1.9,620,650.0,4m,2.5,-0.3999999999999999,400.0,,,,,,4,COMPLETE
