,number,value,datetime_start,datetime_complete,duration,params_ASML_ISRG_beta_win,params_ASML_ISRG_trade_freq,params_ASML_ISRG_z_entry,params_ASML_ISRG_z_exit,params_ASML_ISRG_z_win,params_CELG_IDXX_beta_win,params_CELG_IDXX_trade_freq,params_CELG_IDXX_z_entry,params_CELG_IDXX_z_exit,params_CELG_IDXX_z_win,params_CSX_MAR_beta_win,params_CSX_MAR_trade_freq,params_CSX_MAR_z_entry,params_CSX_MAR_z_exit,params_CSX_MAR_z_win,params_ILMN_INCY_beta_win,params_ILMN_INCY_trade_freq,params_ILMN_INCY_z_entry,params_ILMN_INCY_z_exit,params_ILMN_INCY_z_win,params_LRCX_CHTR_beta_win,params_LRCX_CHTR_trade_freq,params_LRCX_CHTR_z_entry,params_LRCX_CHTR_z_exit,params_LRCX_CHTR_z_win,params_MSFT_VRTX_beta_win,params_MSFT_VRTX_trade_freq,params_MSFT_VRTX_z_entry,params_MSFT_VRTX_z_exit,params_MSFT_VRTX_z_win,params_NFLX_IDXX_beta_win,params_NFLX_IDXX_trade_freq,params_NFLX_IDXX_z_entry,params_NFLX_IDXX_z_exit,params_NFLX_IDXX_z_win,params_TTWO_SWKS_beta_win,params_TTWO_SWKS_trade_freq,params_TTWO_SWKS_z_entry,params_TTWO_SWKS_z_exit,params_TTWO_SWKS_z_win,params_WDC_CERN_beta_win,params_WDC_CERN_trade_freq,params_WDC_CERN_z_entry,params_WDC_CERN_z_exit,params_WDC_CERN_z_win,params_WYNN_ADSK_beta_win,params_WYNN_ADSK_trade_freq,params_WYNN_ADSK_z_entry,params_WYNN_ADSK_z_exit,params_WYNN_ADSK_z_win,params_pairs_to_trade,state
21,21,-2.9912591974048985,2025-05-29 23:33:05.043457,2025-05-29 23:33:06.216140,0 days 00:00:01.172683,600.0,28m,2.2,-3.5,500.0,250.0,40m,2.3000000000000003,-0.3999999999999999,220.0,410.0,54m,3.4000000000000004,-0.5999999999999996,680.0,480,36m,1.5,0.0,590,570.0,45m,2.2,-1.0,730.0,10.0,53m,2.6,-1.9,690.0,30.0,19m,1.2000000000000002,-0.7999999999999998,450.0,50.0,9m,3.0,-0.5999999999999996,270.0,810,10m,0.0,-3.5,970,560.0,43m,0.9,-2.8,290.0,5,COMPLETE
22,22,-2.2606992427789905,2025-05-29 23:33:06.216140,2025-05-29 23:33:06.979440,0 days 00:00:00.763300,20.0,59m,1.1,-1.7,10.0,430.0,33m,0.6000000000000001,-2.6,410.0,170.0,7m,0.4,0.0,430.0,240,5m,0.5,-3.2,280,,,,,,,,,,,,,,,,880.0,23m,3.4000000000000004,-2.6,590.0,1000,5m,3.5,0.0,260,,,,,,3,COMPLETE
23,23,-3.819749044627695,2025-05-29 23:33:06.997853,2025-05-29 23:33:07.560585,0 days 00:00:00.562732,240.0,2m,0.4,-2.5,90.0,,,,,,,,,,,510,21m,1.9000000000000001,-1.0999999999999996,890,,,,,,,,,,,,,,,,980.0,24m,2.7,-2.0,750.0,370,22m,0.4,-1.4,550,,,,,,2,COMPLETE
24,24,,2025-05-29 23:33:07.560585,2025-05-29 23:33:07.902482,0 days 00:00:00.341897,,,,,,,,,,,,,,,,530,21m,1.8,-1.2999999999999998,690,,,,,,,,,,,,,,,,,,,,,300,22m,1.0,-1.2999999999999998,650,,,,,,1,FAIL
25,25,0.5007789086642143,2025-05-29 23:33:07.918531,2025-05-29 23:33:08.268693,0 days 00:00:00.350162,,,,,,,,,,,,,,,,590,21m,1.7000000000000002,-1.1999999999999997,730,,,,,,,,,,,,,,,,,,,,,240,6m,1.0,-1.5,630,,,,,,1,COMPLETE
26,26,2.7129569934222078,2025-05-29 23:33:08.283038,2025-05-29 23:33:08.839303,0 days 00:00:00.556265,140.0,41m,0.5,-2.2,190.0,,,,,,,,,,,760,31m,1.2000000000000002,-0.3999999999999999,950,,,,,,,,,,,,,,,,1000.0,24m,2.6,-1.9,670.0,460,42m,0.2,-1.1999999999999997,680,,,,,,2,COMPLETE
27,27,,2025-05-29 23:33:08.839303,2025-05-29 23:33:09.174827,0 days 00:00:00.335524,,,,,,,,,,,,,,,,800,34m,0.9,-0.3999999999999999,980,,,,,,,,,,,,,,,,,,,,,520,42m,0.8,-2.0,750,,,,,,1,FAIL
28,28,,2025-05-29 23:33:09.190664,2025-05-29 23:33:09.517848,0 days 00:00:00.327184,,,,,,,,,,,,,,,,830,31m,0.9,-0.2999999999999998,990,,,,,,,,,,,,,,,,,,,,,510,42m,0.7000000000000001,-2.0,750,,,,,,1,FAIL
29,29,,2025-05-29 23:33:09.517848,2025-05-29 23:33:09.851392,0 days 00:00:00.333544,,,,,,,,,,,,,,,,750,13m,0.9,-0.19999999999999973,990,,,,,,,,,,,,,,,,,,,,,520,19m,0.8,-1.9,740,,,,,,1,FAIL
30,30,,2025-05-29 23:33:09.851392,2025-05-29 23:33:10.200910,0 days 00:00:00.349518,,,,,,,,,,,,,,,,770,31m,1.0,-0.2999999999999998,990,,,,,,,,,,,,,,,,,,,,,500,42m,0.8,-2.0,740,,,,,,1,FAIL
