,number,value,datetime_start,datetime_complete,duration,params_ASML_ISRG_beta_win,params_ASML_ISRG_trade_freq,params_ASML_ISRG_z_entry,params_ASML_ISRG_z_exit,params_ASML_ISRG_z_win,params_CELG_IDXX_beta_win,params_CELG_IDXX_trade_freq,params_CELG_IDXX_z_entry,params_CELG_IDXX_z_exit,params_CELG_IDXX_z_win,params_CSX_MAR_beta_win,params_CSX_MAR_trade_freq,params_CSX_MAR_z_entry,params_CSX_MAR_z_exit,params_CSX_MAR_z_win,params_ILMN_INCY_beta_win,params_ILMN_INCY_trade_freq,params_ILMN_INCY_z_entry,params_ILMN_INCY_z_exit,params_ILMN_INCY_z_win,params_LRCX_CHTR_beta_win,params_LRCX_CHTR_trade_freq,params_LRCX_CHTR_z_entry,params_LRCX_CHTR_z_exit,params_LRCX_CHTR_z_win,params_MSFT_VRTX_beta_win,params_MSFT_VRTX_trade_freq,params_MSFT_VRTX_z_entry,params_MSFT_VRTX_z_exit,params_MSFT_VRTX_z_win,params_NFLX_IDXX_beta_win,params_NFLX_IDXX_trade_freq,params_NFLX_IDXX_z_entry,params_NFLX_IDXX_z_exit,params_NFLX_IDXX_z_win,params_TTWO_SWKS_beta_win,params_TTWO_SWKS_trade_freq,params_TTWO_SWKS_z_entry,params_TTWO_SWKS_z_exit,params_TTWO_SWKS_z_win,params_WDC_CERN_beta_win,params_WDC_CERN_trade_freq,params_WDC_CERN_z_entry,params_WDC_CERN_z_exit,params_WDC_CERN_z_win,params_WYNN_ADSK_beta_win,params_WYNN_ADSK_trade_freq,params_WYNN_ADSK_z_entry,params_WYNN_ADSK_z_exit,params_WYNN_ADSK_z_win,params_pairs_to_trade,state
121,121,-0.11788969804528847,2025-05-29 23:34:03.870110,2025-05-29 23:34:04.411704,0 days 00:00:00.541594,80.0,34m,0.4,-2.0,370.0,,,,,,,,,,,770,19m,1.7000000000000002,-2.9,40,,,,,,,,,,,,,,,,750.0,35m,2.9000000000000004,-1.5,230.0,640,53m,1.5,-0.7999999999999998,220,,,,,,2,COMPLETE
122,122,2.3358046248451565,2025-05-29 23:34:04.417279,2025-05-29 23:34:05.600222,0 days 00:00:01.182943,190.0,41m,1.3,-1.4,320.0,150.0,10m,2.2,-0.09999999999999964,500.0,240.0,13m,0.1,0.0,810.0,970,31m,0.8,0.0,670,940.0,47m,2.1,-1.7999999999999998,90.0,1000.0,27m,2.1,-3.1,810.0,720.0,34m,0.5,-3.3,560.0,960.0,36m,3.1,-2.2,620.0,690,56m,0.1,-1.7,820,260.0,49m,1.9000000000000001,-1.7999999999999998,750.0,5,COMPLETE
123,123,3.084413010755847,2025-05-29 23:34:05.603851,2025-05-29 23:34:06.789045,0 days 00:00:01.185194,200.0,41m,1.4000000000000001,-1.0999999999999996,260.0,180.0,10m,2.1,-0.09999999999999964,550.0,430.0,13m,2.1,0.0,660.0,960,31m,1.0,0.0,670,100.0,47m,2.1,-1.7999999999999998,80.0,1000.0,27m,2.1,-3.1,790.0,790.0,34m,0.4,-3.5,550.0,970.0,36m,3.1,-2.4,620.0,700,56m,0.1,-1.7,820,150.0,49m,1.8,-1.7999999999999998,740.0,5,COMPLETE
124,124,3.185856586071619,2025-05-29 23:34:06.802698,2025-05-29 23:34:07.990906,0 days 00:00:01.188208,200.0,50m,1.4000000000000001,-0.8999999999999999,340.0,160.0,10m,2.2,0.0,570.0,250.0,13m,0.0,0.0,680.0,970,57m,0.8,0.0,590,90.0,47m,2.1,-1.9,100.0,1000.0,27m,2.2,-3.1,810.0,800.0,34m,0.4,-3.5,530.0,960.0,11m,3.4000000000000004,-2.2,620.0,710,56m,0.1,-1.9,930,170.0,31m,1.9000000000000001,-1.7999999999999998,740.0,5,COMPLETE
125,125,-2.725868802051206,2025-05-29 23:34:07.999231,2025-05-29 23:34:09.211454,0 days 00:00:01.212223,200.0,50m,1.4000000000000001,-1.0,260.0,150.0,10m,2.2,0.0,570.0,230.0,23m,0.30000000000000004,0.0,660.0,970,57m,0.8,0.0,660,110.0,4m,2.4000000000000004,-1.9,90.0,990.0,27m,2.2,-3.0,810.0,810.0,34m,0.4,-3.5,570.0,960.0,36m,3.4000000000000004,-2.2,620.0,690,42m,0.0,-1.9,920,150.0,49m,1.9000000000000001,-1.7999999999999998,750.0,5,COMPLETE
126,126,0.17586870464734555,2025-05-29 23:34:09.222040,2025-05-29 23:34:10.463066,0 days 00:00:01.241026,240.0,53m,1.6,-1.2999999999999998,330.0,110.0,10m,2.0,-0.19999999999999973,660.0,100.0,44m,0.0,-0.09999999999999964,720.0,950,31m,0.8,-0.09999999999999964,580,110.0,47m,2.7,-1.7999999999999998,90.0,910.0,27m,2.0,-3.1,780.0,750.0,57m,0.0,-3.2,540.0,980.0,33m,3.1,-2.5,570.0,610,29m,0.1,-2.0999999999999996,830,250.0,49m,1.9000000000000001,-2.0,840.0,5,COMPLETE
127,127,2.8849067205627477,2025-05-29 23:34:10.464516,2025-05-29 23:34:11.703148,0 days 00:00:01.238632,170.0,41m,1.9000000000000001,-0.6999999999999997,400.0,240.0,10m,2.2,-0.5,500.0,260.0,20m,0.0,0.0,470.0,1000,31m,0.4,0.0,510,80.0,47m,1.6,-2.2,120.0,1000.0,25m,2.5,-3.1,880.0,870.0,34m,0.4,-3.1,450.0,910.0,11m,3.5,-2.0,670.0,720,56m,0.30000000000000004,-1.7,910,150.0,29m,2.2,-1.2999999999999998,690.0,5,COMPLETE
128,128,3.4850301553949836,2025-05-29 23:34:11.710434,2025-05-29 23:34:12.920211,0 days 00:00:01.209777,150.0,41m,2.2,-0.6999999999999997,430.0,280.0,24m,1.7000000000000002,-0.5999999999999996,540.0,360.0,13m,0.2,-0.5,470.0,1000,58m,0.30000000000000004,-0.19999999999999973,510,70.0,32m,1.7000000000000002,-2.2,140.0,840.0,16m,2.7,-3.2,890.0,920.0,34m,0.30000000000000004,-2.9,390.0,910.0,11m,3.5,-2.0,690.0,660,56m,0.30000000000000004,-1.9,940,130.0,32m,2.2,-1.2999999999999998,700.0,5,COMPLETE
129,129,2.9765340772737225,2025-05-29 23:34:12.930714,2025-05-29 23:34:14.172689,0 days 00:00:01.241975,1000.0,41m,2.1,-0.5999999999999996,410.0,250.0,37m,1.7000000000000002,-0.5,540.0,370.0,13m,0.4,-0.5,480.0,920,58m,0.4,-0.19999999999999973,510,70.0,47m,1.7000000000000002,-2.3,150.0,830.0,25m,2.7,-3.2,860.0,930.0,34m,0.30000000000000004,-3.0,480.0,920.0,11m,3.5,-1.7,670.0,580,56m,0.30000000000000004,-2.0,940,100.0,29m,2.7,-1.2999999999999998,650.0,5,COMPLETE
130,130,-1.9987075320167098,2025-05-29 23:34:14.182888,2025-05-29 23:34:15.375618,0 days 00:00:01.192730,990.0,41m,2.2,-0.6999999999999997,470.0,250.0,24m,1.7000000000000002,-0.5,540.0,370.0,20m,0.5,-0.5,460.0,1000,58m,0.30000000000000004,-0.19999999999999973,510,60.0,32m,1.7000000000000002,-2.3,10.0,840.0,16m,2.8000000000000003,-3.2,880.0,940.0,34m,0.30000000000000004,-3.1,400.0,920.0,16m,3.5,-1.9,670.0,660,56m,0.5,-1.7999999999999998,920,120.0,29m,2.6,-1.1999999999999997,670.0,5,COMPLETE
131,131,4.051592119526186,2025-05-29 23:34:15.384709,2025-05-29 23:34:16.581895,0 days 00:00:01.197186,500.0,32m,2.0,-0.19999999999999973,380.0,230.0,27m,1.9000000000000001,-0.5999999999999996,630.0,430.0,13m,0.2,-0.19999999999999973,480.0,920,58m,0.4,-0.19999999999999973,450,50.0,47m,1.6,-2.0999999999999996,150.0,770.0,25m,2.5,-3.3,880.0,870.0,34m,0.30000000000000004,-2.9,450.0,910.0,39m,3.5,-2.4,710.0,710,56m,0.30000000000000004,-2.2,950,20.0,32m,2.7,-1.2999999999999998,690.0,5,COMPLETE
132,132,4.08499481457712,2025-05-29 23:34:16.586020,2025-05-29 23:34:17.816987,0 days 00:00:01.230967,900.0,24m,2.0,-0.2999999999999998,400.0,330.0,37m,1.8,-0.5999999999999996,610.0,440.0,13m,0.2,-0.19999999999999973,500.0,910,58m,0.4,-0.19999999999999973,470,60.0,47m,1.6,-2.0999999999999996,140.0,760.0,25m,2.5,-3.3,890.0,860.0,34m,0.5,-2.9,450.0,920.0,11m,3.5,-2.4,600.0,710,56m,0.30000000000000004,-2.3,960,10.0,32m,2.8000000000000003,-1.2999999999999998,690.0,5,COMPLETE
133,133,4.300989018038339,2025-05-29 23:34:17.831160,2025-05-29 23:34:19.099480,0 days 00:00:01.268320,910.0,24m,2.0,-0.2999999999999998,400.0,320.0,25m,1.9000000000000001,-0.5999999999999996,620.0,450.0,13m,0.2,-0.19999999999999973,480.0,910,17m,0.4,-0.09999999999999964,470,60.0,47m,1.6,-2.0999999999999996,140.0,750.0,25m,2.5,-3.3,890.0,850.0,34m,0.6000000000000001,-2.9,460.0,920.0,21m,3.5,-2.4,600.0,710,56m,0.30000000000000004,-2.2,950,10.0,32m,2.8000000000000003,-1.2999999999999998,700.0,5,COMPLETE
134,134,4.064116420897159,2025-05-29 23:34:19.109659,2025-05-29 23:34:20.550139,0 days 00:00:01.440480,860.0,24m,2.0,-0.2999999999999998,400.0,330.0,27m,1.9000000000000001,-0.5999999999999996,610.0,440.0,13m,0.2,-0.19999999999999973,480.0,920,58m,0.0,-0.09999999999999964,460,60.0,47m,1.6,-2.0999999999999996,130.0,750.0,25m,2.5,-3.3,890.0,860.0,34m,0.5,-2.8,450.0,910.0,11m,3.5,-2.4,590.0,720,56m,0.30000000000000004,-2.3,950,10.0,29m,2.9000000000000004,-1.2999999999999998,670.0,5,COMPLETE
135,135,3.003373289115747,2025-05-29 23:34:20.558662,2025-05-29 23:34:21.837936,0 days 00:00:01.279274,850.0,24m,2.0,-0.19999999999999973,390.0,330.0,37m,1.9000000000000001,-0.5999999999999996,660.0,440.0,13m,0.2,-0.19999999999999973,480.0,910,17m,0.0,-0.09999999999999964,450,70.0,47m,1.6,-2.0999999999999996,140.0,770.0,25m,2.5,-2.9,890.0,860.0,45m,0.6000000000000001,-2.9,440.0,910.0,11m,3.5,-2.4,600.0,700,56m,0.30000000000000004,-2.3,880,10.0,32m,2.8000000000000003,-1.2999999999999998,680.0,5,COMPLETE
136,136,0.5214336572989682,2025-05-29 23:34:21.855082,2025-05-29 23:34:23.038557,0 days 00:00:01.183475,900.0,24m,2.1,-0.2999999999999998,410.0,340.0,27m,1.8,-0.6999999999999997,670.0,460.0,13m,0.2,-0.19999999999999973,370.0,920,58m,0.0,-0.19999999999999973,450,170.0,47m,1.9000000000000001,-2.0,150.0,760.0,25m,2.5,-2.9,890.0,870.0,34m,0.7000000000000001,-2.9,390.0,880.0,11m,3.4000000000000004,-2.6,590.0,710,56m,0.4,-2.4,970,10.0,32m,2.8000000000000003,-1.0,650.0,5,COMPLETE
137,137,1.6050921786174315,2025-05-29 23:34:23.044634,2025-05-29 23:34:24.253870,0 days 00:00:01.209236,890.0,32m,2.4000000000000004,-0.2999999999999998,480.0,280.0,25m,1.5,-0.5999999999999996,560.0,440.0,13m,0.30000000000000004,-0.19999999999999973,500.0,900,17m,0.1,-0.09999999999999964,410,50.0,47m,1.6,-2.7,60.0,810.0,25m,2.9000000000000004,-3.4,900.0,860.0,34m,0.6000000000000001,-2.8,470.0,940.0,39m,3.3000000000000003,-2.4,500.0,760,56m,0.30000000000000004,-2.6,880,80.0,32m,3.0,-1.2999999999999998,720.0,5,COMPLETE
138,138,1.2608986522480843,2025-05-29 23:34:24.260873,2025-05-29 23:34:25.450978,0 days 00:00:01.190105,840.0,24m,2.0,-0.19999999999999973,370.0,330.0,37m,1.9000000000000001,-0.7999999999999998,610.0,400.0,13m,0.2,-0.3999999999999999,420.0,930,58m,0.2,-0.09999999999999964,480,150.0,47m,1.8,-2.3,170.0,740.0,20m,2.6,-3.3,800.0,1000.0,45m,0.4,-2.9,400.0,910.0,21m,3.5,-2.7,540.0,660,56m,0.6000000000000001,-2.2,960,20.0,32m,3.4000000000000004,-1.0999999999999996,610.0,5,COMPLETE
139,139,-0.8194759124292528,2025-05-29 23:34:25.452095,2025-05-29 23:34:26.772448,0 days 00:00:01.320353,950.0,24m,2.3000000000000003,-0.5,430.0,300.0,37m,1.7000000000000002,-0.2999999999999998,640.0,320.0,13m,0.4,-0.09999999999999964,490.0,970,58m,0.4,-0.19999999999999973,350,20.0,47m,1.5,-2.0,120.0,890.0,25m,2.4000000000000004,-2.8,850.0,800.0,34m,0.8,-2.5,500.0,970.0,11m,3.3000000000000003,-2.4,600.0,630,56m,0.1,-2.3,940,90.0,31m,2.7,-1.4,790.0,5,COMPLETE
140,140,2.931601058797627,2025-05-29 23:34:26.777978,2025-05-29 23:34:28.053253,0 days 00:00:01.275275,740.0,24m,2.1,-0.09999999999999964,340.0,210.0,27m,1.9000000000000001,-0.5,720.0,430.0,13m,0.1,-0.3999999999999999,560.0,870,17m,0.0,-0.2999999999999998,560,90.0,26m,1.9000000000000001,-2.5,60.0,680.0,25m,2.7,-3.3,940.0,880.0,34m,0.30000000000000004,-3.1,350.0,850.0,11m,3.4000000000000004,-2.6,560.0,750,35m,0.5,-2.0,870,50.0,32m,3.1,-0.8999999999999999,690.0,5,COMPLETE
141,141,2.6192829348038336,2025-05-29 23:34:28.060817,2025-05-29 23:34:29.326962,0 days 00:00:01.266145,1000.0,55m,1.7000000000000002,-0.5,400.0,270.0,46m,1.4000000000000001,-0.8999999999999999,590.0,360.0,13m,0.7000000000000001,-0.19999999999999973,520.0,950,58m,0.2,0.0,610,140.0,46m,1.6,-2.0999999999999996,110.0,800.0,52m,3.1,-3.3,740.0,920.0,33m,0.30000000000000004,-2.9,450.0,930.0,11m,3.2,-2.8,640.0,580,56m,0.4,-2.2,1000,10.0,32m,2.8000000000000003,-1.4,570.0,5,COMPLETE
142,142,-3.132355972754734,2025-05-29 23:34:29.339898,2025-05-29 23:34:30.638719,0 days 00:00:01.298821,860.0,14m,2.6,-0.3999999999999999,530.0,360.0,43m,2.0,-0.3999999999999999,720.0,500.0,47m,0.4,-0.5999999999999996,400.0,910,57m,0.5,-0.5,470,50.0,7m,2.0,-1.7,170.0,740.0,21m,2.3000000000000003,-3.0,970.0,800.0,23m,0.6000000000000001,-3.3,510.0,870.0,40m,3.5,-2.4,480.0,700,41m,0.2,-2.4,860,120.0,34m,2.4000000000000004,-1.1999999999999997,760.0,5,COMPLETE
143,143,3.5467506698382567,2025-05-29 23:34:30.649213,2025-05-29 23:34:31.909996,0 days 00:00:01.260783,780.0,51m,2.1,-0.09999999999999964,340.0,200.0,27m,1.9000000000000001,-0.5999999999999996,770.0,420.0,13m,0.1,-0.3999999999999999,560.0,870,17m,0.0,-0.2999999999999998,550,90.0,26m,1.9000000000000001,-2.5,50.0,660.0,25m,2.7,-3.3,940.0,880.0,34m,0.30000000000000004,-3.0,320.0,840.0,11m,3.4000000000000004,-2.6,570.0,750,18m,0.30000000000000004,-2.0,890,50.0,32m,3.0,-0.7999999999999998,700.0,5,COMPLETE
144,144,2.6184356171171976,2025-05-29 23:34:31.922317,2025-05-29 23:34:33.143379,0 days 00:00:01.221062,820.0,42m,1.9000000000000001,-0.19999999999999973,450.0,240.0,27m,1.6,-0.5999999999999996,800.0,390.0,13m,0.1,-0.2999999999999998,590.0,940,17m,0.2,-0.09999999999999964,420,210.0,39m,1.7000000000000002,-2.3,50.0,660.0,25m,3.0,-3.5,1000.0,820.0,34m,0.2,-3.0,420.0,900.0,55m,3.4000000000000004,-2.3,630.0,660,18m,3.5,-2.0,950,60.0,14m,3.0,-0.8999999999999999,660.0,5,COMPLETE
145,145,0.257620190051654,2025-05-29 23:34:33.155578,2025-05-29 23:34:34.389340,0 days 00:00:01.233762,800.0,51m,2.0,-0.09999999999999964,360.0,200.0,17m,1.8,-0.19999999999999973,540.0,460.0,2m,0.30000000000000004,-0.09999999999999964,350.0,980,29m,0.1,-0.19999999999999973,530,110.0,36m,2.2,-2.5,110.0,840.0,25m,2.7,-3.2,850.0,910.0,37m,0.2,-2.7,340.0,940.0,58m,0.30000000000000004,-2.5,450.0,620,23m,0.30000000000000004,-2.6,980,180.0,50m,2.6,-0.5,710.0,5,COMPLETE
146,146,-2.1286115153835046,2025-05-29 23:34:34.402775,2025-05-29 23:34:35.642316,0 days 00:00:01.239541,940.0,12m,1.8,-0.8999999999999999,300.0,300.0,8m,2.1,-0.5999999999999996,670.0,500.0,32m,0.0,-0.3999999999999999,440.0,850,49m,0.4,-0.2999999999999998,500,10.0,53m,1.4000000000000001,-2.0999999999999996,240.0,920.0,34m,2.4000000000000004,-3.3,930.0,980.0,27m,0.5,-3.3,510.0,980.0,21m,3.3000000000000003,-2.6,510.0,800,56m,0.0,-2.0999999999999996,900,100.0,37m,3.3000000000000003,-1.4,640.0,5,COMPLETE
147,147,-4.6098127283639645,2025-05-29 23:34:35.642316,2025-05-29 23:34:36.915727,0 days 00:00:01.273411,920.0,51m,2.1,-0.5999999999999996,270.0,410.0,30m,1.9000000000000001,-0.8999999999999999,640.0,330.0,35m,0.2,-0.5,540.0,870,17m,0.0,0.0,440,60.0,15m,1.8,-1.9,170.0,780.0,48m,2.5,-3.5,840.0,840.0,24m,0.1,-2.5,440.0,890.0,54m,3.5,-2.0999999999999996,700.0,720,47m,0.2,-2.5,940,40.0,24m,2.8000000000000003,-1.7,720.0,5,COMPLETE
148,148,3.1682033504137688,2025-05-29 23:34:36.923945,2025-05-29 23:34:38.230697,0 days 00:00:01.306752,970.0,18m,2.3000000000000003,-0.3999999999999999,390.0,330.0,3m,1.7000000000000002,-0.09999999999999964,760.0,420.0,16m,0.6000000000000001,-0.2999999999999998,480.0,910,9m,0.6000000000000001,-0.19999999999999973,630,130.0,50m,2.0,-2.4,10.0,720.0,42m,2.8000000000000003,-3.0,910.0,760.0,18m,0.30000000000000004,-3.5,590.0,840.0,11m,3.2,-2.8,600.0,750,18m,0.4,-2.3,890,80.0,18m,3.1,-1.0999999999999996,840.0,5,COMPLETE
149,149,0.42496895766679865,2025-05-29 23:34:38.234838,2025-05-29 23:34:39.496075,0 days 00:00:01.261237,880.0,16m,2.3000000000000003,-0.3999999999999999,390.0,330.0,3m,1.5,0.0,770.0,430.0,16m,0.6000000000000001,-0.19999999999999973,530.0,890,12m,0.6000000000000001,-0.2999999999999998,600,130.0,50m,2.3000000000000003,-2.9,30.0,710.0,23m,3.2,-3.0,930.0,750.0,52m,0.9,-3.5,580.0,830.0,11m,3.2,-3.0,580.0,770,18m,0.7000000000000001,-2.3,890,10.0,15m,3.2,-0.7999999999999998,860.0,5,COMPLETE
150,150,1.2148950515994177,2025-05-29 23:34:39.511961,2025-05-29 23:34:40.728719,0 days 00:00:01.216758,780.0,18m,2.5,-0.19999999999999973,490.0,370.0,50m,2.0,-0.2999999999999998,840.0,550.0,46m,0.1,0.0,420.0,990,24m,0.6000000000000001,-0.09999999999999964,390,200.0,54m,2.0,-2.4,40.0,630.0,37m,2.2,-2.9,910.0,660.0,48m,0.0,-3.3,620.0,1000.0,12m,3.4000000000000004,-2.8,610.0,730,30m,0.5,-2.3,850,160.0,3m,3.0,-1.0999999999999996,920.0,5,COMPLETE
151,151,4.966167269228451,2025-05-29 23:34:40.735046,2025-05-29 23:34:41.970686,0 days 00:00:01.235640,670.0,21m,1.6,0.0,320.0,440.0,36m,1.2000000000000002,-0.09999999999999964,620.0,410.0,36m,0.5,-0.2999999999999998,310.0,950,9m,0.2,-0.5,630,80.0,56m,1.9000000000000001,-2.2,80.0,710.0,42m,2.8000000000000003,-3.5,750.0,780.0,18m,0.6000000000000001,-3.5,520.0,850.0,48m,3.2,-2.9,560.0,810,28m,0.1,-2.7,810,60.0,41m,3.5,-1.0999999999999996,790.0,5,COMPLETE
152,152,-4.421128809282481,2025-05-29 23:34:41.978532,2025-05-29 23:34:43.276071,0 days 00:00:01.297539,660.0,21m,1.5,0.0,320.0,460.0,51m,1.3,-0.09999999999999964,570.0,410.0,37m,0.8,-0.2999999999999998,610.0,950,9m,0.5,-0.5,640,250.0,56m,2.1,-1.9,10.0,700.0,1m,2.9000000000000004,-3.5,750.0,780.0,18m,0.2,-3.4,660.0,850.0,48m,3.2,-2.9,550.0,800,43m,0.0,-1.9,800,210.0,41m,3.4000000000000004,-0.5,800.0,5,COMPLETE
153,153,-4.975060314013854,2025-05-29 23:34:43.276071,2025-05-29 23:34:44.510730,0 days 00:00:01.234659,530.0,48m,1.8,-0.09999999999999964,350.0,430.0,31m,2.1,-0.2999999999999998,750.0,460.0,31m,0.5,-0.09999999999999964,310.0,830,9m,0.2,0.0,570,90.0,14m,1.9000000000000001,-2.2,80.0,740.0,56m,2.6,-3.3,830.0,850.0,18m,0.6000000000000001,-3.5,520.0,890.0,56m,3.4000000000000004,-2.4,520.0,750,28m,0.1,-2.5,920,60.0,18m,3.5,-1.0999999999999996,770.0,5,COMPLETE
154,154,-0.36545167682354357,2025-05-29 23:34:44.510730,2025-05-29 23:34:45.864881,0 days 00:00:01.354151,660.0,3m,2.2,-0.2999999999999998,450.0,180.0,25m,1.8,-0.6999999999999997,620.0,490.0,36m,0.2,-0.2999999999999998,450.0,910,8m,0.30000000000000004,-0.2999999999999998,710,40.0,43m,1.5,-2.0999999999999996,80.0,770.0,42m,2.8000000000000003,-3.4,900.0,900.0,9m,0.4,-2.8,270.0,20.0,5m,3.3000000000000003,-2.7,570.0,700,12m,0.2,-2.7,890,40.0,42m,2.9000000000000004,-1.4,820.0,5,COMPLETE
155,155,-0.9418529722120357,2025-05-29 23:34:45.883216,2025-05-29 23:34:47.184117,0 days 00:00:01.300901,440.0,32m,1.6,-0.7999999999999998,430.0,310.0,36m,0.9,-0.09999999999999964,700.0,410.0,43m,0.30000000000000004,-0.19999999999999973,240.0,940,27m,0.1,-0.09999999999999964,640,120.0,51m,1.8,-2.6,130.0,950.0,45m,2.4000000000000004,-3.1,990.0,770.0,50m,0.7000000000000001,-3.2,630.0,780.0,1m,3.3000000000000003,-2.3,640.0,740,4m,0.4,-2.0999999999999996,1000,110.0,48m,3.1,-1.1999999999999997,740.0,5,COMPLETE
156,156,-2.2875073911869963,2025-05-29 23:34:47.198973,2025-05-29 23:34:48.103847,0 days 00:00:00.904874,910.0,50m,2.3000000000000003,-0.2999999999999998,380.0,280.0,9m,1.9000000000000001,-0.3999999999999999,460.0,540.0,42m,0.5,-0.09999999999999964,500.0,880,43m,0.0,-0.5999999999999996,550,150.0,27m,1.3,-2.0,60.0,680.0,42m,2.6,-3.4,730.0,840.0,15m,1.0,-2.6,380.0,950.0,39m,3.1,-2.9,720.0,670,18m,0.2,-2.2,810,70.0,46m,2.9000000000000004,-1.5999999999999999,690.0,5,COMPLETE
157,157,-3.8439508071818786,2025-05-29 23:34:48.103847,2025-05-29 23:34:48.952473,0 days 00:00:00.848626,730.0,29m,2.0,-0.09999999999999964,280.0,380.0,6m,1.6,-0.19999999999999973,690.0,450.0,48m,0.0,-0.3999999999999999,550.0,980,36m,0.1,-0.3999999999999999,530,10.0,29m,2.0,-1.7,180.0,550.0,44m,2.3000000000000003,-2.8,870.0,680.0,41m,0.5,-3.0,430.0,820.0,9m,3.2,-2.5,600.0,780,13m,0.4,-2.8,850,30.0,13m,2.1,-0.7999999999999998,780.0,5,COMPLETE
158,158,0.2722557241235877,2025-05-29 23:34:48.958215,2025-05-29 23:34:49.790873,0 days 00:00:00.832658,860.0,54m,1.4000000000000001,-0.19999999999999973,230.0,350.0,41m,2.3000000000000003,0.0,600.0,300.0,52m,0.1,-0.5999999999999996,590.0,810,9m,0.30000000000000004,-0.19999999999999973,460,70.0,41m,2.3000000000000003,-2.5,110.0,710.0,38m,2.8000000000000003,-3.2,940.0,890.0,14m,0.7000000000000001,-3.4,540.0,870.0,19m,3.4000000000000004,-2.8,650.0,710,7m,0.30000000000000004,-2.4,980,130.0,12m,2.5,-1.0999999999999996,530.0,5,COMPLETE
159,159,0.1814652410897181,2025-05-29 23:34:49.794329,2025-05-29 23:34:50.632542,0 days 00:00:00.838213,970.0,23m,1.7000000000000002,-0.5999999999999996,310.0,230.0,21m,2.0,-0.5999999999999996,890.0,350.0,51m,0.2,0.0,660.0,960,41m,0.6000000000000001,-0.09999999999999964,690,40.0,18m,3.4000000000000004,-2.2,900.0,870.0,10m,1.9000000000000001,-3.5,780.0,830.0,54m,0.2,-2.8,320.0,980.0,48m,3.5,-2.2,540.0,810,51m,0.1,-2.3,960,80.0,39m,3.2,-1.2999999999999998,620.0,5,COMPLETE
160,160,-4.748939934737339,2025-05-29 23:34:50.636054,2025-05-29 23:34:51.468565,0 days 00:00:00.832511,700.0,18m,1.9000000000000001,-0.3999999999999999,350.0,270.0,53m,1.7000000000000002,-0.8999999999999999,650.0,520.0,29m,0.4,-0.19999999999999973,470.0,860,51m,0.2,-0.2999999999999998,760,90.0,12m,1.6,-2.4,10.0,790.0,41m,2.5,-2.2,660.0,960.0,10m,0.4,-3.2,480.0,840.0,2m,1.1,-2.0999999999999996,460.0,810,10m,0.6000000000000001,-1.7999999999999998,870,200.0,21m,2.3000000000000003,-1.5,810.0,5,COMPLETE
161,161,-0.9031240184245773,2025-05-29 23:34:51.470798,2025-05-29 23:34:52.318922,0 days 00:00:00.848124,970.0,17m,1.5,0.0,450.0,130.0,13m,0.7000000000000001,-0.2999999999999998,750.0,390.0,6m,0.6000000000000001,-0.6999999999999997,400.0,890,39m,0.5,0.0,590,160.0,48m,2.2,-1.5999999999999999,210.0,650.0,33m,2.2,-3.0,910.0,730.0,31m,0.5,-3.5,600.0,920.0,11m,3.2,-3.0,420.0,860,28m,0.1,-2.0,930,350.0,28m,2.7,-0.8999999999999999,470.0,5,COMPLETE
162,162,-0.057683894620062494,2025-05-29 23:34:52.318922,2025-05-29 23:34:53.171290,0 days 00:00:00.852368,850.0,24m,2.0,-1.0999999999999996,330.0,430.0,56m,2.1,-0.09999999999999964,620.0,480.0,45m,0.30000000000000004,-0.2999999999999998,510.0,930,5m,0.4,-0.5,490,100.0,8m,1.9000000000000001,-1.9,620.0,730.0,14m,3.0,-3.2,820.0,680.0,30m,3.2,-2.4,540.0,800.0,23m,3.0,-2.7,620.0,650,1m,0.0,-2.5,900,10.0,53m,2.6,-1.0,710.0,5,COMPLETE
163,163,-4.124507992757823,2025-05-29 23:34:53.173984,2025-05-29 23:34:54.029214,0 days 00:00:00.855230,930.0,2m,2.1,-0.5999999999999996,410.0,320.0,14m,1.7000000000000002,-0.5,520.0,380.0,24m,0.4,-0.5,460.0,920,58m,0.7000000000000001,-0.19999999999999973,470,60.0,21m,1.7000000000000002,-2.3,140.0,820.0,18m,2.7,-3.2,860.0,930.0,47m,0.30000000000000004,-3.0,460.0,920.0,11m,3.5,-2.4,680.0,680,56m,0.30000000000000004,-2.2,960,90.0,10m,2.7,-1.2999999999999998,670.0,5,COMPLETE
164,164,2.9940875634854587,2025-05-29 23:34:54.033911,2025-05-29 23:34:54.870229,0 days 00:00:00.836318,880.0,13m,2.2,-0.8999999999999999,380.0,160.0,12m,1.8,-0.6999999999999997,550.0,420.0,13m,0.2,-0.2999999999999998,490.0,910,14m,0.4,-0.19999999999999973,430,80.0,28m,1.6,-2.2,160.0,770.0,7m,2.7,-3.1,860.0,900.0,49m,0.1,-2.7,490.0,940.0,43m,3.4000000000000004,-2.6,590.0,590,33m,0.30000000000000004,-2.0999999999999996,930,50.0,16m,3.1,-1.1999999999999997,740.0,5,COMPLETE
