,number,value,datetime_start,datetime_complete,duration,params_ADBE_VRSN_beta_win,params_ADBE_VRSN_trade_freq,params_ADBE_VRSN_z_entry,params_ADBE_VRSN_z_exit,params_ADBE_VRSN_z_win,params_ADSK_VRSN_beta_win,params_ADSK_VRSN_trade_freq,params_ADSK_VRSN_z_entry,params_ADSK_VRSN_z_exit,params_ADSK_VRSN_z_win,params_ANSS_VRSN_beta_win,params_ANSS_VRSN_trade_freq,params_ANSS_VRSN_z_entry,params_ANSS_VRSN_z_exit,params_ANSS_VRSN_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_win,params_BIIB_KLAC_beta_win,params_BIIB_KLAC_trade_freq,params_BIIB_KLAC_z_entry,params_BIIB_KLAC_z_exit,params_BIIB_KLAC_z_win,params_COST_VRSN_beta_win,params_COST_VRSN_trade_freq,params_COST_VRSN_z_entry,params_COST_VRSN_z_exit,params_COST_VRSN_z_win,params_EBAY_BIIB_beta_win,params_EBAY_BIIB_trade_freq,params_EBAY_BIIB_z_entry,params_EBAY_BIIB_z_exit,params_EBAY_BIIB_z_win,params_GOOGL_GOOG_beta_win,params_GOOGL_GOOG_trade_freq,params_GOOGL_GOOG_z_entry,params_GOOGL_GOOG_z_exit,params_GOOGL_GOOG_z_win,params_LRCX_BIIB_beta_win,params_LRCX_BIIB_trade_freq,params_LRCX_BIIB_z_entry,params_LRCX_BIIB_z_exit,params_LRCX_BIIB_z_win,params_PDD_TEAM_beta_win,params_PDD_TEAM_trade_freq,params_PDD_TEAM_z_entry,params_PDD_TEAM_z_exit,params_PDD_TEAM_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_win,params_PTON_TSLA_beta_win,params_PTON_TSLA_trade_freq,params_PTON_TSLA_z_entry,params_PTON_TSLA_z_exit,params_PTON_TSLA_z_win,params_SNPS_VRSN_beta_win,params_SNPS_VRSN_trade_freq,params_SNPS_VRSN_z_entry,params_SNPS_VRSN_z_exit,params_SNPS_VRSN_z_win,params_TSLA_AMD_beta_win,params_TSLA_AMD_trade_freq,params_TSLA_AMD_z_entry,params_TSLA_AMD_z_exit,params_TSLA_AMD_z_win,params_TSLA_XLNX_beta_win,params_TSLA_XLNX_trade_freq,params_TSLA_XLNX_z_entry,params_TSLA_XLNX_z_exit,params_TSLA_XLNX_z_win,params_pairs_to_trade,state
20,20,-0.018423740197186296,2025-05-29 23:56:13.325676,2025-05-29 23:56:15.011807,0 days 00:00:01.686131,600.0,39m,0.0,-3.4,280.0,,,,,,420.0,6m,3.1,-3.4,30.0,280.0,29m,1.9000000000000001,-0.6999999999999997,480.0,,,,,,650.0,37m,0.5,-1.7,400.0,510.0,14m,0.2,-3.2,980.0,400,35m,1.2000000000000002,-1.0999999999999996,470,50.0,21m,3.4000000000000004,-1.7,240.0,190.0,54m,0.8,-3.1,990.0,1000.0,44m,1.2000000000000002,-0.19999999999999973,630.0,280,12m,1.4000000000000001,-0.5999999999999996,340,430,25m,0.0,-2.7,820,,,,,,10.0,16m,3.5,0.0,480.0,4,COMPLETE
21,21,-2.4331822096555533,2025-05-29 23:56:15.019900,2025-05-29 23:56:15.558152,0 days 00:00:00.538252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,49m,0.0,-2.0999999999999996,730,,,,,,,,,,,,,,,,660,3m,0.5,-1.1999999999999997,480,730,3m,3.1,-1.7999999999999998,600,,,,,,,,,,,1,COMPLETE
22,22,-0.3314059480667899,2025-05-29 23:56:15.566422,2025-05-29 23:56:16.429509,0 days 00:00:00.863087,,,,,,,,,,,,,,,,320.0,26m,0.4,-1.5999999999999999,10.0,,,,,,160.0,48m,1.4000000000000001,-2.8,650.0,,,,,,580,38m,2.8000000000000003,-2.7,290,,,,,,570.0,13m,0.0,-2.0,630.0,,,,,,20,48m,1.2000000000000002,-0.5,10,230,53m,0.8,-1.0999999999999996,340,,,,,,,,,,,2,COMPLETE
23,23,-0.9323065456333889,2025-05-29 23:56:16.429509,2025-05-29 23:56:17.605434,0 days 00:00:01.175925,970.0,46m,0.9,-1.1999999999999997,740.0,,,,,,,,,,,640.0,12m,2.0,-0.3999999999999999,340.0,,,,,,380.0,17m,3.2,-2.3,820.0,,,,,,810,29m,2.1,-0.3999999999999999,630,680.0,49m,2.2,-3.5,290.0,350.0,52m,1.9000000000000001,-2.8,820.0,260.0,12m,2.7,-2.0999999999999996,570.0,480,52m,0.4,-2.0,610,870,17m,3.0,-0.5,830,,,,,,,,,,,3,COMPLETE
24,24,1.2941787496173531,2025-05-29 23:56:17.616094,2025-05-29 23:56:18.890417,0 days 00:00:01.274323,310.0,35m,2.5,-2.5,1000.0,,,,,,,,,,,10.0,37m,0.0,-0.8999999999999999,400.0,,,,,,140.0,12m,1.0,-2.9,790.0,,,,,,420,36m,1.5,-1.7,20,420.0,3m,0.0,-1.2999999999999998,1000.0,10.0,23m,0.6000000000000001,-1.7,840.0,730.0,26m,3.5,-3.5,80.0,960,2m,3.0,-0.2999999999999998,200,900,43m,3.1,-1.4,150,,,,,,,,,,,3,COMPLETE
25,25,2.77387963361281,2025-05-29 23:56:18.899049,2025-05-29 23:56:20.198516,0 days 00:00:01.299467,430.0,30m,1.2000000000000002,-1.5,760.0,,,,,,,,,,,130.0,32m,0.0,-0.6999999999999997,190.0,,,,,,40.0,38m,0.5,-3.1,720.0,,,,,,770,41m,0.9,-2.0,150,270.0,43m,1.1,-1.0999999999999996,1000.0,110.0,23m,1.3,-1.1999999999999997,760.0,690.0,23m,2.7,-3.5,200.0,910,42m,3.1,0.0,250,890,51m,2.9000000000000004,-1.0,150,,,,,,,,,,,3,COMPLETE
26,26,0.1406256777234633,2025-05-29 23:56:20.210542,2025-05-29 23:56:21.135473,0 days 00:00:00.924931,,,,,,,,,,,,,,,,100.0,10m,0.6000000000000001,-0.3999999999999999,540.0,,,,,,240.0,59m,1.3,-2.5,470.0,,,,,,590,41m,1.6,-2.0,250,,,,,,130.0,23m,0.5,-1.9,880.0,,,,,,730,2m,3.5,-1.0999999999999996,130,990,44m,3.4000000000000004,-1.5999999999999999,20,,,,,,,,,,,2,COMPLETE
27,27,2.142743720387525,2025-05-29 23:56:21.142772,2025-05-29 23:56:22.851001,0 days 00:00:01.708229,580.0,30m,2.7,-2.0,810.0,,,,,,50.0,39m,0.2,-0.19999999999999973,320.0,340.0,10m,0.30000000000000004,-1.5,370.0,,,,,,120.0,18m,0.8,-2.0,690.0,590.0,17m,3.1,-0.09999999999999964,620.0,290,56m,2.0,-2.8,430,630.0,43m,0.6000000000000001,0.0,820.0,80.0,49m,0.1,-2.5,550.0,240.0,4m,2.7,-1.7999999999999998,430.0,920,33m,2.3000000000000003,-0.3999999999999999,330,720,43m,2.2,-1.4,210,,,,,,960.0,5m,1.7000000000000002,-3.3,440.0,4,COMPLETE
28,28,-0.6388621871817293,2025-05-29 23:56:22.859901,2025-05-29 23:56:24.159412,0 days 00:00:01.299511,230.0,41m,1.8,-0.7999999999999998,290.0,,,,,,,,,,,120.0,42m,1.0,-1.0,220.0,,,,,,270.0,57m,0.30000000000000004,-3.2,600.0,,,,,,460,17m,2.6,-1.1999999999999997,320,990.0,31m,1.7000000000000002,-2.2,400.0,300.0,15m,3.5,-1.5,940.0,840.0,16m,1.5,-1.0999999999999996,710.0,700,59m,2.9000000000000004,-0.8999999999999999,110,630,43m,2.8000000000000003,-1.9,360,,,,,,,,,,,3,COMPLETE
29,29,0.4899013225524622,2025-05-29 23:56:24.163484,2025-05-29 23:56:25.111685,0 days 00:00:00.948201,,,,,,,,,,,,,,,,230.0,10m,1.3,-0.5,500.0,,,,,,100.0,12m,2.3000000000000003,-2.6,470.0,,,,,,860,48m,2.2,-1.7,560,,,,,,160.0,12m,1.0,-0.8999999999999999,770.0,,,,,,890,46m,1.6,-1.5,420,860,21m,3.2,-0.2999999999999998,120,,,,,,,,,,,2,COMPLETE
30,30,-3.2985381544543255,2025-05-29 23:56:25.120049,2025-05-29 23:56:26.308329,0 days 00:00:01.188280,480.0,20m,0.7000000000000001,-3.0,860.0,,,,,,,,,,,10.0,28m,3.2,-1.9,130.0,,,,,,410.0,35m,1.0,-1.5,260.0,,,,,,720,9m,1.0,-2.4,200,270.0,6m,2.2,-1.0,880.0,510.0,42m,1.4000000000000001,-3.5,680.0,550.0,45m,2.3000000000000003,-3.0,470.0,530,14m,3.2,-0.2999999999999998,280,930,49m,1.7000000000000002,-1.0999999999999996,230,,,,,,,,,,,3,COMPLETE
31,31,,2025-05-29 23:56:26.315184,2025-05-29 23:56:26.827192,0 days 00:00:00.512008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,16m,1.7000000000000002,-1.9,700,,,,,,,,,,,,,,,,1000,21m,2.9000000000000004,-1.5,870,700,40m,2.4000000000000004,-0.8999999999999999,580,,,,,,,,,,,1,FAIL
32,32,-5.24985859711052,2025-05-29 23:56:26.830327,2025-05-29 23:56:27.333929,0 days 00:00:00.503602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,5m,1.6,-0.2999999999999998,90,,,,,,,,,,,,,,,,990,56m,2.7,-1.5,850,700,27m,2.4000000000000004,-1.5999999999999999,580,,,,,,,,,,,1,COMPLETE
33,33,-0.760280095461278,2025-05-29 23:56:27.339814,2025-05-29 23:56:28.317776,0 days 00:00:00.977962,,,,,,,,,,,,,,,,420.0,8m,2.2,-1.2999999999999998,620.0,,,,,,210.0,29m,1.6,-3.1,810.0,,,,,,240,33m,3.0,-3.2,400,,,,,,840.0,57m,1.7000000000000002,-2.0999999999999996,820.0,,,,,,730,40m,2.4000000000000004,-1.0,210,820,2m,1.2000000000000002,-2.9,280,,,,,,,,,,,2,COMPLETE
34,34,1.8679456772635845,2025-05-29 23:56:28.325633,2025-05-29 23:56:29.851198,0 days 00:00:01.525565,670.0,23m,3.1,-2.4,600.0,,,,,,650.0,27m,2.5,-0.8999999999999999,1000.0,680.0,40m,0.2,0.0,400.0,,,,,,620.0,9m,0.7000000000000001,-2.7,990.0,260.0,13m,1.0,-2.4,620.0,620,25m,0.7000000000000001,-0.8999999999999999,740,520.0,5m,1.3,-1.5999999999999999,40.0,680.0,28m,0.9,-2.9,330.0,330.0,22m,3.2,-2.2,140.0,330,28m,3.3000000000000003,-2.8,450,340,58m,2.8000000000000003,-0.8999999999999999,390,,,,,,680.0,15m,0.0,-1.5,1000.0,4,COMPLETE
35,35,1.0203132672963668,2025-05-29 23:56:29.857602,2025-05-29 23:56:30.783811,0 days 00:00:00.926209,,,,,,,,,,,,,,,,190.0,24m,0.7000000000000001,-2.9,880.0,,,,,,530.0,36m,2.1,-2.9,530.0,,,,,,900,14m,0.5,-3.4,450,,,,,,350.0,17m,2.2,0.0,280.0,,,,,,820,13m,1.8,-1.2999999999999998,650,780,10m,1.5,-2.0999999999999996,190,,,,,,,,,,,2,COMPLETE
36,36,-0.110255430536674,2025-05-29 23:56:30.788818,2025-05-29 23:56:31.661649,0 days 00:00:00.872831,,,,,,,,,,,,,,,,90.0,6m,0.6000000000000001,-2.5,980.0,,,,,,440.0,39m,3.4000000000000004,-2.2,560.0,,,,,,690,42m,0.0,-2.9,550,,,,,,420.0,37m,2.3000000000000003,-0.5999999999999996,630.0,,,,,,780,41m,0.30000000000000004,-0.5999999999999996,720,530,6m,1.3,-3.0,80,,,,,,,,,,,2,COMPLETE
