,number,value,datetime_start,datetime_complete,duration,params_ADBE_VRSN_beta_win,params_ADBE_VRSN_trade_freq,params_ADBE_VRSN_z_entry,params_ADBE_VRSN_z_exit,params_ADBE_VRSN_z_win,params_ADSK_VRSN_beta_win,params_ADSK_VRSN_trade_freq,params_ADSK_VRSN_z_entry,params_ADSK_VRSN_z_exit,params_ADSK_VRSN_z_win,params_ANSS_VRSN_beta_win,params_ANSS_VRSN_trade_freq,params_ANSS_VRSN_z_entry,params_ANSS_VRSN_z_exit,params_ANSS_VRSN_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_win,params_BIIB_KLAC_beta_win,params_BIIB_KLAC_trade_freq,params_BIIB_KLAC_z_entry,params_BIIB_KLAC_z_exit,params_BIIB_KLAC_z_win,params_COST_VRSN_beta_win,params_COST_VRSN_trade_freq,params_COST_VRSN_z_entry,params_COST_VRSN_z_exit,params_COST_VRSN_z_win,params_EBAY_BIIB_beta_win,params_EBAY_BIIB_trade_freq,params_EBAY_BIIB_z_entry,params_EBAY_BIIB_z_exit,params_EBAY_BIIB_z_win,params_GOOGL_GOOG_beta_win,params_GOOGL_GOOG_trade_freq,params_GOOGL_GOOG_z_entry,params_GOOGL_GOOG_z_exit,params_GOOGL_GOOG_z_win,params_LRCX_BIIB_beta_win,params_LRCX_BIIB_trade_freq,params_LRCX_BIIB_z_entry,params_LRCX_BIIB_z_exit,params_LRCX_BIIB_z_win,params_PDD_TEAM_beta_win,params_PDD_TEAM_trade_freq,params_PDD_TEAM_z_entry,params_PDD_TEAM_z_exit,params_PDD_TEAM_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_win,params_PTON_TSLA_beta_win,params_PTON_TSLA_trade_freq,params_PTON_TSLA_z_entry,params_PTON_TSLA_z_exit,params_PTON_TSLA_z_win,params_SNPS_VRSN_beta_win,params_SNPS_VRSN_trade_freq,params_SNPS_VRSN_z_entry,params_SNPS_VRSN_z_exit,params_SNPS_VRSN_z_win,params_TSLA_AMD_beta_win,params_TSLA_AMD_trade_freq,params_TSLA_AMD_z_entry,params_TSLA_AMD_z_exit,params_TSLA_AMD_z_win,params_TSLA_XLNX_beta_win,params_TSLA_XLNX_trade_freq,params_TSLA_XLNX_z_entry,params_TSLA_XLNX_z_exit,params_TSLA_XLNX_z_win,params_pairs_to_trade,state
85,85,-0.7136461244825242,2025-05-29 23:57:22.506307,2025-05-29 23:57:23.430292,0 days 00:00:00.923985,,,,,,,,,,,,,,,,320.0,17m,0.1,-0.7999999999999998,50.0,,,,,,420.0,40m,0.4,-2.6,740.0,,,,,,500,15m,2.3000000000000003,-1.0,380,,,,,,680.0,7m,2.6,-2.6,290.0,,,,,,1000,11m,2.8000000000000003,-0.6999999999999997,380,640,5m,1.1,-1.7999999999999998,40,,,,,,,,,,,2,COMPLETE
86,86,-0.25513005063155536,2025-05-29 23:57:23.438748,2025-05-29 23:57:24.795214,0 days 00:00:01.356466,1000.0,7m,1.2000000000000002,0.0,700.0,,,,,,,,,,,540.0,6m,0.2,-2.5,500.0,,,,,,370.0,38m,0.8,-3.2,790.0,,,,,,930,20m,2.4000000000000004,-3.0,50,590.0,11m,0.6000000000000001,-2.7,360.0,310.0,46m,1.0,-1.7,410.0,920.0,10m,2.0,-2.7,730.0,890,39m,3.2,-0.8999999999999999,430,580,22m,1.6,-3.3,690,,,,,,,,,,,3,COMPLETE
87,87,3.465995882271095,2025-05-29 23:57:24.806202,2025-05-29 23:57:25.782752,0 days 00:00:00.976550,,,,,,,,,,,,,,,,750.0,2m,1.0,-1.2999999999999998,280.0,,,,,,170.0,2m,2.6,-3.4,10.0,,,,,,170,2m,2.5,-1.9,600,,,,,,860.0,38m,1.9000000000000001,-2.3,460.0,,,,,,970,34m,3.0,-1.7,590,1000,20m,2.0,-0.2999999999999998,310,,,,,,,,,,,2,COMPLETE
88,88,0.49066749403583326,2025-05-29 23:57:25.792777,2025-05-29 23:57:26.761742,0 days 00:00:00.968965,,,,,,,,,,,,,,,,1000.0,2m,0.8,-0.8999999999999999,170.0,,,,,,190.0,2m,2.7,-3.5,590.0,,,,,,100,18m,2.2,-2.4,580,,,,,,800.0,38m,2.0,-2.4,410.0,,,,,,970,34m,3.3000000000000003,-1.4,590,1000,20m,2.0,-0.2999999999999998,200,,,,,,,,,,,2,COMPLETE
89,89,-1.960845778792544,2025-05-29 23:57:26.766549,2025-05-29 23:57:27.759077,0 days 00:00:00.992528,,,,,,,,,,,,,,,,750.0,39m,1.1,-1.2999999999999998,290.0,,,,,,160.0,47m,2.4000000000000004,-3.2,80.0,,,,,,230,2m,2.7,-1.9,610,,,,,,890.0,14m,1.7000000000000002,-2.3,460.0,,,,,,910,42m,3.0,-1.5999999999999999,520,920,4m,1.9000000000000001,-0.09999999999999964,330,,,,,,,,,,,2,COMPLETE
90,90,-0.5737972261144577,2025-05-29 23:57:27.767121,2025-05-29 23:57:28.694297,0 days 00:00:00.927176,,,,,,,,,,,,,,,,800.0,41m,0.4,-1.0999999999999996,220.0,,,,,,680.0,26m,3.2,-3.4,90.0,,,,,,320,32m,1.5,-1.7,130,,,,,,900.0,40m,1.8,-2.0999999999999996,520.0,,,,,,980,1m,3.2,-2.2,470,870,29m,2.4000000000000004,-0.5,280,,,,,,,,,,,2,COMPLETE
91,91,-2.2136857873678335,2025-05-29 23:57:28.694297,2025-05-29 23:57:29.632846,0 days 00:00:00.938549,,,,,,,,,,,,,,,,450.0,30m,0.5,-0.6999999999999997,330.0,,,,,,110.0,12m,2.9000000000000004,-0.6999999999999997,130.0,,,,,,780,45m,2.5,-1.2999999999999998,650,,,,,,60.0,30m,2.2,-1.4,360.0,,,,,,840,10m,3.4000000000000004,-1.1999999999999997,540,960,41m,3.3000000000000003,-0.5999999999999996,540,,,,,,,,,,,2,COMPLETE
92,92,-0.5822313070613888,2025-05-29 23:57:29.644900,2025-05-29 23:57:30.515760,0 days 00:00:00.870860,,,,,,,,,,,,,,,,920.0,51m,0.9,-1.0,440.0,,,,,,250.0,4m,1.7000000000000002,-3.0,30.0,,,,,,600,41m,1.8,-2.0999999999999996,550,,,,,,930.0,36m,1.4000000000000001,-2.5,710.0,,,,,,490,22m,1.8,-1.0,680,820,38m,1.6,-1.5,750,,,,,,,,,,,2,COMPLETE
93,93,,2025-05-29 23:57:30.525965,2025-05-29 23:57:31.039842,0 days 00:00:00.513877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,52m,2.8000000000000003,-1.7999999999999998,710,,,,,,,,,,,,,,,,950,15m,1.3,-1.9,640,890,20m,2.7,-0.7999999999999998,100,,,,,,,,,,,1,FAIL
94,94,-1.8386993971723973,2025-05-29 23:57:31.044296,2025-05-29 23:57:31.610992,0 days 00:00:00.566696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,54m,2.8000000000000003,-1.7999999999999998,330,,,,,,,,,,,,,,,,950,5m,1.3,-0.3999999999999999,640,890,20m,2.0,-0.7999999999999998,410,,,,,,,,,,,1,COMPLETE
95,95,1.1058857226445344,2025-05-29 23:57:31.616873,2025-05-29 23:57:32.562028,0 days 00:00:00.945155,,,,,,,,,,,,,,,,680.0,32m,1.6,-3.1,380.0,,,,,,70.0,28m,0.6000000000000001,-2.8,200.0,,,,,,710,3m,3.2,-0.3999999999999999,710,,,,,,1000.0,11m,2.2,-0.6999999999999997,660.0,,,,,,760,9m,3.0,-1.9,280,940,23m,2.7,-1.0,150,,,,,,,,,,,2,COMPLETE
96,96,-1.3029205884930148,2025-05-29 23:57:32.562028,2025-05-29 23:57:34.155000,0 days 00:00:01.592972,490.0,57m,0.8,-2.8,140.0,,,,,,260.0,22m,1.4000000000000001,-1.5,460.0,70.0,45m,0.0,-3.5,250.0,,,,,,790.0,31m,2.2,-3.3,170.0,380.0,41m,2.0,-2.8,450.0,760,35m,1.0,-1.9,610,730.0,17m,2.4000000000000004,-0.3999999999999999,600.0,850.0,31m,1.9000000000000001,-0.7999999999999998,960.0,670.0,24m,0.9,-2.9,170.0,690,3m,0.8,-0.7999999999999998,610,510,53m,1.4000000000000001,-0.2999999999999998,250,,,,,,800.0,30m,0.6000000000000001,-2.4,20.0,4,COMPLETE
97,97,1.4641717783589399,2025-05-29 23:57:34.165648,2025-05-29 23:57:35.420540,0 days 00:00:01.254892,260.0,25m,1.9000000000000001,-0.5,950.0,,,,,,,,,,,130.0,54m,0.2,-1.4,150.0,,,,,,170.0,27m,2.6,-3.1,80.0,,,,,,690,49m,2.4000000000000004,-1.5,220,470.0,56m,2.9000000000000004,-1.4,930.0,710.0,23m,1.6,-1.7999999999999998,570.0,100.0,53m,3.0,-3.3,70.0,920,48m,2.8000000000000003,-0.2999999999999998,230,1000,57m,2.2,-1.0999999999999996,90,,,,,,,,,,,3,COMPLETE
98,98,-2.0972793301871167,2025-05-29 23:57:35.431104,2025-05-29 23:57:36.380207,0 days 00:00:00.949103,,,,,,,,,,,,,,,,530.0,46m,1.3,-1.2999999999999998,260.0,,,,,,330.0,11m,2.8000000000000003,-3.5,20.0,,,,,,180,2m,2.1,-1.5999999999999999,500,,,,,,770.0,38m,2.0,-2.0999999999999996,470.0,,,,,,1000,34m,3.1,-1.7,710,960,57m,1.7000000000000002,-0.19999999999999973,310,,,,,,,,,,,2,COMPLETE
99,99,0.3651398076241337,2025-05-29 23:57:36.386578,2025-05-29 23:57:37.342051,0 days 00:00:00.955473,,,,,,,,,,,,,,,,660.0,5m,0.7000000000000001,-1.7999999999999998,210.0,,,,,,310.0,3m,2.5,-2.9,70.0,,,,,,220,2m,2.6,-3.3,530,,,,,,640.0,8m,2.4000000000000004,-2.2,760.0,,,,,,970,52m,2.6,-1.4,580,980,11m,2.1,-0.3999999999999999,370,,,,,,,,,,,2,COMPLETE
100,100,1.425537367745552,2025-05-29 23:57:37.352194,2025-05-29 23:57:38.294962,0 days 00:00:00.942768,,,,,,,,,,,,,,,,620.0,2m,0.30000000000000004,-0.8999999999999999,640.0,,,,,,220.0,35m,3.1,-3.4,40.0,,,,,,80,52m,2.3000000000000003,-0.6999999999999997,570,,,,,,830.0,44m,1.7000000000000002,-2.3,320.0,,,,,,870,34m,2.9000000000000004,-1.5999999999999999,190,860,43m,1.8,-0.3999999999999999,170,,,,,,,,,,,2,COMPLETE
101,101,2.4387987857903424,2025-05-29 23:57:38.298787,2025-05-29 23:57:39.205657,0 days 00:00:00.906870,,,,,,,,,,,,,,,,580.0,10m,1.1,-1.0999999999999996,290.0,,,,,,40.0,34m,1.9000000000000001,-1.5,60.0,,,,,,200,38m,1.2000000000000002,-2.0,650,,,,,,810.0,43m,2.9000000000000004,-2.0,490.0,,,,,,930,12m,2.3000000000000003,-0.5999999999999996,310,900,25m,2.4000000000000004,-0.6999999999999997,280,,,,,,,,,,,2,COMPLETE
102,102,-1.104193459804315,2025-05-29 23:57:39.213474,2025-05-29 23:57:40.083471,0 days 00:00:00.869997,,,,,,,,,,,,,,,,720.0,55m,0.1,-1.1999999999999997,990.0,,,,,,480.0,51m,0.4,-3.2,660.0,,,,,,150,29m,2.1,-1.1999999999999997,610,,,,,,350.0,32m,2.1,-0.09999999999999964,820.0,,,,,,890,56m,1.4000000000000001,-2.0,650,380,17m,3.0,-0.8999999999999999,230,,,,,,,,,,,2,COMPLETE
103,103,2.517809109563146,2025-05-29 23:57:40.094313,2025-05-29 23:57:41.371119,0 days 00:00:01.276806,770.0,11m,2.9000000000000004,-1.2999999999999998,590.0,,,,,,,,,,,370.0,34m,1.5,-1.5999999999999999,820.0,,,,,,260.0,23m,1.0,-2.3,110.0,,,,,,260,48m,2.5,-1.7,400,870.0,27m,3.5,-3.1,710.0,100.0,45m,1.9000000000000001,-2.6,430.0,350.0,34m,0.0,-2.5,870.0,90,33m,3.3000000000000003,-1.7999999999999998,530,940,21m,2.1,-1.2999999999999998,130,,,,,,,,,,,3,COMPLETE
104,104,0.10641042239828934,2025-05-29 23:57:41.376813,2025-05-29 23:57:42.369256,0 days 00:00:00.992443,,,,,,,,,,,,,,,,30.0,22m,0.6000000000000001,-0.5999999999999996,340.0,,,,,,140.0,2m,2.6,-3.0,10.0,,,,,,270,5m,2.7,-2.3,470,,,,,,30.0,38m,2.4000000000000004,-2.3,430.0,,,,,,990,42m,2.8000000000000003,0.0,610,700,3m,3.2,-0.09999999999999964,810,,,,,,,,,,,2,COMPLETE
105,105,-1.2416414381042145,2025-05-29 23:57:42.377164,2025-05-29 23:57:42.960739,0 days 00:00:00.583575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,9m,1.9000000000000001,-1.7999999999999998,760,,,,,,,,,,,,,,,,950,46m,1.6,-0.19999999999999973,800,120,27m,2.6,-0.5999999999999996,310,,,,,,,,,,,1,COMPLETE
106,106,,2025-05-29 23:57:42.965780,2025-05-29 23:57:43.956043,0 days 00:00:00.990263,,,,,,,,,,,,,,,,400.0,26m,1.4000000000000001,-0.5,530.0,,,,,,380.0,57m,2.0,-2.7,280.0,,,,,,640,36m,0.7000000000000001,-2.2,160,,,,,,760.0,54m,0.4,-1.0999999999999996,170.0,,,,,,900,15m,3.2,-2.0999999999999996,690,450,44m,2.3000000000000003,-2.6,760,,,,,,,,,,,2,FAIL
107,107,0.695956710315306,2025-05-29 23:57:43.960575,2025-05-29 23:57:44.971878,0 days 00:00:01.011303,,,,,,,,,,,,,,,,70.0,43m,0.9,-0.7999999999999998,180.0,,,,,,390.0,58m,0.7000000000000001,-2.7,550.0,,,,,,730,33m,0.7000000000000001,-1.4,110,,,,,,190.0,13m,1.5,-1.0999999999999996,730.0,,,,,,910,59m,2.6,-2.0999999999999996,690,20,2m,2.3000000000000003,-2.6,200,,,,,,,,,,,2,COMPLETE
108,108,3.6285361019826277,2025-05-29 23:57:44.978229,2025-05-29 23:57:45.917861,0 days 00:00:00.939632,,,,,,,,,,,,,,,,130.0,12m,1.9000000000000001,-1.5,410.0,,,,,,190.0,48m,2.0,-2.5,510.0,,,,,,640,56m,2.3000000000000003,-2.8,160,,,,,,420.0,24m,1.8,-0.3999999999999999,620.0,,,,,,360,2m,3.5,-1.0999999999999996,260,920,44m,1.9000000000000001,-0.19999999999999973,760,,,,,,,,,,,2,COMPLETE
109,109,3.4536922082941763,2025-05-29 23:57:45.927219,2025-05-29 23:57:46.859201,0 days 00:00:00.931982,,,,,,,,,,,,,,,,130.0,12m,1.9000000000000001,-1.5,440.0,,,,,,280.0,48m,2.0,-2.5,500.0,,,,,,640,56m,2.2,-3.5,170,,,,,,480.0,24m,1.8,-0.2999999999999998,630.0,,,,,,360,2m,3.5,-1.0999999999999996,260,980,58m,1.9000000000000001,-0.19999999999999973,730,,,,,,,,,,,2,COMPLETE
110,110,3.734940273386879,2025-05-29 23:57:46.866471,2025-05-29 23:57:47.861128,0 days 00:00:00.994657,,,,,,,,,,,,,,,,140.0,12m,1.8,-1.2999999999999998,420.0,,,,,,190.0,59m,2.2,-2.5,290.0,,,,,,640,41m,2.3000000000000003,-3.5,250,,,,,,470.0,24m,1.8,-0.3999999999999999,610.0,,,,,,320,2m,3.5,-1.0,260,920,49m,1.9000000000000001,0.0,770,,,,,,,,,,,2,COMPLETE
111,111,2.956626654981798,2025-05-29 23:57:47.868425,2025-05-29 23:57:48.884269,0 days 00:00:01.015844,,,,,,,,,,,,,,,,180.0,12m,1.9000000000000001,-1.5,430.0,,,,,,190.0,59m,2.1,-2.5,380.0,,,,,,670,41m,2.3000000000000003,-3.5,170,,,,,,420.0,24m,1.8,-0.3999999999999999,600.0,,,,,,370,2m,3.5,-1.0999999999999996,260,920,44m,1.9000000000000001,0.0,750,,,,,,,,,,,2,COMPLETE
112,112,2.576629744026381,2025-05-29 23:57:48.890767,2025-05-29 23:57:49.851678,0 days 00:00:00.960911,,,,,,,,,,,,,,,,160.0,12m,1.9000000000000001,-1.5,420.0,,,,,,200.0,48m,2.1,-2.5,280.0,,,,,,580,56m,2.4000000000000004,-3.4,170,,,,,,430.0,24m,1.8,-0.2999999999999998,590.0,,,,,,370,2m,3.4000000000000004,-1.0999999999999996,270,910,44m,1.9000000000000001,0.0,760,,,,,,,,,,,2,COMPLETE
113,113,0.8741609604163824,2025-05-29 23:57:49.859926,2025-05-29 23:57:50.871293,0 days 00:00:01.011367,,,,,,,,,,,,,,,,210.0,12m,1.8,-1.5,430.0,,,,,,240.0,59m,2.2,-2.3,400.0,,,,,,640,56m,2.0,-3.5,260,,,,,,410.0,19m,1.7000000000000002,-0.3999999999999999,550.0,,,,,,320,2m,3.5,-1.0,300,970,49m,1.8,-0.09999999999999964,840,,,,,,,,,,,2,COMPLETE
114,114,1.9468008089574198,2025-05-29 23:57:50.881446,2025-05-29 23:57:51.861101,0 days 00:00:00.979655,,,,,,,,,,,,,,,,260.0,12m,2.1,-1.9,490.0,,,,,,180.0,48m,2.0,-2.0999999999999996,360.0,,,,,,680,41m,2.3000000000000003,-3.4,200,,,,,,370.0,24m,1.6,0.0,620.0,,,,,,380,2m,3.5,-1.1999999999999997,240,830,16m,2.0,-0.19999999999999973,700,,,,,,,,,,,2,COMPLETE
115,115,6.131878362549979,2025-05-29 23:57:51.867785,2025-05-29 23:57:52.879919,0 days 00:00:01.012134,,,,,,,,,,,,,,,,140.0,37m,2.0,-1.5999999999999999,460.0,,,,,,220.0,59m,1.8,-2.5,480.0,,,,,,620,56m,2.5,-3.3,140,,,,,,500.0,24m,1.9000000000000001,-0.19999999999999973,640.0,,,,,,280,2m,3.5,-0.8999999999999999,260,930,44m,1.7000000000000002,0.0,900,,,,,,,,,,,2,COMPLETE
116,116,1.4048463009470125,2025-05-29 23:57:52.879919,2025-05-29 23:57:55.130290,0 days 00:00:02.250371,940.0,47m,3.2,-3.2,250.0,870.0,53m,2.0,-0.19999999999999973,10.0,530.0,40m,2.8000000000000003,-3.1,470.0,140.0,12m,1.9000000000000001,-1.7,540.0,450.0,28m,1.8,-1.7,520.0,280.0,59m,1.7000000000000002,-2.4,440.0,750.0,23m,0.7000000000000001,-1.9,190.0,610,56m,2.5,-3.5,140,90.0,12m,3.2,-2.6,150.0,530.0,24m,1.9000000000000001,-0.19999999999999973,680.0,40.0,41m,0.5,-0.5,870.0,340,2m,3.2,-0.7999999999999998,340,930,44m,1.7000000000000002,0.0,900,30.0,33m,0.1,-2.0999999999999996,510.0,150.0,20m,1.8,-0.7999999999999998,850.0,5,COMPLETE
117,117,0.9338761966330316,2025-05-29 23:57:55.137751,2025-05-29 23:57:56.144747,0 days 00:00:01.006996,,,,,,,,,,,,,,,,180.0,27m,2.3000000000000003,-1.7999999999999998,470.0,,,,,,230.0,59m,1.8,-2.6,340.0,,,,,,640,56m,1.7000000000000002,-3.3,110,,,,,,490.0,4m,1.4000000000000001,-0.3999999999999999,640.0,,,,,,270,15m,3.5,-1.0,110,950,58m,1.5,-0.19999999999999973,940,,,,,,,,,,,2,COMPLETE
118,118,5.668659867468408,2025-05-29 23:57:56.158964,2025-05-29 23:57:57.177771,0 days 00:00:01.018807,,,,,,,,,,,,,,,,100.0,37m,2.0,-1.5999999999999999,520.0,,,,,,160.0,53m,1.9000000000000001,-2.5,510.0,,,,,,530,17m,2.9000000000000004,-3.1,180,,,,,,570.0,24m,3.5,-0.09999999999999964,530.0,,,,,,240,2m,3.4000000000000004,-0.7999999999999998,260,880,44m,1.9000000000000001,-0.09999999999999964,860,,,,,,,,,,,2,COMPLETE
119,119,4.863369493682148,2025-05-29 23:57:57.180973,2025-05-29 23:57:58.161665,0 days 00:00:00.980692,,,,,,,,,,,,,,,,120.0,37m,1.7000000000000002,-1.7,530.0,,,,,,160.0,53m,1.9000000000000001,-2.5,420.0,,,,,,540,36m,2.6,-3.1,180,,,,,,450.0,24m,3.4000000000000004,-0.09999999999999964,580.0,,,,,,210,2m,3.5,-0.7999999999999998,260,980,44m,1.9000000000000001,-0.09999999999999964,850,,,,,,,,,,,2,COMPLETE
120,120,4.7558005437048845,2025-05-29 23:57:58.165190,2025-05-29 23:57:59.173749,0 days 00:00:01.008559,,,,,,,,,,,,,,,,90.0,37m,2.0,-1.5999999999999999,520.0,,,,,,170.0,17m,1.9000000000000001,-2.3,480.0,,,,,,540,17m,2.6,-3.1,230,,,,,,570.0,24m,3.5,-0.09999999999999964,580.0,,,,,,250,2m,3.4000000000000004,-0.7999999999999998,210,980,44m,2.1,-0.09999999999999964,860,,,,,,,,,,,2,COMPLETE
121,121,4.515802507702611,2025-05-29 23:57:59.188622,2025-05-29 23:58:00.181141,0 days 00:00:00.992519,,,,,,,,,,,,,,,,120.0,37m,2.0,-1.7,600.0,,,,,,160.0,37m,1.6,-2.0999999999999996,480.0,,,,,,540,17m,2.9000000000000004,-3.0,240,,,,,,590.0,24m,3.5,-0.09999999999999964,540.0,,,,,,240,2m,3.4000000000000004,-0.8999999999999999,200,1000,44m,1.8,-0.2999999999999998,870,,,,,,,,,,,2,COMPLETE
122,122,3.7523623089866835,2025-05-29 23:58:00.181141,2025-05-29 23:58:01.144686,0 days 00:00:00.963545,,,,,,,,,,,,,,,,120.0,37m,2.0,-1.7,590.0,,,,,,170.0,53m,1.6,-2.0999999999999996,460.0,,,,,,520,17m,3.1,-3.1,240,,,,,,590.0,24m,3.5,-0.09999999999999964,540.0,,,,,,240,2m,3.4000000000000004,-0.7999999999999998,170,1000,44m,1.8,-0.09999999999999964,870,,,,,,,,,,,2,COMPLETE
123,123,4.8926584512098525,2025-05-29 23:58:01.152867,2025-05-29 23:58:02.112858,0 days 00:00:00.959991,,,,,,,,,,,,,,,,90.0,37m,2.0,-1.7,590.0,,,,,,160.0,53m,1.6,-2.0999999999999996,470.0,,,,,,520,17m,2.9000000000000004,-3.1,240,,,,,,590.0,24m,3.5,-0.09999999999999964,540.0,,,,,,240,2m,3.4000000000000004,-0.7999999999999998,210,1000,44m,1.8,-0.09999999999999964,830,,,,,,,,,,,2,COMPLETE
124,124,3.4100436984812728,2025-05-29 23:58:02.121279,2025-05-29 23:58:03.126153,0 days 00:00:01.004874,,,,,,,,,,,,,,,,90.0,37m,1.7000000000000002,-1.7,590.0,,,,,,160.0,53m,1.6,-2.0,450.0,,,,,,530,17m,3.1,-3.0,280,,,,,,600.0,24m,3.5,-0.09999999999999964,530.0,,,,,,240,2m,3.4000000000000004,-0.8999999999999999,170,1000,44m,1.7000000000000002,-0.09999999999999964,850,,,,,,,,,,,2,COMPLETE
125,125,3.2815661029743466,2025-05-29 23:58:03.131690,2025-05-29 23:58:04.139923,0 days 00:00:01.008233,,,,,,,,,,,,,,,,120.0,37m,2.1,-2.0,520.0,,,,,,210.0,53m,1.5,-2.0999999999999996,470.0,,,,,,470,17m,2.9000000000000004,-3.1,240,,,,,,580.0,24m,3.4000000000000004,-0.09999999999999964,560.0,,,,,,180,2m,3.3000000000000003,-0.7999999999999998,200,980,44m,1.8,-0.2999999999999998,920,,,,,,,,,,,2,COMPLETE
126,126,-0.9662347650617858,2025-05-29 23:58:04.146968,2025-05-29 23:58:05.225787,0 days 00:00:01.078819,,,,,,,,,,,,,,,,90.0,37m,2.0,-1.5999999999999999,590.0,,,,,,120.0,53m,1.9000000000000001,-2.3,520.0,,,,,,510,17m,2.9000000000000004,-2.9,300,,,,,,640.0,24m,3.2,-0.19999999999999973,580.0,,,,,,140,41m,3.4000000000000004,-0.5999999999999996,150,950,44m,1.6,-0.2999999999999998,820,,,,,,,,,,,2,COMPLETE
127,127,,2025-05-29 23:58:05.231859,2025-05-29 23:58:06.332127,0 days 00:00:01.100268,,,,,,,,,,,,,,,,170.0,37m,2.2,-1.7,570.0,,,,,,150.0,53m,1.6,-1.7999999999999998,420.0,,,,,,540,36m,3.2,-2.8,220,,,,,,580.0,24m,3.3000000000000003,0.0,510.0,,,,,,220,28m,3.2,-0.8999999999999999,120,990,44m,1.8,0.0,880,,,,,,,,,,,2,FAIL
128,128,,2025-05-29 23:58:06.332127,2025-05-29 23:58:07.348698,0 days 00:00:01.016571,,,,,,,,,,,,,,,,60.0,37m,2.2,-1.7,680.0,,,,,,150.0,37m,1.6,-1.7,480.0,,,,,,550,36m,3.3000000000000003,-2.8,220,,,,,,570.0,54m,3.3000000000000003,0.0,490.0,,,,,,230,40m,3.2,-0.8999999999999999,220,1000,44m,2.1,0.0,950,,,,,,,,,,,2,FAIL
129,129,2.1840765869530245,2025-05-29 23:58:07.359630,2025-05-29 23:58:08.312595,0 days 00:00:00.952965,,,,,,,,,,,,,,,,60.0,37m,2.2,-1.7,560.0,,,,,,170.0,37m,1.5,-1.7999999999999998,490.0,,,,,,550,36m,3.1,-2.8,230,,,,,,590.0,24m,3.3000000000000003,0.0,500.0,,,,,,210,2m,3.2,-0.8999999999999999,120,990,44m,1.8,0.0,950,,,,,,,,,,,2,COMPLETE
130,130,-1.2567363664297093,2025-05-29 23:58:08.329770,2025-05-29 23:58:09.312968,0 days 00:00:00.983198,,,,,,,,,,,,,,,,110.0,37m,2.0,-1.4,690.0,,,,,,150.0,37m,1.9000000000000001,-2.2,420.0,,,,,,440,17m,3.0,-3.1,210,,,,,,570.0,54m,3.4000000000000004,-0.19999999999999973,480.0,,,,,,300,47m,3.3000000000000003,-0.6999999999999997,220,960,44m,1.4000000000000001,-0.09999999999999964,990,,,,,,,,,,,2,COMPLETE
131,131,3.8908643293534335,2025-05-29 23:58:09.321219,2025-05-29 23:58:10.355767,0 days 00:00:01.034548,,,,,,,,,,,,,,,,160.0,37m,1.7000000000000002,-1.5999999999999999,610.0,,,,,,220.0,53m,1.6,-2.0,490.0,,,,,,580,17m,2.6,-3.3,190,,,,,,540.0,24m,3.4000000000000004,0.0,550.0,,,,,,240,2m,3.5,-0.7999999999999998,180,980,49m,1.9000000000000001,-0.19999999999999973,900,,,,,,,,,,,2,COMPLETE
132,132,0.5557694238222469,2025-05-29 23:58:10.363282,2025-05-29 23:58:11.408301,0 days 00:00:01.045019,,,,,,,,,,,,,,,,160.0,37m,1.7000000000000002,-1.5999999999999999,620.0,,,,,,200.0,9m,1.7000000000000002,-2.0,470.0,,,,,,570,17m,2.8000000000000003,-3.3,250,,,,,,550.0,24m,3.5,0.0,530.0,,,,,,150,2m,3.4000000000000004,-0.7999999999999998,190,1000,49m,2.2,-0.3999999999999999,900,,,,,,,,,,,2,COMPLETE
133,133,3.17620263790405,2025-05-29 23:58:11.416386,2025-05-29 23:58:12.383426,0 days 00:00:00.967040,,,,,,,,,,,,,,,,200.0,37m,1.5,-1.9,520.0,,,,,,230.0,17m,1.6,-1.9,310.0,,,,,,490,17m,3.4000000000000004,-3.2,190,,,,,,520.0,24m,3.1,-0.09999999999999964,560.0,,,,,,250,28m,3.3000000000000003,-0.5,220,880,10m,2.1,-0.09999999999999964,800,,,,,,,,,,,2,COMPLETE
134,134,0.16994332571277868,2025-05-29 23:58:12.393449,2025-05-29 23:58:13.388734,0 days 00:00:00.995285,,,,,,,,,,,,,,,,80.0,52m,2.3000000000000003,-1.5999999999999999,570.0,,,,,,110.0,53m,1.4000000000000001,-2.3,460.0,,,,,,520,14m,2.8000000000000003,-3.1,310,,,,,,620.0,52m,3.4000000000000004,-0.19999999999999973,590.0,,,,,,220,6m,3.4000000000000004,-1.0,190,970,49m,2.0,-0.19999999999999973,860,,,,,,,,,,,2,COMPLETE
