,number,value,datetime_start,datetime_complete,duration,params_AAL_HAS_beta_win,params_AAL_HAS_trade_freq,params_AAL_HAS_z_entry,params_AAL_HAS_z_exit,params_AAL_HAS_z_win,params_BIDU_BIIB_beta_win,params_BIDU_BIIB_trade_freq,params_BIDU_BIIB_z_entry,params_BIDU_BIIB_z_exit,params_BIDU_BIIB_z_win,params_FB_BIIB_beta_win,params_FB_BIIB_trade_freq,params_FB_BIIB_z_entry,params_FB_BIIB_z_exit,params_FB_BIIB_z_win,params_ISRG_HAS_beta_win,params_ISRG_HAS_trade_freq,params_ISRG_HAS_z_entry,params_ISRG_HAS_z_exit,params_ISRG_HAS_z_win,params_KHC_HAS_beta_win,params_KHC_HAS_trade_freq,params_KHC_HAS_z_entry,params_KHC_HAS_z_exit,params_KHC_HAS_z_win,params_MELI_BIIB_beta_win,params_MELI_BIIB_trade_freq,params_MELI_BIIB_z_entry,params_MELI_BIIB_z_exit,params_MELI_BIIB_z_win,params_MSFT_HAS_beta_win,params_MSFT_HAS_trade_freq,params_MSFT_HAS_z_entry,params_MSFT_HAS_z_exit,params_MSFT_HAS_z_win,params_NTES_BIIB_beta_win,params_NTES_BIIB_trade_freq,params_NTES_BIIB_z_entry,params_NTES_BIIB_z_exit,params_NTES_BIIB_z_win,params_SBUX_HAS_beta_win,params_SBUX_HAS_trade_freq,params_SBUX_HAS_z_entry,params_SBUX_HAS_z_exit,params_SBUX_HAS_z_win,params_WYNN_BIIB_beta_win,params_WYNN_BIIB_trade_freq,params_WYNN_BIIB_z_entry,params_WYNN_BIIB_z_exit,params_WYNN_BIIB_z_win,params_pairs_to_trade,state
21,21,-6.399751901563385,2025-05-29 23:28:59.673144,2025-05-29 23:29:00.724311,0 days 00:00:01.051167,780.0,43m,3.1,-1.5,290.0,410.0,9m,0.0,-0.5999999999999996,360.0,40.0,33m,1.3,-2.5,360.0,,,,,,500.0,12m,1.6,-2.5,720.0,640,53m,3.5,-0.5,290,730,40m,1.2000000000000002,-3.1,670,,,,,,920.0,46m,2.3000000000000003,-0.19999999999999973,310.0,570.0,9m,0.2,-2.5,200.0,4,COMPLETE
22,22,-2.0824425330951226,2025-05-29 23:29:00.724311,2025-05-29 23:29:01.570799,0 days 00:00:00.846488,140.0,4m,1.8,-3.5,180.0,140.0,42m,2.6,-2.9,40.0,730.0,32m,2.1,-1.5999999999999999,180.0,,,,,,,,,,,400,1m,1.6,0.0,510,460,37m,1.9000000000000001,0.0,950,,,,,,220.0,20m,0.9,-1.0,780.0,,,,,,3,COMPLETE
23,23,-0.7531808353106385,2025-05-29 23:29:01.581262,2025-05-29 23:29:02.634377,0 days 00:00:01.053115,690.0,36m,2.9000000000000004,-2.8,430.0,570.0,45m,1.0,-2.2,620.0,620.0,25m,1.1,-2.5,530.0,,,,,,270.0,20m,2.4000000000000004,-0.8999999999999999,400.0,550,11m,1.2000000000000002,0.0,660,540,59m,0.7000000000000001,-2.5,420,,,,,,90.0,56m,0.9,-1.7999999999999998,490.0,370.0,43m,2.8000000000000003,-2.4,550.0,4,COMPLETE
24,24,0.7515713660885379,2025-05-29 23:29:02.644706,2025-05-29 23:29:03.924590,0 days 00:00:01.279884,500.0,26m,3.1,-2.3,460.0,650.0,45m,1.3,-2.0999999999999996,830.0,420.0,42m,0.9,-2.9,590.0,900.0,51m,1.6,-2.3,810.0,390.0,25m,2.9000000000000004,-0.2999999999999998,290.0,620,12m,1.2000000000000002,-1.4,690,550,59m,0.30000000000000004,-2.6,500,660.0,19m,1.2000000000000002,-0.3999999999999999,560.0,180.0,43m,0.6000000000000001,-1.5999999999999999,590.0,240.0,48m,2.5,-3.4,500.0,5,COMPLETE
25,25,2.2253748387097776,2025-05-29 23:29:03.924590,2025-05-29 23:29:05.164784,0 days 00:00:01.240194,510.0,26m,3.1,-2.2,580.0,700.0,25m,1.6,-1.9,900.0,390.0,42m,0.2,-3.0,830.0,970.0,6m,1.7000000000000002,-2.4,850.0,600.0,34m,3.3000000000000003,0.0,250.0,660,12m,0.5,-1.4,780,590,45m,0.2,-3.2,520,720.0,19m,1.3,-0.19999999999999973,540.0,390.0,43m,0.0,-0.5,600.0,210.0,48m,2.0,-3.5,740.0,5,COMPLETE
26,26,-0.10897056334814365,2025-05-29 23:29:05.164784,2025-05-29 23:29:06.442189,0 days 00:00:01.277405,360.0,26m,3.2,-1.7999999999999998,590.0,760.0,25m,1.8,-1.5999999999999999,960.0,270.0,52m,0.0,-3.3,420.0,780.0,11m,2.1,-2.5,740.0,620.0,34m,3.5,-1.2999999999999998,10.0,830,12m,0.6000000000000001,-2.0999999999999996,870,750,45m,0.0,-3.1,340,940.0,30m,1.4000000000000001,-0.8999999999999999,480.0,390.0,35m,0.0,-0.3999999999999999,620.0,20.0,50m,1.9000000000000001,-1.0,860.0,5,COMPLETE
27,27,-1.4669721068731862,2025-05-29 23:29:06.450272,2025-05-29 23:29:07.622322,0 days 00:00:01.172050,560.0,49m,2.3000000000000003,-2.8,670.0,930.0,53m,3.0,-1.1999999999999997,880.0,430.0,42m,0.30000000000000004,-3.5,280.0,440.0,6m,1.1,-2.7,20.0,620.0,27m,2.9000000000000004,-2.3,230.0,690,42m,0.30000000000000004,-1.5999999999999999,970,620,27m,1.2000000000000002,-3.3,570,500.0,19m,2.1,-2.6,660.0,480.0,55m,1.2000000000000002,-0.8999999999999999,890.0,840.0,49m,1.0,-0.3999999999999999,710.0,5,COMPLETE
28,28,1.6940589977379454,2025-05-29 23:29:07.632667,2025-05-29 23:29:08.664105,0 days 00:00:01.031438,440.0,41m,1.6,-1.5999999999999999,530.0,280.0,25m,0.7000000000000001,-2.5,720.0,560.0,14m,3.0,-3.0,870.0,,,,,,570.0,44m,3.5,-0.2999999999999998,470.0,790,40m,0.0,-2.5,590,320,45m,0.4,-1.1999999999999997,700,,,,,,620.0,14m,2.4000000000000004,-0.2999999999999998,390.0,230.0,29m,0.5,-3.0,900.0,4,COMPLETE
29,29,-0.5553997800770031,2025-05-29 23:29:08.674505,2025-05-29 23:29:09.697610,0 days 00:00:01.023105,440.0,28m,1.6,-1.0,340.0,700.0,58m,0.6000000000000001,-2.7,750.0,550.0,2m,2.9000000000000004,-2.8,870.0,,,,,,580.0,44m,3.5,0.0,540.0,810,40m,0.9,-2.7,800,300,45m,0.4,-1.0999999999999996,870,,,,,,650.0,59m,2.5,0.0,400.0,190.0,29m,0.7000000000000001,-3.0,990.0,4,COMPLETE
30,30,-1.9723441098873127,2025-05-29 23:29:09.707901,2025-05-29 23:29:10.521582,0 days 00:00:00.813681,730.0,9m,1.2000000000000002,-1.5999999999999999,730.0,470.0,5m,0.30000000000000004,-1.9,890.0,340.0,14m,1.5,-3.2,1000.0,,,,,,,,,,,490,33m,0.4,-2.7,440,210,45m,0.5,-1.7999999999999998,670,,,,,,790.0,38m,0.0,-0.3999999999999999,180.0,,,,,,3,COMPLETE
31,31,-4.435269567449036,2025-05-29 23:29:10.528280,2025-05-29 23:29:10.905638,0 days 00:00:00.377358,,,,,,,,,,,,,,,,,,,,,,,,,,460,56m,0.0,-2.3,600,380,3m,0.2,-1.2999999999999998,740,,,,,,,,,,,,,,,,1,COMPLETE
32,32,-1.1695542190868873,2025-05-29 23:29:10.912282,2025-05-29 23:29:11.897363,0 days 00:00:00.985081,840.0,41m,1.8,-2.0999999999999996,650.0,880.0,25m,0.9,-2.5,780.0,170.0,14m,2.0,-2.4,810.0,,,,,,520.0,2m,3.1,-0.5,450.0,830,24m,1.0,-3.0,710,590,18m,1.0,-1.1999999999999997,690,,,,,,1000.0,43m,0.4,-0.7999999999999998,130.0,270.0,21m,0.4,-3.0,860.0,4,COMPLETE
33,33,0.5059570344229101,2025-05-29 23:29:11.907818,2025-05-29 23:29:13.129800,0 days 00:00:01.221982,530.0,56m,2.4000000000000004,-2.2,560.0,260.0,4m,1.7000000000000002,-1.7999999999999998,580.0,690.0,34m,3.4000000000000004,-3.1,830.0,60.0,35m,3.5,-1.5999999999999999,630.0,740.0,39m,3.5,-0.3999999999999999,340.0,670,16m,0.0,-1.1999999999999997,610,480,46m,0.7000000000000001,-3.1,510,660.0,32m,0.9,-0.8999999999999999,960.0,300.0,14m,1.8,-0.3999999999999999,400.0,130.0,52m,1.7000000000000002,-3.1,860.0,5,COMPLETE
34,34,-0.8344918965049658,2025-05-29 23:29:13.135063,2025-05-29 23:29:14.403599,0 days 00:00:01.268536,280.0,51m,0.8,-2.6,500.0,90.0,24m,1.4000000000000001,-1.1999999999999997,700.0,470.0,23m,3.2,-2.2,760.0,810.0,6m,2.1,-3.0,280.0,430.0,50m,1.3,-1.4,210.0,580,39m,0.4,-2.0,480,430,58m,2.0,-0.19999999999999973,470,400.0,7m,2.7,-0.6999999999999997,360.0,440.0,44m,2.4000000000000004,-0.2999999999999998,780.0,310.0,42m,0.0,-3.5,760.0,5,COMPLETE
35,35,0.18371317729761175,2025-05-29 23:29:14.410886,2025-05-29 23:29:15.255366,0 days 00:00:00.844480,300.0,21m,1.1,-2.0,530.0,320.0,8m,2.3000000000000003,-3.0,430.0,570.0,7m,2.7,-1.9,630.0,,,,,,,,,,,760,7m,0.30000000000000004,-1.1999999999999997,540,340,11m,0.0,-0.7999999999999998,600,,,,,,560.0,31m,2.1,-1.1999999999999997,600.0,,,,,,3,COMPLETE
36,36,-0.11153899465335393,2025-05-29 23:29:15.255366,2025-05-29 23:29:16.277599,0 days 00:00:01.022233,160.0,6m,2.5,-3.0,380.0,220.0,34m,0.8,-2.4,320.0,760.0,22m,2.3000000000000003,-2.8,860.0,,,,,,870.0,56m,2.7,-2.0999999999999996,610.0,330,32m,0.7000000000000001,-1.7,750,700,48m,2.5,-2.8,340,,,,,,350.0,2m,2.7,-0.5999999999999996,410.0,500.0,58m,1.3,-2.0999999999999996,610.0,4,COMPLETE
37,37,1.5321704804745622,2025-05-29 23:29:16.288120,2025-05-29 23:29:17.305782,0 days 00:00:01.017662,610.0,29m,0.5,-1.5999999999999999,460.0,360.0,29m,1.7000000000000002,-0.2999999999999998,710.0,340.0,59m,2.7,-1.7999999999999998,100.0,,,,,,550.0,44m,2.0,0.0,360.0,920,57m,0.0,-0.7999999999999998,300,790,51m,0.30000000000000004,-1.5,790,,,,,,530.0,23m,3.3000000000000003,-0.19999999999999973,540.0,850.0,29m,3.4000000000000004,-1.2999999999999998,910.0,4,COMPLETE
38,38,-2.4183306486569927,2025-05-29 23:29:17.309089,2025-05-29 23:29:17.848774,0 days 00:00:00.539685,610.0,5m,0.5,-1.5999999999999999,460.0,490.0,29m,1.7000000000000002,-2.0999999999999996,890.0,280.0,59m,2.8000000000000003,-1.5,660.0,,,,,,,,,,,940,57m,0.0,-0.6999999999999997,150,800,53m,0.30000000000000004,-1.9,840,,,,,,520.0,41m,3.3000000000000003,0.0,540.0,,,,,,3,COMPLETE
39,39,-1.9323775736650766,2025-05-29 23:29:17.851221,2025-05-29 23:29:18.516807,0 days 00:00:00.665586,460.0,29m,0.6000000000000001,-1.2999999999999998,300.0,400.0,1m,1.2000000000000002,-1.0999999999999996,730.0,990.0,49m,2.3000000000000003,-2.3,590.0,,,,,,550.0,54m,2.1,0.0,390.0,860,13m,0.2,-1.2999999999999998,340,810,51m,0.5,-1.4,760,,,,,,850.0,23m,3.2,-0.2999999999999998,340.0,780.0,29m,3.3000000000000003,-1.2999999999999998,930.0,4,COMPLETE
40,40,-0.520091863372086,2025-05-29 23:29:18.519777,2025-05-29 23:29:18.901727,0 days 00:00:00.381950,550.0,52m,1.6,-1.0999999999999996,150.0,,,,,,170.0,9m,2.4000000000000004,-3.3,900.0,,,,,,,,,,,880,44m,0.6000000000000001,-0.6999999999999997,200,880,47m,1.2000000000000002,-1.5999999999999999,900,,,,,,,,,,,,,,,,2,COMPLETE
41,41,-7.15130121431444,2025-05-29 23:29:18.904337,2025-05-29 23:29:19.423085,0 days 00:00:00.518748,850.0,53m,1.0,-1.7,880.0,450.0,28m,0.4,-1.9,510.0,380.0,11m,1.8,-3.5,980.0,,,,,,,,,,,910,50m,0.30000000000000004,-2.4,120,590,35m,0.2,-1.0,780,,,,,,620.0,7m,1.2000000000000002,-0.7999999999999998,10.0,,,,,,3,COMPLETE
42,42,-5.21445802477493,2025-05-29 23:29:19.425956,2025-05-29 23:29:20.094844,0 days 00:00:00.668888,690.0,1m,0.30000000000000004,-1.5,480.0,360.0,11m,1.6,-1.5999999999999999,130.0,340.0,27m,2.6,-2.7,280.0,,,,,,650.0,44m,3.2,-0.2999999999999998,360.0,950,20m,2.6,-0.8999999999999999,280,710,25m,1.0,-0.5999999999999996,710,,,,,,730.0,25m,3.0,-0.19999999999999973,1000.0,170.0,5m,0.4,-1.0999999999999996,900.0,4,COMPLETE
43,43,0.051059647203407894,2025-05-29 23:29:20.097689,2025-05-29 23:29:20.942963,0 days 00:00:00.845274,500.0,34m,2.0,-2.3,570.0,270.0,36m,1.9000000000000001,-0.2999999999999998,580.0,430.0,48m,3.2,-3.1,100.0,980.0,15m,0.8,-1.0,990.0,540.0,32m,1.9000000000000001,-0.5999999999999996,470.0,790,19m,0.2,-1.0,450,400,1m,3.5,-2.2,640,990.0,10m,0.7000000000000001,-2.4,490.0,490.0,36m,2.6,-0.5,450.0,900.0,33m,3.5,-1.7,790.0,5,COMPLETE
44,44,-2.2545321271264034,2025-05-29 23:29:20.946091,2025-05-29 23:29:21.666164,0 days 00:00:00.720073,430.0,14m,0.8,-2.5,630.0,100.0,47m,2.5,-0.3999999999999999,600.0,560.0,45m,3.5,-1.9,90.0,,,,,,140.0,7m,2.5,-0.19999999999999973,290.0,680,52m,0.0,-0.5,560,540,32m,0.6000000000000001,-3.3,550,,,,,,450.0,12m,2.1,-0.19999999999999973,640.0,890.0,27m,3.0,-1.2999999999999998,670.0,4,COMPLETE
45,45,-1.4047842366030943,2025-05-29 23:29:21.671675,2025-05-29 23:29:22.655505,0 days 00:00:00.983830,320.0,7m,3.4000000000000004,-1.7999999999999998,10.0,630.0,33m,2.3000000000000003,-0.19999999999999973,680.0,460.0,41m,2.8000000000000003,-2.0,120.0,470.0,36m,2.0,-2.2,590.0,460.0,11m,1.5,-1.0,200.0,750,21m,0.4,-1.9,310,10,13m,0.8,-3.5,460,740.0,53m,0.7000000000000001,-3.5,300.0,290.0,18m,2.8000000000000003,-2.4,560.0,720.0,47m,0.9,-2.8,840.0,5,COMPLETE
