,number,value,datetime_start,datetime_complete,duration,params_ALGN_CTAS_beta_win,params_ALGN_CTAS_trade_freq,params_ALGN_CTAS_z_entry,params_ALGN_CTAS_z_exit,params_ALGN_CTAS_z_win,params_BKNG_FOXA_beta_win,params_BKNG_FOXA_trade_freq,params_BKNG_FOXA_z_entry,params_BKNG_FOXA_z_exit,params_BKNG_FOXA_z_win,params_BKNG_FOX_beta_win,params_BKNG_FOX_trade_freq,params_BKNG_FOX_z_entry,params_BKNG_FOX_z_exit,params_BKNG_FOX_z_win,params_CDNS_ANSS_beta_win,params_CDNS_ANSS_trade_freq,params_CDNS_ANSS_z_entry,params_CDNS_ANSS_z_exit,params_CDNS_ANSS_z_win,params_CSX_NTAP_beta_win,params_CSX_NTAP_trade_freq,params_CSX_NTAP_z_entry,params_CSX_NTAP_z_exit,params_CSX_NTAP_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_win,params_LULU_ALGN_beta_win,params_LULU_ALGN_trade_freq,params_LULU_ALGN_z_entry,params_LULU_ALGN_z_exit,params_LULU_ALGN_z_win,params_MAR_FOXA_beta_win,params_MAR_FOXA_trade_freq,params_MAR_FOXA_z_entry,params_MAR_FOXA_z_exit,params_MAR_FOXA_z_win,params_MAR_FOX_beta_win,params_MAR_FOX_trade_freq,params_MAR_FOX_z_entry,params_MAR_FOX_z_exit,params_MAR_FOX_z_win,params_MCHP_ALGN_beta_win,params_MCHP_ALGN_trade_freq,params_MCHP_ALGN_z_entry,params_MCHP_ALGN_z_exit,params_MCHP_ALGN_z_win,params_PYPL_MELI_beta_win,params_PYPL_MELI_trade_freq,params_PYPL_MELI_z_entry,params_PYPL_MELI_z_exit,params_PYPL_MELI_z_win,params_SWKS_CTAS_beta_win,params_SWKS_CTAS_trade_freq,params_SWKS_CTAS_z_entry,params_SWKS_CTAS_z_exit,params_SWKS_CTAS_z_win,params_TMUS_NTES_beta_win,params_TMUS_NTES_trade_freq,params_TMUS_NTES_z_entry,params_TMUS_NTES_z_exit,params_TMUS_NTES_z_win,params_ULTA_ROST_beta_win,params_ULTA_ROST_trade_freq,params_ULTA_ROST_z_entry,params_ULTA_ROST_z_exit,params_ULTA_ROST_z_win,params_WBA_XEL_beta_win,params_WBA_XEL_trade_freq,params_WBA_XEL_z_entry,params_WBA_XEL_z_exit,params_WBA_XEL_z_win,params_pairs_to_trade,state
55,55,1.5989758040710371,2025-05-29 23:49:28.069468,2025-05-29 23:49:28.539732,0 days 00:00:00.470264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,47m,0.1,-1.5999999999999999,800,,,,,,,,,,,740,59m,1.0,-2.2,330,,,,,,,,,,,,,,,,530,7m,2.8000000000000003,-1.0,130,1,COMPLETE
56,56,0.5828066478409615,2025-05-29 23:49:28.539732,2025-05-29 23:49:29.320402,0 days 00:00:00.780670,430.0,18m,3.1,-0.19999999999999973,610.0,850.0,43m,1.9000000000000001,-0.3999999999999999,800.0,,,,,,740.0,11m,0.8,-0.5999999999999996,510.0,,,,,,,,,,,,,,,,520,17m,0.8,-1.4,490,,,,,,,,,,,360,18m,1.4000000000000001,-1.7999999999999998,520,,,,,,,,,,,,,,,,750,45m,2.1,-1.4,70,2,COMPLETE
57,57,0.2329498806966271,2025-05-29 23:49:29.331310,2025-05-29 23:49:31.042987,0 days 00:00:01.711677,600.0,7m,1.8,-1.5,890.0,460.0,53m,1.0,-2.7,340.0,550.0,26m,3.5,0.0,660.0,640.0,52m,2.1,-2.2,360.0,810.0,36m,1.1,-0.5,480.0,50.0,55m,0.2,0.0,990.0,990.0,51m,0.1,-0.09999999999999964,110.0,680,33m,0.4,-1.7999999999999998,380,630.0,5m,2.5,-1.4,260.0,640.0,1m,3.5,-2.8,710.0,250,52m,0.8,-2.7,440,30.0,2m,3.3000000000000003,-3.5,320.0,970.0,16m,3.5,-3.5,490.0,30.0,32m,3.5,-2.7,10.0,50,17m,2.7,-1.0,570,5,COMPLETE
58,58,-0.8597281817761881,2025-05-29 23:49:31.044744,2025-05-29 23:49:31.558410,0 days 00:00:00.513666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,2m,0.2,-3.5,560,,,,,,,,,,,110,42m,2.4000000000000004,-3.0,270,,,,,,,,,,,,,,,,170,51m,2.5,-1.5999999999999999,250,1,COMPLETE
59,59,-0.25034568710690247,2025-05-29 23:49:31.568699,2025-05-29 23:49:32.071709,0 days 00:00:00.503010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,40m,2.3000000000000003,-1.0,900,,,,,,,,,,,570,12m,0.5,-2.3,170,,,,,,,,,,,,,,,,110,29m,2.9000000000000004,-1.2999999999999998,530,1,COMPLETE
60,60,-1.7898567272341053,2025-05-29 23:49:32.071709,2025-05-29 23:49:32.566774,0 days 00:00:00.495065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,55m,1.1,-1.2999999999999998,1000,,,,,,,,,,,10,47m,0.1,-1.9,610,,,,,,,,,,,,,,,,10,59m,3.3000000000000003,-2.0,430,1,COMPLETE
61,61,-0.8171997891839605,2025-05-29 23:49:32.577366,2025-05-29 23:49:33.085811,0 days 00:00:00.508445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,48m,3.3000000000000003,0.0,910,,,,,,,,,,,130,27m,0.30000000000000004,-0.6999999999999997,530,,,,,,,,,,,,,,,,230,40m,3.1,-2.2,160,1,COMPLETE
62,62,-0.8598431711333451,2025-05-29 23:49:33.085811,2025-05-29 23:49:34.618999,0 days 00:00:01.533188,250.0,11m,1.2000000000000002,-2.2,20.0,330.0,40m,2.3000000000000003,-2.0999999999999996,510.0,320.0,35m,1.1,-2.4,490.0,500.0,29m,2.6,-1.9,600.0,310.0,46m,2.8000000000000003,-2.0,820.0,,,,,,,,,,,310,46m,2.8000000000000003,-1.5999999999999999,710,310.0,1m,3.4000000000000004,-3.2,480.0,420.0,48m,2.5,-1.4,200.0,70,35m,0.0,-1.5999999999999999,480,550.0,43m,2.5,-0.8999999999999999,1000.0,650.0,21m,0.2,-2.0,990.0,,,,,,130,9m,3.5,0.0,390,4,COMPLETE
63,63,2.3793428665025873,2025-05-29 23:49:34.629342,2025-05-29 23:49:35.122507,0 days 00:00:00.493165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,53m,0.30000000000000004,-0.3999999999999999,860,,,,,,,,,,,220,28m,0.5,-0.5,630,,,,,,,,,,,,,,,,400,28m,2.4000000000000004,-2.9,20,1,COMPLETE
64,64,-2.1736142879389218,2025-05-29 23:49:35.122507,2025-05-29 23:49:35.615929,0 days 00:00:00.493422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,53m,0.30000000000000004,-0.6999999999999997,860,,,,,,,,,,,230,28m,1.0,-0.5,680,,,,,,,,,,,,,,,,380,48m,2.3000000000000003,-3.1,30,1,COMPLETE
65,65,-0.3573055938767435,2025-05-29 23:49:35.626627,2025-05-29 23:49:36.474220,0 days 00:00:00.847593,200.0,4m,0.8,-2.7,730.0,590.0,32m,0.30000000000000004,-1.0999999999999996,750.0,,,,,,330.0,47m,0.6000000000000001,-1.7,260.0,,,,,,,,,,,,,,,,410,3m,0.6000000000000001,-0.3999999999999999,780,,,,,,,,,,,320,34m,0.5,-3.5,580,,,,,,,,,,,,,,,,470,28m,2.5,-3.3,40,2,COMPLETE
66,66,0.478442193565322,2025-05-29 23:49:36.474220,2025-05-29 23:49:37.001008,0 days 00:00:00.526788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,58m,0.0,-0.7999999999999998,750,,,,,,,,,,,70,24m,0.8,-2.5,810,,,,,,,,,,,,,,,,430,1m,2.0,-2.9,130,1,COMPLETE
67,67,-2.549749213637078,2025-05-29 23:49:37.001008,2025-05-29 23:49:37.480720,0 days 00:00:00.479712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,4m,1.3,-3.0,860,,,,,,,,,,,660,51m,2.0,-0.6999999999999997,970,,,,,,,,,,,,,,,,350,50m,2.7,-3.4,200,1,COMPLETE
68,68,0.9056106460236549,2025-05-29 23:49:37.490864,2025-05-29 23:49:38.317119,0 days 00:00:00.826255,80.0,25m,0.8,-0.6999999999999997,100.0,730.0,4m,1.5,-2.3,950.0,,,,,,920.0,54m,0.2,-0.2999999999999998,1000.0,,,,,,,,,,,,,,,,680,12m,0.8,-2.3,450,,,,,,,,,,,450,46m,2.2,-0.8999999999999999,910,,,,,,,,,,,,,,,,590,58m,2.4000000000000004,-2.7,110,2,COMPLETE
69,69,-0.6286679319459757,2025-05-29 23:49:38.317119,2025-05-29 23:49:38.794415,0 days 00:00:00.477296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,44m,0.30000000000000004,-0.5999999999999996,300,,,,,,,,,,,400,8m,2.7,-2.0,730,,,,,,,,,,,,,,,,290,27m,2.2,-3.1,510,1,COMPLETE
70,70,1.276227373360093,2025-05-29 23:49:38.804786,2025-05-29 23:49:39.312451,0 days 00:00:00.507665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,49m,2.5,-0.09999999999999964,950,,,,,,,,,,,180,25m,0.2,-0.2999999999999998,620,,,,,,,,,,,,,,,,80,19m,3.0,-2.5,640,1,COMPLETE
71,71,-0.49965816820144476,2025-05-29 23:49:39.312451,2025-05-29 23:49:39.832684,0 days 00:00:00.520233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,11m,2.2,-0.3999999999999999,850,,,,,,,,,,,150,56m,0.5,-0.5,650,,,,,,,,,,,,,,,,50,38m,2.6,-3.5,470,1,COMPLETE
72,72,0.8356988656142439,2025-05-29 23:49:39.842845,2025-05-29 23:49:40.325555,0 days 00:00:00.482710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,50m,1.9000000000000001,-0.19999999999999973,960,,,,,,,,,,,100,36m,0.7000000000000001,-0.09999999999999964,500,,,,,,,,,,,,,,,,490,24m,2.8000000000000003,-1.9,70,1,COMPLETE
73,73,,2025-05-29 23:49:40.325555,2025-05-29 23:49:40.861096,0 days 00:00:00.535541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,13m,3.2,-0.09999999999999964,670,,,,,,,,,,,520,41m,0.4,-0.2999999999999998,840,,,,,,,,,,,,,,,,100,46m,3.0,-1.7,550,1,FAIL
74,74,-0.6089146295845393,2025-05-29 23:49:40.867103,2025-05-29 23:49:41.405784,0 days 00:00:00.538681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,25m,3.1,-0.09999999999999964,920,,,,,,,,,,,230,41m,0.4,-0.2999999999999998,440,,,,,,,,,,,,,,,,30,10m,3.0,-1.5999999999999999,550,1,COMPLETE
75,75,0.303404457339329,2025-05-29 23:49:41.413855,2025-05-29 23:49:41.947121,0 days 00:00:00.533266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,34m,3.4000000000000004,-1.2999999999999998,1000,,,,,,,,,,,510,7m,0.2,-2.3,830,,,,,,,,,,,,,,,,410,42m,3.3000000000000003,-2.3,190,1,COMPLETE
76,76,-3.124180594575793,2025-05-29 23:49:41.947121,2025-05-29 23:49:42.845020,0 days 00:00:00.897899,520.0,58m,2.6,-3.2,480.0,890.0,8m,3.0,-1.5999999999999999,150.0,,,,,,80.0,2m,1.6,-3.2,770.0,,,,,,,,,,,,,,,,1000,32m,0.7000000000000001,-1.9,400,,,,,,,,,,,50,44m,0.1,-0.5999999999999996,760,,,,,,,,,,,,,,,,100,35m,2.4000000000000004,-1.7999999999999998,10,2,COMPLETE
77,77,,2025-05-29 23:49:42.861198,2025-05-29 23:49:43.388983,0 days 00:00:00.527785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,21m,1.2000000000000002,-0.3999999999999999,610,,,,,,,,,,,590,26m,0.6000000000000001,-0.09999999999999964,650,,,,,,,,,,,,,,,,190,26m,2.2,-3.4,860,1,FAIL
78,78,-0.8753367059276598,2025-05-29 23:49:43.407436,2025-05-29 23:49:43.938506,0 days 00:00:00.531070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,38m,1.2000000000000002,-0.5999999999999996,260,,,,,,,,,,,310,19m,0.6000000000000001,-0.09999999999999964,870,,,,,,,,,,,,,,,,160,26m,2.2,-2.8,630,1,COMPLETE
79,79,0.1776538527015204,2025-05-29 23:49:43.954337,2025-05-29 23:49:44.825656,0 days 00:00:00.871319,760.0,5m,2.1,-2.7,560.0,260.0,12m,0.7000000000000001,-2.8,890.0,,,,,,770.0,38m,2.4000000000000004,-1.4,910.0,,,,,,,,,,,,,,,,380,21m,1.6,-1.0,340,,,,,,,,,,,570,39m,1.7000000000000002,-0.3999999999999999,650,,,,,,,,,,,,,,,,200,21m,1.9000000000000001,-3.2,370,2,COMPLETE
80,80,0.7354312450508572,2025-05-29 23:49:44.847039,2025-05-29 23:49:45.327906,0 days 00:00:00.480867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,14m,2.7,-0.3999999999999999,620,,,,,,,,,,,600,58m,2.1,-3.3,590,,,,,,,,,,,,,,,,30,46m,2.6,-3.4,320,1,COMPLETE
81,81,-0.9654669667348914,2025-05-29 23:49:45.331028,2025-05-29 23:49:45.810661,0 days 00:00:00.479633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,9m,2.0,-1.7,830,,,,,,,,,,,530,37m,0.9,-0.8999999999999999,550,,,,,,,,,,,,,,,,900,57m,2.7,-1.5999999999999999,680,1,COMPLETE
82,82,-1.0290054652324174,2025-05-29 23:49:45.826871,2025-05-29 23:49:46.349461,0 days 00:00:00.522590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,13m,0.2,-1.4,670,,,,,,,,,,,730,16m,1.0,-2.2,310,,,,,,,,,,,,,,,,80,43m,2.8000000000000003,-0.7999999999999998,90,1,COMPLETE
83,83,,2025-05-29 23:49:46.365539,2025-05-29 23:49:46.863899,0 days 00:00:00.498360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,47m,0.1,-1.5,770,,,,,,,,,,,840,53m,1.2000000000000002,-2.0999999999999996,320,,,,,,,,,,,,,,,,530,36m,2.9000000000000004,-1.0999999999999996,230,1,FAIL
84,84,0.048088133399994945,2025-05-29 23:49:46.863899,2025-05-29 23:49:47.369573,0 days 00:00:00.505674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,47m,0.1,-1.5,780,,,,,,,,,,,650,26m,1.2000000000000002,-2.2,370,,,,,,,,,,,,,,,,460,36m,3.0,-1.0,160,1,COMPLETE
85,85,1.4196349355537228,2025-05-29 23:49:47.378521,2025-05-29 23:49:47.920054,0 days 00:00:00.541533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,47m,0.0,-2.0,890,,,,,,,,,,,820,14m,1.9000000000000001,-2.4,410,,,,,,,,,,,,,,,,510,22m,3.2,-1.0999999999999996,240,1,COMPLETE
86,86,,2025-05-29 23:49:47.928042,2025-05-29 23:49:48.424408,0 days 00:00:00.496366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,41m,0.5,-1.7,750,,,,,,,,,,,780,53m,0.7000000000000001,-2.0999999999999996,730,,,,,,,,,,,,,,,,540,45m,2.8000000000000003,-1.2999999999999998,590,1,FAIL
87,87,-2.510147293059647,2025-05-29 23:49:48.424408,2025-05-29 23:49:48.963446,0 days 00:00:00.539038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,43m,0.5,-1.1999999999999997,750,,,,,,,,,,,770,43m,0.7000000000000001,-2.0999999999999996,720,,,,,,,,,,,,,,,,530,2m,2.8000000000000003,-1.1999999999999997,590,1,COMPLETE
88,88,,2025-05-29 23:49:48.963446,2025-05-29 23:49:49.495768,0 days 00:00:00.532322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,42m,0.2,-1.7,470,,,,,,,,,,,270,59m,1.5,-1.9,330,,,,,,,,,,,,,,,,670,45m,2.5,-0.5999999999999996,440,1,FAIL
89,89,-0.68744710789932,2025-05-29 23:49:49.497690,2025-05-29 23:49:49.986487,0 days 00:00:00.488797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,26m,0.2,-1.7,810,,,,,,,,,,,940,59m,1.5,-1.7,360,,,,,,,,,,,,,,,,610,7m,2.4000000000000004,-1.4,550,1,COMPLETE
90,90,-0.23389631623045717,2025-05-29 23:49:49.986487,2025-05-29 23:49:50.839919,0 days 00:00:00.853432,430.0,13m,1.6,-0.19999999999999973,390.0,100.0,35m,0.2,-0.3999999999999999,840.0,,,,,,570.0,13m,2.0,-2.6,660.0,,,,,,,,,,,,,,,,620,53m,0.4,-2.2,480,,,,,,,,,,,270,33m,0.4,-1.9,330,,,,,,,,,,,,,,,,670,31m,2.5,-0.5,60,2,COMPLETE
91,91,,2025-05-29 23:49:50.839919,2025-05-29 23:49:51.289429,0 days 00:00:00.449510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,27m,3.4000000000000004,-2.6,440,,,,,,,,,,,470,59m,1.1,-1.5,670,,,,,,,,,,,,,,,,50,55m,2.9000000000000004,-1.0,450,1,FAIL
92,92,,2025-05-29 23:49:51.305985,2025-05-29 23:49:51.830806,0 days 00:00:00.524821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,49m,0.1,-2.5,430,,,,,,,,,,,470,59m,0.30000000000000004,-2.6,790,,,,,,,,,,,,,,,,570,55m,2.7,-0.8999999999999999,280,1,FAIL
93,93,,2025-05-29 23:49:51.830806,2025-05-29 23:49:52.354625,0 days 00:00:00.523819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,42m,3.2,-1.9,430,,,,,,,,,,,190,59m,0.30000000000000004,-2.5,790,,,,,,,,,,,,,,,,530,55m,2.9000000000000004,-0.8999999999999999,280,1,FAIL
94,94,,2025-05-29 23:49:52.360654,2025-05-29 23:49:52.892756,0 days 00:00:00.532102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,36m,3.2,-1.9,310,,,,,,,,,,,1000,59m,0.30000000000000004,-2.5,10,,,,,,,,,,,,,,,,560,55m,2.9000000000000004,-2.0999999999999996,270,1,FAIL
95,95,-1.9482585467188647,2025-05-29 23:49:52.892756,2025-05-29 23:49:53.410741,0 days 00:00:00.517985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,36m,0.1,-1.9,220,,,,,,,,,,,850,59m,0.30000000000000004,-2.6,680,,,,,,,,,,,,,,,,530,13m,2.9000000000000004,-0.7999999999999998,880,1,COMPLETE
96,96,-0.4904572918179706,2025-05-29 23:49:53.421233,2025-05-29 23:49:53.920236,0 days 00:00:00.499003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,54m,3.2,-0.2999999999999998,310,,,,,,,,,,,480,18m,1.0,-2.0999999999999996,250,,,,,,,,,,,,,,,,120,42m,3.4000000000000004,-2.0999999999999996,710,1,COMPLETE
97,97,-1.8694915581959082,2025-05-29 23:49:53.920236,2025-05-29 23:49:54.419421,0 days 00:00:00.499185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,42m,3.4000000000000004,-2.6,360,,,,,,,,,,,680,4m,2.4000000000000004,-1.5,850,,,,,,,,,,,,,,,,580,45m,0.4,-1.4,440,1,COMPLETE
98,98,0.1473473488428957,2025-05-29 23:49:54.419421,2025-05-29 23:49:55.280231,0 days 00:00:00.860810,210.0,6m,3.5,-0.8999999999999999,260.0,490.0,9m,2.4000000000000004,-3.3,320.0,,,,,,310.0,18m,3.2,-0.7999999999999998,90.0,,,,,,,,,,,,,,,,890,23m,2.4000000000000004,-0.7999999999999998,530,,,,,,,,,,,630,28m,1.1,-0.19999999999999973,790,,,,,,,,,,,,,,,,10,7m,2.3000000000000003,-3.0,280,2,COMPLETE
99,99,-0.34479978730690064,2025-05-29 23:49:55.280231,2025-05-29 23:49:55.777401,0 days 00:00:00.497170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,5m,2.2,-1.5999999999999999,650,,,,,,,,,,,10,15m,0.8,-1.9,10,,,,,,,,,,,,,,,,770,56m,3.4000000000000004,-1.9,330,1,COMPLETE
100,100,,2025-05-29 23:49:55.777401,2025-05-29 23:49:56.250170,0 days 00:00:00.472769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,39m,2.4000000000000004,-1.0999999999999996,430,,,,,,,,,,,180,41m,1.3,-2.3,670,,,,,,,,,,,,,,,,660,56m,3.2,-1.7999999999999998,210,1,FAIL
101,101,-1.1032737528909329,2025-05-29 23:49:56.260918,2025-05-29 23:49:56.759291,0 days 00:00:00.498373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,49m,2.4000000000000004,-1.0999999999999996,430,,,,,,,,,,,40,21m,1.3,-2.4,660,,,,,,,,,,,,,,,,1000,56m,3.5,-1.7,210,1,COMPLETE
102,102,1.5962688366339683,2025-05-29 23:49:56.762077,2025-05-29 23:49:57.224980,0 days 00:00:00.462903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,35m,2.1,-1.5,720,,,,,,,,,,,170,15m,0.9,-2.3,490,,,,,,,,,,,,,,,,660,53m,3.2,-2.0,480,1,COMPLETE
103,103,-1.1971217367650973,2025-05-29 23:49:57.235486,2025-05-29 23:49:57.724687,0 days 00:00:00.489201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,35m,1.9000000000000001,-1.5,730,,,,,,,,,,,180,30m,0.9,-2.3,480,,,,,,,,,,,,,,,,670,37m,2.7,-2.0,480,1,COMPLETE
104,104,-1.6469611687035004,2025-05-29 23:49:57.724687,2025-05-29 23:49:58.855721,0 days 00:00:01.131034,300.0,45m,0.30000000000000004,-1.1999999999999997,150.0,930.0,3m,1.9000000000000001,-2.0,640.0,,,,,,150.0,27m,2.8000000000000003,-2.0999999999999996,440.0,850.0,25m,1.6,-0.8999999999999999,440.0,,,,,,,,,,,150,41m,2.1,-1.4,940,790.0,38m,2.1,-2.3,170.0,140.0,29m,1.4000000000000001,-0.6999999999999997,390.0,100,41m,0.5,-2.8,450,,,,,,,,,,,,,,,,50,55m,3.2,-2.3,520,3,COMPLETE
105,105,1.4414066505513492,2025-05-29 23:49:58.866295,2025-05-29 23:49:59.435260,0 days 00:00:00.568965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,47m,0.5,-1.1999999999999997,880,,,,,,,,,,,220,9m,0.6000000000000001,-2.4,410,,,,,,,,,,,,,,,,830,42m,2.9000000000000004,-2.4,490,1,COMPLETE
106,106,-0.21851362507337568,2025-05-29 23:49:59.435260,2025-05-29 23:50:00.963842,0 days 00:00:01.528582,100.0,22m,2.0,-0.5999999999999996,90.0,390.0,17m,1.0,-0.8999999999999999,520.0,750.0,3m,2.5,-2.7,1000.0,960.0,41m,0.30000000000000004,-1.0999999999999996,560.0,640.0,45m,0.8,-1.5,630.0,,,,,,,,,,,240,20m,1.7000000000000002,-1.9,780,570.0,34m,3.0,-1.4,980.0,1000.0,49m,0.6000000000000001,-2.9,670.0,140,53m,1.1,-2.5,550,300.0,7m,0.0,-3.3,300.0,750.0,51m,2.6,-0.8999999999999999,670.0,,,,,,550,53m,3.1,-2.0999999999999996,400,4,COMPLETE
107,107,-3.2703629708635247,2025-05-29 23:50:00.973986,2025-05-29 23:50:01.509682,0 days 00:00:00.535696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,14m,0.30000000000000004,-1.7,160,,,,,,,,,,,710,29m,0.7000000000000001,-1.1999999999999997,500,,,,,,,,,,,,,,,,740,28m,2.5,-1.0,550,1,COMPLETE
108,108,-0.1616506261524672,2025-05-29 23:50:01.519762,2025-05-29 23:50:02.051732,0 days 00:00:00.531970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,27m,1.4000000000000001,-0.09999999999999964,830,,,,,,,,,,,590,15m,2.3000000000000003,-0.3999999999999999,340,,,,,,,,,,,,,,,,370,53m,3.3000000000000003,-1.7999999999999998,580,1,COMPLETE
109,109,-1.8406449416446906,2025-05-29 23:50:02.051732,2025-05-29 23:50:02.583290,0 days 00:00:00.531558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,15m,1.9000000000000001,-0.6999999999999997,590,,,,,,,,,,,170,40m,0.0,0.0,960,,,,,,,,,,,,,,,,400,11m,2.6,-3.4,460,1,COMPLETE
110,110,-0.2502377276601982,2025-05-29 23:50:02.583290,2025-05-29 23:50:03.124843,0 days 00:00:00.541553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,39m,2.3000000000000003,-0.8999999999999999,690,,,,,,,,,,,120,23m,1.2000000000000002,-2.0,610,,,,,,,,,,,,,,,,610,41m,3.0,-1.9,290,1,COMPLETE
111,111,-1.1384950568386332,2025-05-29 23:50:03.124843,2025-05-29 23:50:03.645572,0 days 00:00:00.520729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,59m,2.2,-1.5,750,,,,,,,,,,,210,15m,1.9000000000000001,-2.0,530,,,,,,,,,,,,,,,,640,3m,3.4000000000000004,-1.5,150,1,COMPLETE
112,112,0.7671732156866787,2025-05-29 23:50:03.661714,2025-05-29 23:50:04.188761,0 days 00:00:00.527047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,39m,2.5,-1.1999999999999997,710,,,,,,,,,,,90,59m,0.6000000000000001,-1.7,630,,,,,,,,,,,,,,,,690,6m,3.2,-2.0,130,1,COMPLETE
113,113,-1.8419195001095636,2025-05-29 23:50:04.188761,2025-05-29 23:50:04.717594,0 days 00:00:00.528833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,35m,2.0,-0.5,390,,,,,,,,,,,550,32m,0.9,-2.2,590,,,,,,,,,,,,,,,,70,39m,2.7,-2.2,510,1,COMPLETE
114,114,0.4742660951100006,2025-05-29 23:50:04.718859,2025-05-29 23:50:05.225377,0 days 00:00:00.506518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,30m,2.8000000000000003,-1.0,790,,,,,,,,,,,30,6m,3.2,-2.0999999999999996,770,,,,,,,,,,,,,,,,650,32m,3.2,-0.8999999999999999,620,1,COMPLETE
115,115,-0.9790379834702772,2025-05-29 23:50:05.235094,2025-05-29 23:50:05.715942,0 days 00:00:00.480848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,49m,2.5,-0.7999999999999998,460,,,,,,,,,,,160,20m,0.2,-1.7999999999999998,740,,,,,,,,,,,,,,,,280,12m,3.5,-2.6,100,1,COMPLETE
116,116,,2025-05-29 23:50:05.729515,2025-05-29 23:50:06.217156,0 days 00:00:00.487641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,16m,3.4000000000000004,-1.2999999999999998,980,,,,,,,,,,,390,48m,0.4,-0.5999999999999996,710,,,,,,,,,,,,,,,,730,18m,3.4000000000000004,-3.2,420,1,FAIL
