,number,value,datetime_start,datetime_complete,duration,params_ADI_VRSK_beta_win,params_ADI_VRSK_trade_freq,params_ADI_VRSK_z_entry,params_ADI_VRSK_z_exit,params_ADI_VRSK_z_win,params_ADP_EXPE_beta_win,params_ADP_EXPE_trade_freq,params_ADP_EXPE_z_entry,params_ADP_EXPE_z_exit,params_ADP_EXPE_z_win,params_AMAT_HOLX_beta_win,params_AMAT_HOLX_trade_freq,params_AMAT_HOLX_z_entry,params_AMAT_HOLX_z_exit,params_AMAT_HOLX_z_win,params_AMZN_IDXX_beta_win,params_AMZN_IDXX_trade_freq,params_AMZN_IDXX_z_entry,params_AMZN_IDXX_z_exit,params_AMZN_IDXX_z_win,params_ATVI_EA_beta_win,params_ATVI_EA_trade_freq,params_ATVI_EA_z_entry,params_ATVI_EA_z_exit,params_ATVI_EA_z_win,params_BIIB_MXIM_beta_win,params_BIIB_MXIM_trade_freq,params_BIIB_MXIM_z_entry,params_BIIB_MXIM_z_exit,params_BIIB_MXIM_z_win,params_CELG_HOLX_beta_win,params_CELG_HOLX_trade_freq,params_CELG_HOLX_z_entry,params_CELG_HOLX_z_exit,params_CELG_HOLX_z_win,params_HOLX_MELI_beta_win,params_HOLX_MELI_trade_freq,params_HOLX_MELI_z_entry,params_HOLX_MELI_z_exit,params_HOLX_MELI_z_win,params_NFLX_BMRN_beta_win,params_NFLX_BMRN_trade_freq,params_NFLX_BMRN_z_entry,params_NFLX_BMRN_z_exit,params_NFLX_BMRN_z_win,params_PAYX_EXPE_beta_win,params_PAYX_EXPE_trade_freq,params_PAYX_EXPE_z_entry,params_PAYX_EXPE_z_exit,params_PAYX_EXPE_z_win,params_TSLA_ATVI_beta_win,params_TSLA_ATVI_trade_freq,params_TSLA_ATVI_z_entry,params_TSLA_ATVI_z_exit,params_TSLA_ATVI_z_win,params_TSLA_EA_beta_win,params_TSLA_EA_trade_freq,params_TSLA_EA_z_entry,params_TSLA_EA_z_exit,params_TSLA_EA_z_win,params_TSLA_TTWO_beta_win,params_TSLA_TTWO_trade_freq,params_TSLA_TTWO_z_entry,params_TSLA_TTWO_z_exit,params_TSLA_TTWO_z_win,params_VOD_HOLX_beta_win,params_VOD_HOLX_trade_freq,params_VOD_HOLX_z_entry,params_VOD_HOLX_z_exit,params_VOD_HOLX_z_win,params_WDC_HSIC_beta_win,params_WDC_HSIC_trade_freq,params_WDC_HSIC_z_entry,params_WDC_HSIC_z_exit,params_WDC_HSIC_z_win,params_pairs_to_trade,state
83,83,-2.7979837302006407,2025-05-29 23:26:02.173342,2025-05-29 23:26:03.154176,0 days 00:00:00.980834,,,,,,670.0,46m,0.9,-0.8999999999999999,310.0,,,,,,740.0,57m,2.5,-0.5,120.0,450.0,41m,2.2,-0.8999999999999999,350.0,,,,,,,,,,,790.0,50m,2.0,-0.7999999999999998,490.0,460,21m,1.6,-0.3999999999999999,210,40,51m,3.2,-1.7,970,,,,,,510.0,2m,2.8000000000000003,-0.8999999999999999,630.0,,,,,,190,33m,3.4000000000000004,-1.7,210,590.0,58m,0.30000000000000004,-1.7999999999999998,700.0,3,COMPLETE
84,84,3.895348298277124,2025-05-29 23:26:03.160188,2025-05-29 23:26:04.605582,0 days 00:00:01.445394,970.0,36m,2.2,-0.19999999999999973,1000.0,500.0,4m,0.5,-0.6999999999999997,350.0,820.0,37m,3.5,-1.9,490.0,510.0,23m,2.2,-0.09999999999999964,270.0,170.0,39m,2.7,-0.2999999999999998,440.0,160.0,55m,0.5,-2.2,620.0,450.0,7m,1.6,-1.7,600.0,880.0,56m,1.4000000000000001,-1.2999999999999998,410.0,200,53m,1.1,-2.5,60,170,52m,3.4000000000000004,-1.5,820,590.0,36m,0.1,-2.0,560.0,670.0,15m,2.2,-3.1,740.0,650.0,27m,1.3,-1.4,360.0,100,14m,3.1,-1.5,110,860.0,57m,1.6,-2.0999999999999996,480.0,5,COMPLETE
85,85,0.31193333620789154,2025-05-29 23:26:04.612732,2025-05-29 23:26:06.048723,0 days 00:00:01.435991,980.0,36m,2.3000000000000003,-0.19999999999999973,1000.0,540.0,59m,0.2,-0.19999999999999973,240.0,840.0,37m,3.5,-1.7999999999999998,530.0,620.0,19m,1.8,0.0,520.0,200.0,39m,2.7,-0.19999999999999973,170.0,160.0,55m,0.4,-2.3,640.0,430.0,7m,1.7000000000000002,-1.5999999999999999,570.0,860.0,1m,1.3,-1.4,410.0,190,55m,1.1,-2.6,70,170,52m,3.4000000000000004,-1.9,810,550.0,36m,0.0,-2.0999999999999996,500.0,640.0,30m,1.8,-3.0,740.0,670.0,37m,1.3,-1.1999999999999997,380.0,10,8m,2.9000000000000004,-1.7999999999999998,40,880.0,57m,1.9000000000000001,-2.2,530.0,5,COMPLETE
86,86,0.7043704358891713,2025-05-29 23:26:06.056733,2025-05-29 23:26:07.583363,0 days 00:00:01.526630,660.0,55m,1.9000000000000001,-1.1999999999999997,940.0,570.0,4m,0.4,0.0,350.0,660.0,30m,2.7,-2.9,450.0,510.0,23m,2.2,-0.19999999999999973,410.0,130.0,48m,1.7000000000000002,-0.3999999999999999,420.0,150.0,31m,1.1,-2.8,730.0,70.0,7m,1.4000000000000001,-1.7999999999999998,620.0,880.0,35m,1.4000000000000001,-1.2999999999999998,580.0,120,53m,1.3,-2.6,120,70,18m,3.5,-1.0999999999999996,840,610.0,36m,1.0,-2.0,580.0,590.0,5m,2.0,-3.5,960.0,860.0,27m,2.0,-1.5,560.0,90,4m,2.9000000000000004,-1.5,120,840.0,7m,1.6,-2.4,460.0,5,COMPLETE
87,87,-0.8468866242934318,2025-05-29 23:26:07.590882,2025-05-29 23:26:08.820978,0 days 00:00:01.230096,,,,,,590.0,51m,0.7000000000000001,-1.1999999999999997,1000.0,890.0,41m,3.1,-1.4,640.0,340.0,7m,2.4000000000000004,-1.0,270.0,50.0,46m,2.7,-0.2999999999999998,380.0,350.0,9m,0.30000000000000004,-2.0999999999999996,550.0,,,,,,530.0,56m,2.1,-1.0999999999999996,330.0,210,41m,0.9,-1.5999999999999999,40,260,42m,3.0,-3.5,880,,,,,,760.0,15m,2.1,-2.7,580.0,620.0,4m,0.9,-0.3999999999999999,140.0,160,15m,3.1,-0.6999999999999997,270,980.0,28m,2.0,-2.8,590.0,4,COMPLETE
88,88,3.2918072156035043,2025-05-29 23:26:08.828977,2025-05-29 23:26:10.415612,0 days 00:00:01.586635,750.0,11m,2.5,-0.8999999999999999,340.0,510.0,8m,0.6000000000000001,-0.6999999999999997,430.0,680.0,8m,2.1,-2.2,880.0,430.0,35m,2.9000000000000004,-0.3999999999999999,200.0,230.0,53m,2.4000000000000004,-0.5999999999999996,450.0,270.0,44m,1.3,-1.5,390.0,640.0,4m,2.6,-1.7999999999999998,310.0,820.0,58m,1.7000000000000002,-1.0,510.0,150,13m,1.8,-3.1,230,110,52m,3.2,-1.5,940,290.0,39m,1.0,-1.0999999999999996,580.0,670.0,57m,2.2,-3.3,890.0,460.0,57m,1.7000000000000002,-2.0999999999999996,290.0,50,14m,3.5,-1.2999999999999998,70,730.0,46m,1.1,-2.0,620.0,5,COMPLETE
89,89,-2.774913611001356,2025-05-29 23:26:10.426171,2025-05-29 23:26:11.474893,0 days 00:00:01.048722,,,,,,490.0,15m,0.5,-1.0,280.0,,,,,,530.0,16m,2.1,-0.09999999999999964,60.0,160.0,19m,2.1,-1.0,510.0,,,,,,,,,,,760.0,11m,1.5,-1.5,390.0,250,2m,1.5,-2.5,60,120,53m,3.4000000000000004,-1.7,970,,,,,,740.0,49m,2.5,-1.0999999999999996,760.0,,,,,,240,27m,3.3000000000000003,-1.5,30,430.0,19m,1.5,-1.5,500.0,3,COMPLETE
90,90,0.5200706867388911,2025-05-29 23:26:11.481881,2025-05-29 23:26:12.798536,0 days 00:00:01.316655,,,,,,440.0,10m,1.1,-0.5999999999999996,410.0,600.0,39m,3.5,-0.8999999999999999,150.0,600.0,39m,2.5,-0.6999999999999997,330.0,610.0,37m,1.9000000000000001,-0.6999999999999997,280.0,450.0,48m,2.0,-3.0,840.0,,,,,,620.0,37m,1.9000000000000001,-0.5999999999999996,440.0,320,35m,1.1,-0.8999999999999999,160,160,9m,2.9000000000000004,-1.2999999999999998,910,,,,,,670.0,6m,2.7,-1.5,800.0,740.0,13m,0.4,-0.5999999999999996,440.0,300,13m,3.2,-1.0999999999999996,100,750.0,37m,0.9,-1.7999999999999998,780.0,4,COMPLETE
91,91,-1.4168874217335314,2025-05-29 23:26:12.806538,2025-05-29 23:26:13.813610,0 days 00:00:01.007072,,,,,,380.0,22m,0.8,-0.3999999999999999,530.0,,,,,,540.0,38m,3.3000000000000003,-0.19999999999999973,240.0,560.0,56m,2.6,-3.3,460.0,,,,,,,,,,,370.0,47m,1.5,-0.8999999999999999,480.0,290,48m,1.4000000000000001,-0.5999999999999996,270,40,16m,3.2,-0.8999999999999999,810,,,,,,540.0,54m,3.0,-2.0,880.0,,,,,,340,7m,3.0,-1.5999999999999999,150,950.0,9m,1.3,-2.0999999999999996,690.0,3,COMPLETE
92,92,0.28245948552009814,2025-05-29 23:26:13.819617,2025-05-29 23:26:14.784211,0 days 00:00:00.964594,,,,,,640.0,52m,0.2,-0.7999999999999998,310.0,,,,,,480.0,43m,2.9000000000000004,-1.4,140.0,720.0,2m,2.4000000000000004,-1.4,350.0,,,,,,,,,,,960.0,20m,1.3,-0.7999999999999998,530.0,90,37m,1.6,-0.7999999999999998,350,180,50m,3.3000000000000003,-2.0,760,,,,,,860.0,3m,1.9000000000000001,-1.7,970.0,,,,,,80,32m,2.7,-1.1999999999999997,70,690.0,55m,1.6,-1.5999999999999999,820.0,3,COMPLETE
93,93,-4.628288468962247,2025-05-29 23:26:14.791652,2025-05-29 23:26:15.983755,0 days 00:00:01.192103,,,,,,730.0,18m,1.9000000000000001,-1.0999999999999996,370.0,800.0,15m,2.8000000000000003,-2.0999999999999996,410.0,420.0,4m,1.9000000000000001,-0.5,200.0,350.0,18m,2.8000000000000003,-0.5,540.0,100.0,58m,0.7000000000000001,-2.6,680.0,,,,,,890.0,31m,1.6,-1.0999999999999996,360.0,230,49m,2.0,-0.2999999999999998,200,90,30m,3.0,-1.5,990,,,,,,690.0,25m,2.4000000000000004,-2.0999999999999996,820.0,930.0,48m,1.2000000000000002,-1.1999999999999997,120.0,140,56m,3.3000000000000003,-1.0,200,860.0,27m,1.2000000000000002,-1.4,580.0,4,COMPLETE
94,94,,2025-05-29 23:26:15.992760,2025-05-29 23:26:17.006431,0 days 00:00:01.013671,,,,,,480.0,29m,0.30000000000000004,-0.6999999999999997,240.0,,,,,,610.0,36m,2.3000000000000003,-0.2999999999999998,10.0,650.0,24m,2.9000000000000004,0.0,490.0,,,,,,,,,,,780.0,38m,0.4,-1.2999999999999998,280.0,170,43m,1.3,-0.5,950,10,46m,2.8000000000000003,-1.5999999999999999,870,,,,,,450.0,46m,1.6,-2.4,680.0,,,,,,270,43m,0.30000000000000004,-0.7999999999999998,230,920.0,22m,2.1,-2.4,650.0,3,FAIL
95,95,-0.2287032540353965,2025-05-29 23:26:17.015447,2025-05-29 23:26:18.007476,0 days 00:00:00.992029,,,,,,490.0,39m,1.2000000000000002,-0.5,450.0,,,,,,620.0,10m,2.6,-0.2999999999999998,10.0,660.0,17m,1.9000000000000001,-0.09999999999999964,430.0,,,,,,,,,,,780.0,59m,1.1,-0.3999999999999999,280.0,170,43m,1.3,-2.8,300,230,43m,2.8000000000000003,-1.5999999999999999,700,,,,,,440.0,40m,2.2,-3.2,680.0,,,,,,410,59m,3.5,-0.7999999999999998,240,940.0,35m,0.0,-1.7999999999999998,550.0,3,COMPLETE
96,96,-0.7553070336460967,2025-05-29 23:26:18.014494,2025-05-29 23:26:19.054763,0 days 00:00:01.040269,,,,,,20.0,28m,0.30000000000000004,-0.6999999999999997,230.0,,,,,,720.0,59m,2.3000000000000003,-0.09999999999999964,960.0,480.0,24m,3.0,0.0,490.0,,,,,,,,,,,860.0,46m,0.5,-1.2999999999999998,570.0,40,11m,1.7000000000000002,-2.4,90,60,24m,3.1,-1.1999999999999997,880,,,,,,770.0,47m,1.5,-2.4,920.0,,,,,,280,18m,3.1,-1.2999999999999998,120,790.0,52m,2.1,-2.4,470.0,3,COMPLETE
97,97,0.21017305539861186,2025-05-29 23:26:19.060764,2025-05-29 23:26:20.684673,0 days 00:00:01.623909,280.0,36m,1.2000000000000002,-2.4,680.0,600.0,29m,0.7000000000000001,-0.19999999999999973,490.0,440.0,37m,2.5,-1.5999999999999999,690.0,660.0,37m,3.5,-0.6999999999999997,270.0,550.0,55m,1.0,-0.6999999999999997,320.0,660.0,8m,0.4,-1.5,550.0,260.0,9m,1.0,-1.0999999999999996,750.0,690.0,6m,2.1,-1.5,210.0,400,53m,1.5,-0.19999999999999973,180,130,46m,3.5,-1.0,930,730.0,37m,1.0,-2.6,330.0,820.0,52m,3.1,-2.9,740.0,780.0,54m,2.9000000000000004,-2.7,330.0,180,43m,3.4000000000000004,-1.4,170,590.0,38m,0.6000000000000001,-1.0999999999999996,980.0,5,COMPLETE
98,98,0.6493571923820491,2025-05-29 23:26:20.693669,2025-05-29 23:26:21.122055,0 days 00:00:00.428386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,30m,1.1,-1.1999999999999997,140,10,22m,2.6,-1.4,790,,,,,,,,,,,,,,,,90,14m,2.8000000000000003,-1.0,30,,,,,,1,COMPLETE
99,99,2.993084770137206,2025-05-29 23:26:21.127053,2025-05-29 23:26:22.773114,0 days 00:00:01.646061,780.0,58m,2.5,-0.6999999999999997,330.0,560.0,3m,0.5,-0.6999999999999997,410.0,710.0,35m,2.1,-2.7,920.0,430.0,35m,2.9000000000000004,-0.3999999999999999,200.0,260.0,53m,2.4000000000000004,-0.8999999999999999,450.0,280.0,41m,1.3,-1.5,420.0,670.0,4m,2.3000000000000003,-2.3,270.0,820.0,10m,1.7000000000000002,-1.0,520.0,160,13m,1.8,-3.2,250,100,52m,3.2,-1.5,940,290.0,30m,1.0,-1.0999999999999996,640.0,650.0,17m,2.2,-3.3,880.0,460.0,18m,1.7000000000000002,-2.0,290.0,20,14m,0.1,-1.2999999999999998,80,720.0,34m,1.1,-2.0,620.0,5,COMPLETE
100,100,2.037623013016809,2025-05-29 23:26:22.783186,2025-05-29 23:26:24.255336,0 days 00:00:01.472150,800.0,25m,2.6,-0.8999999999999999,380.0,500.0,8m,0.6000000000000001,-0.8999999999999999,330.0,910.0,8m,1.5,-2.0,850.0,480.0,40m,3.0,-0.3999999999999999,230.0,230.0,13m,2.3000000000000003,-0.5999999999999996,390.0,210.0,45m,1.3,-2.0999999999999996,300.0,620.0,27m,2.5,-1.9,320.0,830.0,33m,1.8,-1.0,610.0,150,1m,1.8,-3.1,230,200,5m,3.4000000000000004,-1.7999999999999998,980,210.0,53m,0.6000000000000001,-1.0999999999999996,720.0,600.0,57m,2.5,-3.5,910.0,370.0,15m,1.4000000000000001,-2.2,270.0,40,48m,3.3000000000000003,-1.5,70,730.0,46m,1.8,-2.0999999999999996,640.0,5,COMPLETE
101,101,-5.316212811817948,2025-05-29 23:26:24.265934,2025-05-29 23:26:25.771757,0 days 00:00:01.505823,830.0,11m,1.7000000000000002,-0.5999999999999996,480.0,140.0,31m,0.1,-0.3999999999999999,390.0,740.0,17m,1.6,-2.2,870.0,270.0,21m,2.8000000000000003,0.0,150.0,170.0,23m,2.2,-1.1999999999999997,570.0,410.0,44m,0.8,-0.6999999999999997,390.0,590.0,4m,3.1,-1.0,10.0,810.0,29m,1.2000000000000002,-1.1999999999999997,510.0,70,54m,1.2000000000000002,-3.0,230,110,26m,3.3000000000000003,-1.2999999999999998,950,470.0,43m,0.5,-0.3999999999999999,440.0,700.0,46m,1.8,-3.2,970.0,520.0,57m,2.0,-1.4,370.0,50,52m,3.2,-1.4,100,820.0,12m,1.4000000000000001,-1.7,420.0,5,COMPLETE
102,102,-0.2835422633988214,2025-05-29 23:26:25.782154,2025-05-29 23:26:27.275218,0 days 00:00:01.493064,690.0,57m,2.9000000000000004,-1.5999999999999999,190.0,320.0,14m,1.0,-0.5999999999999996,590.0,650.0,8m,3.2,-1.0999999999999996,580.0,350.0,50m,2.6,-0.5999999999999996,80.0,90.0,6m,2.6,-0.5999999999999996,520.0,290.0,49m,0.2,-1.2999999999999998,520.0,810.0,11m,2.0,-2.6,690.0,860.0,58m,2.0,-0.6999999999999997,440.0,200,4m,1.4000000000000001,-3.5,330,70,29m,3.2,-1.5,840,700.0,39m,1.4000000000000001,-1.5,740.0,620.0,4m,2.2,-1.9,880.0,650.0,27m,1.7000000000000002,-1.7999999999999998,540.0,230,39m,3.5,-1.1999999999999997,140,650.0,56m,0.9,-2.0999999999999996,630.0,5,COMPLETE
103,103,-1.586647163215544,2025-05-29 23:26:27.282236,2025-05-29 23:26:28.836561,0 days 00:00:01.554325,910.0,39m,2.0,0.0,820.0,440.0,48m,0.4,-0.7999999999999998,420.0,940.0,53m,2.4000000000000004,-1.5999999999999999,730.0,580.0,9m,3.1,-1.9,570.0,130.0,40m,2.4000000000000004,-0.2999999999999998,470.0,70.0,55m,1.3,-0.5,190.0,240.0,48m,1.4000000000000001,-1.5,460.0,770.0,48m,1.9000000000000001,-0.8999999999999999,480.0,250,13m,2.0,-0.5,30,150,52m,3.1,-1.5999999999999999,910,120.0,48m,0.4,-2.5,380.0,730.0,59m,2.0,-3.0,810.0,620.0,57m,1.0,-2.5,640.0,380,20m,3.4000000000000004,-1.0999999999999996,60,760.0,13m,1.1,-1.2999999999999998,730.0,5,COMPLETE
104,104,-1.653375620518453,2025-05-29 23:26:28.844118,2025-05-29 23:26:29.884491,0 days 00:00:01.040373,,,,,,520.0,8m,1.4000000000000001,-0.19999999999999973,440.0,,,,,,450.0,53m,2.8000000000000003,-0.2999999999999998,350.0,730.0,53m,2.0,-0.7999999999999998,550.0,,,,,,,,,,,920.0,56m,3.3000000000000003,-0.7999999999999998,400.0,140,9m,1.6,-0.3999999999999999,950,290,3m,2.4000000000000004,-1.1999999999999997,860,,,,,,570.0,41m,2.7,-3.3,70.0,,,,,,310,41m,3.0,-1.7,20,700.0,59m,0.30000000000000004,-1.5,670.0,3,COMPLETE
105,105,2.2916509529251368,2025-05-29 23:26:29.890545,2025-05-29 23:26:31.436342,0 days 00:00:01.545797,530.0,32m,1.6,-2.3,500.0,50.0,47m,0.9,-3.3,520.0,790.0,40m,2.0,-2.6,580.0,510.0,47m,2.4000000000000004,-1.0999999999999996,170.0,190.0,31m,2.9000000000000004,-1.0,370.0,210.0,50m,2.2,-3.1,470.0,510.0,19m,2.9000000000000004,-2.3,200.0,730.0,38m,1.6,-0.5999999999999996,550.0,550,17m,1.9000000000000001,-0.09999999999999964,220,40,55m,2.8000000000000003,-1.7,1000,380.0,55m,1.6,-1.5999999999999999,180.0,670.0,8m,2.3000000000000003,-1.4,840.0,880.0,7m,0.6000000000000001,-3.0,100.0,480,14m,2.6,-1.9,180,510.0,51m,1.7000000000000002,-1.9,520.0,5,COMPLETE
106,106,1.4939249443787086,2025-05-29 23:26:31.444347,2025-05-29 23:26:32.491122,0 days 00:00:01.046775,,,,,,550.0,54m,0.8,-1.5999999999999999,190.0,,,,,,920.0,58m,2.2,-0.19999999999999973,290.0,60.0,57m,2.5,-0.5,30.0,,,,,,,,,,,430.0,42m,2.2,-1.0999999999999996,450.0,220,6m,1.7000000000000002,-2.2,280,230,15m,3.0,-0.3999999999999999,950,,,,,,830.0,23m,2.5,-1.7,640.0,,,,,,210,31m,3.2,-1.2999999999999998,110,350.0,22m,1.3,-2.3,560.0,3,COMPLETE
107,107,-1.071206187103876,2025-05-29 23:26:32.498125,2025-05-29 23:26:33.826106,0 days 00:00:01.327981,,,,,,620.0,37m,1.6,-1.1999999999999997,260.0,840.0,12m,2.7,-0.6999999999999997,370.0,540.0,52m,2.6,-0.7999999999999998,110.0,660.0,43m,3.4000000000000004,-1.5999999999999999,60.0,10.0,22m,0.9,-2.4,60.0,,,,,,740.0,5m,2.3000000000000003,-1.4,630.0,180,46m,0.9,-0.5999999999999996,380,130,27m,0.1,-0.8999999999999999,770,,,,,,470.0,16m,2.9000000000000004,-2.2,930.0,220.0,38m,2.3000000000000003,-1.7,480.0,260,29m,3.5,-1.5999999999999999,220,440.0,39m,2.4000000000000004,-1.5999999999999999,660.0,4,COMPLETE
108,108,-0.3503480573263964,2025-05-29 23:26:33.835118,2025-05-29 23:26:34.550704,0 days 00:00:00.715586,,,,,,470.0,7m,0.6000000000000001,-0.6999999999999997,480.0,,,,,,,,,,,630.0,44m,2.2,-3.5,430.0,,,,,,,,,,,1000.0,39m,3.4000000000000004,-1.1999999999999997,590.0,110,31m,1.3,-0.2999999999999998,140,80,48m,3.4000000000000004,-1.2999999999999998,730,,,,,,,,,,,,,,,,100,51m,2.9000000000000004,-2.8,80,,,,,,2,COMPLETE
109,109,-0.4399190058529497,2025-05-29 23:26:34.556708,2025-05-29 23:26:35.536163,0 days 00:00:00.979455,,,,,,670.0,16m,2.1,-1.2999999999999998,350.0,,,,,,560.0,56m,2.7,-1.5999999999999999,210.0,790.0,20m,0.1,-2.9,600.0,,,,,,,,,,,840.0,58m,1.7000000000000002,-1.7999999999999998,670.0,80,33m,0.5,-0.6999999999999997,410,620,36m,1.2000000000000002,-0.09999999999999964,70,,,,,,790.0,13m,1.1,-2.0,980.0,,,,,,70,2m,2.5,-3.3,410,150.0,40m,1.5,-1.2999999999999998,360.0,3,COMPLETE
110,110,0.2668449250943031,2025-05-29 23:26:35.536163,2025-05-29 23:26:36.500599,0 days 00:00:00.964436,,,,,,220.0,44m,0.5,-1.0999999999999996,380.0,,,,,,580.0,18m,3.1,-2.9,240.0,760.0,21m,2.7,-2.2,780.0,,,,,,,,,,,660.0,22m,2.4000000000000004,-1.5999999999999999,510.0,50,7m,1.5,-0.3999999999999999,310,540,45m,2.2,-0.5999999999999996,370,,,,,,930.0,36m,3.4000000000000004,-1.9,890.0,,,,,,790,36m,1.5,-3.0,470,280.0,14m,1.8,-1.9,610.0,3,COMPLETE
111,111,-0.16170345242720716,2025-05-29 23:26:36.508455,2025-05-29 23:26:37.502483,0 days 00:00:00.994028,,,,,,610.0,4m,0.30000000000000004,-1.7,50.0,,,,,,460.0,44m,2.8000000000000003,-0.09999999999999964,190.0,830.0,45m,0.5,-2.0,720.0,,,,,,,,,,,790.0,17m,2.2,-1.5,310.0,100,35m,0.30000000000000004,-0.09999999999999964,260,170,34m,1.9000000000000001,-0.2999999999999998,490,,,,,,780.0,35m,1.6,-1.5999999999999999,990.0,,,,,,910,49m,1.8,-3.2,520,840.0,3m,1.1,-1.7,260.0,3,COMPLETE
112,112,2.5289236280121403,2025-05-29 23:26:37.502483,2025-05-29 23:26:38.529705,0 days 00:00:01.027222,,,,,,700.0,58m,0.7000000000000001,-2.2,280.0,,,,,,650.0,14m,1.4000000000000001,-2.4,150.0,890.0,42m,0.9,-2.6,490.0,,,,,,,,,,,710.0,54m,2.7,-1.0,410.0,130,19m,0.7000000000000001,-0.5,180,570,4m,1.6,-2.8,930,,,,,,700.0,7m,2.1,-2.0999999999999996,940.0,,,,,,340,46m,1.6,-3.0,330,100.0,6m,1.7000000000000002,-0.5,330.0,3,COMPLETE
113,113,1.15214109656756,2025-05-29 23:26:38.546617,2025-05-29 23:26:39.569818,0 days 00:00:01.023201,,,,,,650.0,53m,1.0,-0.8999999999999999,320.0,,,,,,500.0,48m,2.5,-2.0999999999999996,320.0,710.0,59m,1.6,-2.5,850.0,,,,,,,,,,,10.0,41m,1.9000000000000001,-1.1999999999999997,780.0,200,9m,1.2000000000000002,-2.7,470,110,36m,3.1,-0.09999999999999964,430,,,,,,730.0,9m,0.8,-1.9,1000.0,,,,,,40,3m,3.1,-1.5,430,230.0,44m,0.9,-1.1999999999999997,420.0,3,COMPLETE
114,114,-1.8181334656351726,2025-05-29 23:26:39.569818,2025-05-29 23:26:40.584700,0 days 00:00:01.014882,,,,,,100.0,17m,1.2000000000000002,-0.5,110.0,,,,,,410.0,32m,3.0,-0.5,260.0,140.0,38m,2.3000000000000003,-3.1,630.0,,,,,,,,,,,810.0,2m,1.8,-0.8999999999999999,470.0,150,20m,1.4000000000000001,0.0,290,660,11m,0.8,-0.5,320,,,,,,640.0,22m,1.7000000000000002,-2.3,710.0,,,,,,120,38m,1.3,-2.6,390,390.0,29m,0.7000000000000001,-1.4,700.0,3,COMPLETE
115,115,-1.0931486491972875,2025-05-29 23:26:40.597037,2025-05-29 23:26:41.266426,0 days 00:00:00.669389,,,,,,530.0,24m,2.8000000000000003,-1.5,440.0,,,,,,,,,,,680.0,39m,2.5,-1.7999999999999998,670.0,,,,,,,,,,,760.0,43m,2.1,-1.7,710.0,180,28m,1.0,-0.19999999999999973,350,30,21m,3.3000000000000003,-1.4,580,,,,,,,,,,,,,,,,280,11m,3.3000000000000003,-1.2999999999999998,50,,,,,,2,COMPLETE
116,116,0.7076451938279626,2025-05-29 23:26:41.266426,2025-05-29 23:26:41.639430,0 days 00:00:00.373004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3m,1.6,-0.3999999999999999,210,680,18m,0.4,-1.0999999999999996,890,,,,,,,,,,,,,,,,430,13m,2.1,-1.1999999999999997,350,,,,,,1,COMPLETE
117,117,-6.327058272699944,2025-05-29 23:26:41.653466,2025-05-29 23:26:42.607860,0 days 00:00:00.954394,,,,,,410.0,1m,2.5,-0.7999999999999998,290.0,,,,,,600.0,13m,2.2,-3.3,100.0,620.0,29m,2.1,-0.2999999999999998,750.0,,,,,,,,,,,580.0,26m,3.0,-1.4,380.0,270,52m,0.1,-0.5999999999999996,10,60,53m,3.5,-1.5999999999999999,830,,,,,,890.0,29m,2.3000000000000003,-2.7,780.0,,,,,,360,17m,3.4000000000000004,-2.9,140,640.0,10m,1.3,-0.8999999999999999,750.0,3,COMPLETE
118,118,-1.5919510707076956,2025-05-29 23:26:42.622673,2025-05-29 23:26:43.842613,0 days 00:00:01.219940,,,,,,560.0,16m,1.4000000000000001,-2.0,150.0,490.0,13m,2.1,-3.0,910.0,550.0,54m,2.7,-0.5999999999999996,480.0,230.0,24m,1.2000000000000002,-2.2,220.0,120.0,5m,1.1,-2.2,590.0,,,,,,700.0,12m,1.5,-1.2999999999999998,430.0,240,50m,0.2,-3.3,330,480,39m,1.4000000000000001,-0.7999999999999998,530,,,,,,680.0,38m,2.4000000000000004,-1.7,910.0,390.0,59m,2.6,-1.0,780.0,260,14m,1.9000000000000001,-1.0,550,780.0,1m,1.6,-2.2,180.0,4,COMPLETE
119,119,3.5608871678864094,2025-05-29 23:26:43.855452,2025-05-29 23:26:44.851690,0 days 00:00:00.996238,,,,,,450.0,27m,1.1,-2.5,360.0,,,,,,570.0,48m,2.6,-0.3999999999999999,180.0,650.0,24m,2.6,-1.7,620.0,,,,,,,,,,,740.0,13m,1.8,-0.8999999999999999,490.0,1000,9m,1.3,-0.6999999999999997,800,160,54m,3.2,-1.4,900,,,,,,710.0,7m,2.3000000000000003,-1.4,500.0,,,,,,290,56m,3.2,-1.4,310,740.0,6m,1.0,-1.9,600.0,3,COMPLETE
120,120,4.865614808238218,2025-05-29 23:26:44.856919,2025-05-29 23:26:45.979766,0 days 00:00:01.122847,,,,,,480.0,27m,1.1,-2.4,360.0,,,,,,690.0,27m,2.6,-0.3999999999999999,170.0,740.0,24m,2.5,-1.5,670.0,,,,,,,,,,,790.0,25m,2.0,-0.7999999999999998,900.0,470,9m,1.3,-1.0,470,150,44m,3.2,-1.5,190,,,,,,830.0,7m,1.9000000000000001,-1.4,440.0,,,,,,320,56m,3.2,-1.4,310,740.0,17m,0.9,-2.0,590.0,3,COMPLETE
