,number,value,datetime_start,datetime_complete,duration,params_ADI_VRSK_beta_win,params_ADI_VRSK_trade_freq,params_ADI_VRSK_z_entry,params_ADI_VRSK_z_exit,params_ADI_VRSK_z_win,params_ADP_EXPE_beta_win,params_ADP_EXPE_trade_freq,params_ADP_EXPE_z_entry,params_ADP_EXPE_z_exit,params_ADP_EXPE_z_win,params_AMAT_HOLX_beta_win,params_AMAT_HOLX_trade_freq,params_AMAT_HOLX_z_entry,params_AMAT_HOLX_z_exit,params_AMAT_HOLX_z_win,params_AMZN_IDXX_beta_win,params_AMZN_IDXX_trade_freq,params_AMZN_IDXX_z_entry,params_AMZN_IDXX_z_exit,params_AMZN_IDXX_z_win,params_ATVI_EA_beta_win,params_ATVI_EA_trade_freq,params_ATVI_EA_z_entry,params_ATVI_EA_z_exit,params_ATVI_EA_z_win,params_BIIB_MXIM_beta_win,params_BIIB_MXIM_trade_freq,params_BIIB_MXIM_z_entry,params_BIIB_MXIM_z_exit,params_BIIB_MXIM_z_win,params_CELG_HOLX_beta_win,params_CELG_HOLX_trade_freq,params_CELG_HOLX_z_entry,params_CELG_HOLX_z_exit,params_CELG_HOLX_z_win,params_HOLX_MELI_beta_win,params_HOLX_MELI_trade_freq,params_HOLX_MELI_z_entry,params_HOLX_MELI_z_exit,params_HOLX_MELI_z_win,params_NFLX_BMRN_beta_win,params_NFLX_BMRN_trade_freq,params_NFLX_BMRN_z_entry,params_NFLX_BMRN_z_exit,params_NFLX_BMRN_z_win,params_PAYX_EXPE_beta_win,params_PAYX_EXPE_trade_freq,params_PAYX_EXPE_z_entry,params_PAYX_EXPE_z_exit,params_PAYX_EXPE_z_win,params_TSLA_ATVI_beta_win,params_TSLA_ATVI_trade_freq,params_TSLA_ATVI_z_entry,params_TSLA_ATVI_z_exit,params_TSLA_ATVI_z_win,params_TSLA_EA_beta_win,params_TSLA_EA_trade_freq,params_TSLA_EA_z_entry,params_TSLA_EA_z_exit,params_TSLA_EA_z_win,params_TSLA_TTWO_beta_win,params_TSLA_TTWO_trade_freq,params_TSLA_TTWO_z_entry,params_TSLA_TTWO_z_exit,params_TSLA_TTWO_z_win,params_VOD_HOLX_beta_win,params_VOD_HOLX_trade_freq,params_VOD_HOLX_z_entry,params_VOD_HOLX_z_exit,params_VOD_HOLX_z_win,params_WDC_HSIC_beta_win,params_WDC_HSIC_trade_freq,params_WDC_HSIC_z_entry,params_WDC_HSIC_z_exit,params_WDC_HSIC_z_win,params_pairs_to_trade,state
20,20,,2025-05-29 23:25:10.704865,2025-05-29 23:25:11.094163,0 days 00:00:00.389298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,32m,1.3,-1.0,50,320,41m,0.6000000000000001,-1.9,820,,,,,,,,,,,,,,,,470,21m,2.9000000000000004,-1.1999999999999997,330,,,,,,1,FAIL
21,21,-1.4572102484443044,2025-05-29 23:25:11.100449,2025-05-29 23:25:11.494843,0 days 00:00:00.394394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,3m,1.1,-1.0999999999999996,280,320,26m,0.6000000000000001,-1.9,840,,,,,,,,,,,,,,,,130,49m,3.2,-1.1999999999999997,250,,,,,,1,COMPLETE
22,22,3.825850140283061,2025-05-29 23:25:11.499850,2025-05-29 23:25:12.139162,0 days 00:00:00.639312,,,,,,30.0,48m,0.4,-2.4,240.0,,,,,,,,,,,680.0,13m,1.1,-3.0,620.0,,,,,,,,,,,400.0,26m,3.0,-0.6999999999999997,530.0,140,48m,1.4000000000000001,-1.7999999999999998,10,80,53m,2.3000000000000003,-0.5,660,,,,,,,,,,,,,,,,510,3m,2.2,-2.0999999999999996,490,,,,,,2,COMPLETE
23,23,-2.8176935454946497,2025-05-29 23:25:12.145167,2025-05-29 23:25:13.095856,0 days 00:00:00.950689,,,,,,20.0,17m,0.5,-2.6,220.0,,,,,,610.0,46m,3.5,-3.5,260.0,580.0,13m,1.1,-3.4,590.0,,,,,,,,,,,320.0,12m,2.0,-0.5,410.0,270,52m,2.5,-1.7,610,110,53m,2.4000000000000004,-0.3999999999999999,620,,,,,,960.0,12m,1.2000000000000002,0.0,1000.0,,,,,,530,29m,2.7,-2.0999999999999996,720,70.0,49m,3.5,-3.5,30.0,3,COMPLETE
24,24,-1.5001842063280764,2025-05-29 23:25:13.102858,2025-05-29 23:25:13.766960,0 days 00:00:00.664102,,,,,,130.0,35m,0.4,-2.2,260.0,,,,,,,,,,,700.0,8m,1.2000000000000002,-2.9,750.0,,,,,,,,,,,390.0,26m,3.1,-1.0999999999999996,530.0,140,48m,1.4000000000000001,-2.0,50,540,53m,1.7000000000000002,-0.5,700,,,,,,,,,,,,,,,,400,12m,2.1,-2.9,500,,,,,,2,COMPLETE
25,25,-0.2098876354154436,2025-05-29 23:25:13.772947,2025-05-29 23:25:14.432141,0 days 00:00:00.659194,,,,,,230.0,48m,1.2000000000000002,-3.3,440.0,,,,,,,,,,,720.0,12m,3.0,-2.0999999999999996,290.0,,,,,,,,,,,410.0,23m,3.5,-0.5,620.0,20,17m,0.30000000000000004,-0.8999999999999999,140,10,21m,2.2,-1.0999999999999996,990,,,,,,,,,,,,,,,,820,46m,1.5,-2.0999999999999996,330,,,,,,2,COMPLETE
26,26,0.42298432366075706,2025-05-29 23:25:14.438147,2025-05-29 23:25:15.346112,0 days 00:00:00.907965,,,,,,100.0,48m,0.0,-2.5,630.0,,,,,,1000.0,6m,1.0,-1.0999999999999996,740.0,920.0,54m,0.8,-3.0,590.0,,,,,,,,,,,660.0,57m,3.1,-1.4,500.0,450,48m,1.6,-1.5,80,170,56m,2.8000000000000003,-1.0,810,,,,,,250.0,45m,2.6,-0.7999999999999998,780.0,,,,,,540,3m,2.2,-1.5999999999999999,590,630.0,45m,2.2,-2.3,1000.0,3,COMPLETE
27,27,1.3154590230790217,2025-05-29 23:25:15.351113,2025-05-29 23:25:15.725024,0 days 00:00:00.373911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,7m,0.8,-0.3999999999999999,290,430,27m,1.7000000000000002,-0.5,560,,,,,,,,,,,,,,,,430,17m,2.7,-0.3999999999999999,490,,,,,,1,COMPLETE
28,28,-6.214126986010744,2025-05-29 23:25:15.729024,2025-05-29 23:25:16.360283,0 days 00:00:00.631259,,,,,,350.0,1m,1.5,-1.9,310.0,,,,,,,,,,,520.0,38m,2.0,-1.7,870.0,,,,,,,,,,,180.0,7m,2.9000000000000004,-0.6999999999999997,320.0,340,19m,0.7000000000000001,-2.9,100,700,34m,3.1,-1.5999999999999999,700,,,,,,,,,,,,,,,,610,38m,1.0,-1.0999999999999996,340,,,,,,2,COMPLETE
29,29,3.2515595312211625,2025-05-29 23:25:16.365810,2025-05-29 23:25:17.341748,0 days 00:00:00.975938,,,,,,610.0,58m,2.3000000000000003,-1.4,130.0,,,,,,560.0,55m,2.7,-2.9,210.0,770.0,20m,0.0,-2.4,680.0,,,,,,,,,,,770.0,22m,2.2,-1.5999999999999999,770.0,100,33m,0.30000000000000004,-0.3999999999999999,440,590,36m,1.1,-0.19999999999999973,350,,,,,,800.0,51m,1.3,-2.0,990.0,,,,,,780,36m,1.6,-3.0,440,260.0,10m,1.7000000000000002,-1.2999999999999998,350.0,3,COMPLETE
30,30,-0.1323700174843711,2025-05-29 23:25:17.349774,2025-05-29 23:25:18.559198,0 days 00:00:01.209424,,,,,,610.0,38m,2.3000000000000003,-3.1,120.0,990.0,25m,3.4000000000000004,-0.3999999999999999,970.0,570.0,12m,2.7,-2.6,220.0,630.0,28m,0.0,-2.5,640.0,990.0,2m,0.0,0.0,70.0,,,,,,580.0,22m,1.3,-1.5,820.0,210,20m,0.30000000000000004,-0.5,840,330,11m,1.3,-0.19999999999999973,340,,,,,,790.0,28m,1.1,-1.9,920.0,70.0,49m,2.2,0.0,480.0,790,36m,1.6,-3.5,640,240.0,10m,1.7000000000000002,-1.0,380.0,4,COMPLETE
31,31,-1.7961495051095115,2025-05-29 23:25:18.567245,2025-05-29 23:25:19.509430,0 days 00:00:00.942185,,,,,,620.0,58m,3.3000000000000003,-1.2999999999999998,20.0,,,,,,290.0,55m,2.6,-2.8,250.0,860.0,20m,0.0,-3.1,480.0,,,,,,,,,,,430.0,22m,2.1,-0.3999999999999999,990.0,110,28m,1.3,-1.4,450,690,39m,1.9000000000000001,-0.2999999999999998,380,,,,,,800.0,32m,1.2000000000000002,-3.4,720.0,,,,,,850,36m,0.7000000000000001,-1.5999999999999999,460,300.0,23m,2.3000000000000003,-1.1999999999999997,230.0,3,COMPLETE
32,32,-2.4374513970875746,2025-05-29 23:25:19.517428,2025-05-29 23:25:20.463184,0 days 00:00:00.945756,,,,,,760.0,42m,2.3000000000000003,-2.0,160.0,,,,,,480.0,5m,3.4000000000000004,-2.9,350.0,460.0,13m,0.8,-2.4,370.0,,,,,,,,,,,290.0,4m,2.3000000000000003,-0.8999999999999999,710.0,680,50m,2.5,-1.7999999999999998,630,460,36m,1.2000000000000002,-0.5999999999999996,270,,,,,,810.0,51m,2.4000000000000004,-2.2,460.0,,,,,,750,51m,2.0,-3.1,400,620.0,10m,1.3,-2.2,210.0,3,COMPLETE
33,33,-3.3981445717476655,2025-05-29 23:25:20.469724,2025-05-29 23:25:21.601741,0 days 00:00:01.132017,,,,,,560.0,58m,2.7,-2.6,100.0,650.0,33m,0.1,-3.5,620.0,660.0,49m,1.0,-1.5,680.0,920.0,20m,1.4000000000000001,-3.2,800.0,30.0,35m,3.5,-0.8999999999999999,940.0,,,,,,80.0,21m,1.4000000000000001,-1.5999999999999999,160.0,310,29m,1.7000000000000002,-1.0,610,860,44m,2.3000000000000003,0.0,230,,,,,,320.0,43m,0.8,-1.5,910.0,1000.0,47m,3.4000000000000004,-0.19999999999999973,410.0,320,11m,0.9,-3.3,250,200.0,36m,1.9000000000000001,0.0,440.0,4,COMPLETE
34,34,2.714814677654818,2025-05-29 23:25:21.607742,2025-05-29 23:25:22.233737,0 days 00:00:00.625995,,,,,,410.0,43m,0.8,-1.4,420.0,,,,,,,,,,,760.0,5m,3.1,-1.9,670.0,,,,,,,,,,,790.0,16m,3.1,-0.8999999999999999,530.0,80,44m,0.30000000000000004,-0.5,300,580,14m,0.6000000000000001,-0.6999999999999997,790,,,,,,,,,,,,,,,,600,16m,2.3000000000000003,-2.5,380,,,,,,2,COMPLETE
35,35,-2.235068304829263,2025-05-29 23:25:22.239755,2025-05-29 23:25:22.892108,0 days 00:00:00.652353,,,,,,420.0,43m,0.7000000000000001,-1.1999999999999997,460.0,,,,,,,,,,,640.0,32m,3.1,-1.7999999999999998,670.0,,,,,,,,,,,760.0,19m,3.0,-0.2999999999999998,10.0,50,16m,0.2,-0.2999999999999998,320,740,14m,0.7000000000000001,-1.4,780,,,,,,,,,,,,,,,,590,30m,1.4000000000000001,-2.3,490,,,,,,2,COMPLETE
36,36,0.09712522324521287,2025-05-29 23:25:22.898112,2025-05-29 23:25:23.765211,0 days 00:00:00.867099,,,,,,220.0,40m,0.30000000000000004,-2.3,240.0,,,,,,230.0,55m,1.5,-2.2,130.0,770.0,22m,2.8000000000000003,-2.7,540.0,,,,,,,,,,,840.0,16m,2.6,-0.7999999999999998,500.0,170,57m,1.0,-0.5,450,550,35m,0.4,-0.5999999999999996,110,,,,,,630.0,55m,0.0,-0.5,670.0,,,,,,460,24m,1.9000000000000001,-2.0,300,390.0,5m,2.8000000000000003,-1.2999999999999998,320.0,3,COMPLETE
