,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
50,50,-0.9168309644194127,2025-06-20 21:04:59.446775,2025-06-20 21:04:59.673270,0 days 00:00:00.226495,0.3,8,368,0.025,8m,0.8,0.5,1.1,232,COMPLETE
51,51,-0.04749107027123066,2025-06-20 21:04:59.689782,2025-06-20 21:04:59.908222,0 days 00:00:00.218440,0.5,3,400,0.05,7m,1.4,1.5,1.4000000000000001,440,COMPLETE
52,52,-0.009560627443193047,2025-06-20 21:04:59.924801,2025-06-20 21:05:00.146928,0 days 00:00:00.222127,0.45,2,456,0.05,7m,1.4,1.5,1.4000000000000001,568,COMPLETE
53,53,-0.2566981986419994,2025-06-20 21:05:00.152251,2025-06-20 21:05:00.388074,0 days 00:00:00.235823,0.5,2,96,0.05,7m,1.4,1.5,1.5,472,COMPLETE
54,54,-0.11033601994584935,2025-06-20 21:05:00.394170,2025-06-20 21:05:00.644204,0 days 00:00:00.250034,0.5,5,264,0.05,5m,1.5,1.5,1.2000000000000002,712,COMPLETE
55,55,-100.0,2025-06-20 21:05:00.662092,2025-06-20 21:05:00.888423,0 days 00:00:00.226331,0.4,1,216,0.05,7m,1.4,1.0,1.3,336,COMPLETE
56,56,-100.0,2025-06-20 21:05:00.906751,2025-06-20 21:05:01.130756,0 days 00:00:00.224005,0.1,2,384,0.05,10m,1.3,0.9,1.7000000000000002,584,COMPLETE
57,57,-4.833422070897546,2025-06-20 21:05:01.147756,2025-06-20 21:05:01.388726,0 days 00:00:00.240970,0.25,3,312,0.05,1m,1.5,1.5,2.0,152,COMPLETE
58,58,-0.8389947707190702,2025-06-20 21:05:01.401785,2025-06-20 21:05:01.633317,0 days 00:00:00.231532,0.45,6,512,0.05,2m,1.0,1.4,1.8000000000000003,576,COMPLETE
59,59,-100.0,2025-06-20 21:05:01.649208,2025-06-20 21:05:01.895562,0 days 00:00:00.246354,0.5,1,448,0.05,9m,1.4,1.5,1.4000000000000001,400,COMPLETE
60,60,-0.11232230154558256,2025-06-20 21:05:01.927254,2025-06-20 21:05:02.204537,0 days 00:00:00.277283,0.4,3,152,0.05,7m,1.5,0.6,1.5,456,COMPLETE
61,61,-0.04892418449851093,2025-06-20 21:05:02.234760,2025-06-20 21:05:02.507911,0 days 00:00:00.273151,0.45,2,400,0.05,7m,1.1,1.4,1.4000000000000001,536,COMPLETE
62,62,0.0009818069970362327,2025-06-20 21:05:02.533774,2025-06-20 21:05:02.789612,0 days 00:00:00.255838,0.45,2,400,0.05,7m,1.3,1.4,1.4000000000000001,632,COMPLETE
